-0.3228,-0.9611,-2.6511,-0.2535,-0.0113,1.7043,1.031,0.4344,-0.8437,-0.2566,0.4398,1.6758,-0.2914,2.7733,-0.4652,-1.665,0.4506,0.32,1.358,2.9284,-1.1756,1.733,0.2101,-1.0472,0.9905,0.3106,-0.092,2.1406,0.6197,1.5293,-0.778,-2.0617,0.666,-1.1939,-0.1904,-0.0548,-0.7052,-0.252,-0.6245,-1.4731,1.0683,0.8021,0.1767,-1.1251,-0.4856,0.9605,-0.4413,0.3709,-0.0279,-0.2668,-1.0959,0.0708,1.1806,-0.1928,-0.5732,-1.2365,-0.7604,-1.5896,1.2447,-0.6328,1.1421,0.981,0.5653,-0.2357,-0.4674,-0.9579,0.0,0.0,0.1342,0.5474,2.8436,-2.232,0.5591,-0.1853,-0.0018,-2.4078,0.7717,2.4548,1.1906,0.3737,0.2685,-1.2562,-1.389,1.8416,0.3002,0.7342,-0.8134,-1.0024,-0.3868,1.6166,0.5405,0.6189,-2.0822,0.733,-0.0635,-1.5267,0.3428,-0.4909,0.5685,0.7646,1.4582
-0.1492,-1.1616,-1.0022,0.0003,0.2514,0.4819,-0.9469,2.156,-0.0263,0.5732,0.1778,1.4429,0.0314,-0.0705,0.1134,-0.4437,1.438,0.4125,-0.5221,-0.1331,-1.0661,0.1076,-0.6176,-1.2299,0.7068,1.1209,0.1693,-1.4746,0.1824,0.162,-0.9636,-1.8104,-0.3499,-1.3884,0.2726,0.449,-1.0806,0.2791,-1.5174,2.3931,0.1967,0.3318,0.038,-0.5226,-0.3627,0.8981,-0.3409,-0.7509,-0.3215,-0.4811,0.651,-1.0806,-1.44,-0.8665,0.219,0.4359,-1.1345,-0.701,0.4669,0.5898,0.5327,-0.3898,0.0009,0.4537,-0.8259,-0.6462,0.0,0.0,-1.5485,-0.7937,0.462,0.2665,-1.2324,0.3357,-1.3106,-1.8488,0.6186,0.4044,-0.801,-0.9675,-0.7789,-0.3344,-2.0637,1.2901,-0.3627,0.0579,0.1365,0.1751,-0.4926,0.2787,0.7088,-1.0475,1.0505,-0.1864,1.0829,-1.0812,0.2069,1.4844,1.2644,0.2566,0.7536
0.6318,-0.8605,0.3959,-0.7638,-0.4733,0.3634,0.818,1.6301,1.3909,1.7762,-0.3347,0.608,1.1072,-0.0233,1.2995,-0.5568,0.2019,0.8712,1.7131,1.019,-1.3586,-1.1015,1.0053,0.6347,0.7087,0.8699,1.3252,-1.2268,0.0097,1.123,-0.8604,-0.2154,0.9033,1.4154,-0.5094,1.3325,2.3316,0.518,-1.0845,-0.8682,1.611,1.4194,-0.9677,-0.3347,0.3577,1.0262,-0.7405,-0.4785,2.17,-1.4124,-0.4908,-0.3657,-0.9603,0.7084,-0.3773,-0.7965,-0.2285,-0.8339,2.318,-1.026,1.0025,0.7972,1.6727,-1.5386,-1.1887,1.8384,0.9421,-1.1479,-0.3182,-0.3087,-0.5351,1.2348,0.6498,-0.9951,-0.7375,-0.0411,0.3463,-0.2755,-0.5413,-0.506,-0.5117,0.4237,-0.3563,-1.5019,-0.2068,0.3962,-1.0807,-0.4625,0.9029,-0.2654,0.8081,0.1803,-0.6539,-0.1026,0.6203,-1.0105,0.5657,0.7367,-0.863,1.3869,0.6479
-0.5218,0.2869,0.9676,1.3967,-0.0414,0.2639,0.5873,0.9314,-1.1279,0.2088,0.6502,0.4737,-0.2687,0.8138,-0.9682,-1.0567,0.1192,-0.49,-0.4861,1.4395,-0.3851,1.8086,0.5845,0.1492,0.9559,1.2969,-0.7781,0.9861,0.4114,0.9222,0.6837,-0.3609,0.8005,0.4046,-0.2184,-1.0685,0.4237,-1.3264,-0.401,-0.634,0.6767,-0.5783,0.5099,-0.4533,0.4754,0.1585,-0.387,-0.6842,-0.2519,-0.1316,0.8058,0.5551,0.7612,0.6862,-0.0485,-0.3109,-0.1551,0.6248,0.0432,0.2683,0.962,-1.0507,0.6564,0.1359,-0.9372,-1.4198,1.7146,0.1325,-0.231,0.7157,0.9388,-1.5587,0.6507,-0.116,-0.617,0.7324,0.2291,0.4394,0.8408,-0.627,-0.3555,-0.5781,-0.4758,0.7798,-0.0079,0.7253,0.1875,-0.8001,-0.7846,-0.169,0.5078,0.5116,0.4841,1.2214,-0.5385,-0.5642,-1.5558,-0.6637,1.425,0.9511,-0.045
-0.2165,0.2408,0.3862,-0.4574,0.4316,0.5317,-0.6551,-1.0838,0.2882,0.6374,0.6703,-0.2172,-0.0401,0.0391,0.0857,0.3937,0.0144,0.9577,-0.0308,0.5424,-0.1645,-1.5821,-0.3172,1.0107,0.4769,0.6325,-0.3386,-0.6561,0.4791,1.2798,0.9812,-0.0505,-0.0356,-0.6964,1.9618,0.6494,0.2514,1.2326,-0.6836,1.3771,-0.0045,0.8617,0.0791,-0.6965,-0.2519,0.5391,0.4648,-0.0002,0.2959,0.5503,-0.3552,-0.1835,-0.6382,-0.6655,0.3621,0.6465,-0.7484,-0.2315,1.4351,-0.3457,-0.4585,0.0499,0.43,-0.0008,0.3959,-0.0174,0.2974,0.0961,-0.1663,-0.0659,0.0672,0.1622,0.2899,-0.057,-0.2409,0.2737,0.6106,0.7077,-1.1526,0.7218,0.547,0.8325,-0.7402,-0.1126,2.0159,0.8675,-0.1016,0.5115,0.7739,0.2905,0.7515,-0.1066,0.3344,0.8018,2.2974,0.0674,-0.553,0.3454,0.9804,0.5955,-0.8389
-1.188,-1.9587,-0.3695,-1.3037,1.043,-1.0434,-1.0505,-0.8516,-0.9453,1.0078,-0.3982,-0.1412,-0.1054,-1.3199,-0.4739,2.0742,0.3184,-1.9589,1.0877,-0.0128,1.982,-0.095,1.5105,0.134,-0.0295,-2.4002,-1.5442,0.0166,0.5969,-0.6684,1.3153,2.0259,0.2931,-0.566,-1.4443,-0.7234,-0.0144,-1.9047,0.0161,0.2211,-1.3809,0.062,0.1215,0.2008,-1.2778,-0.2047,-0.4498,-0.9487,-0.8878,-1.236,-0.5151,0.13,-0.8105,0.488,0.3175,0.5287,1.2382,2.5346,0.2331,0.3631,0.0456,-0.4973,-0.4472,0.6892,1.6968,1.2606,-0.5388,-1.3192,2.1622,-1.3966,-2.557,0.3347,-2.3138,0.8892,-0.0522,1.6477,-0.2551,0.7981,0.2919,-0.3551,1.6391,1.24,2.5009,0.7498,5.4064,-0.2202,0.5919,0.9331,0.2456,-2.359,-0.4847,-1.6152,0.917,0.3806,0.179,1.0322,-0.7484,-1.2182,-0.4724,-1.1351,0.1825
2.0448,0.1953,-0.9695,-0.139,-1.8377,-0.5621,0.0626,-0.7942,1.8657,-0.1933,-0.7746,-1.282,0.6181,-0.6563,2.8577,0.9625,-0.1443,-0.8615,1.4195,-0.6373,0.6928,0.207,-0.902,1.0206,-0.3382,0.8777,1.0794,0.0952,-0.6564,-0.3295,-0.5674,0.7834,-0.4307,1.1717,1.328,0.1662,-0.753,0.3571,0.3184,-2.4027,0.1124,-0.5578,-1.4946,0.0515,-0.3158,-1.5414,0.5119,0.4509,1.2418,0.8462,-0.6978,-0.8541,-1.2914,0.205,-1.0174,-0.8035,-0.0061,-0.9499,0.0324,-1.7512,-0.7706,2.4766,-0.6921,-0.5858,0.438,3.1757,-0.644,-0.4706,0.4391,-1.0885,-1.6071,0.8734,1.9377,-0.2241,-0.0885,0.5472,-0.6785,-0.4336,0.2771,-0.0386,0.9947,0.1736,1.2583,-0.6386,0.6782,0.7355,-0.7204,1.0935,2.0654,2.2566,0.1836,0.8785,-1.4119,0.9778,0.0414,0.0345,2.1098,0.4078,-1.24,0.0523,1.6138
0.3164,-0.7366,0.0594,1.1245,1.5209,-0.3967,-0.4588,-0.6976,-0.3421,0.0359,0.4015,-0.082,-0.5466,-0.8379,0.6765,-1.0565,-0.019,0.7246,0.4497,-0.2433,-0.3302,0.1145,-0.5433,-0.9196,1.0021,-0.4872,-0.0373,0.3914,-1.4676,0.644,0.7461,0.0623,2.3269,1.5924,-1.0445,-1.2789,-0.0843,-0.8318,0.5769,-0.0516,0.3207,0.0544,-0.4882,-0.1566,1.2179,-1.1442,0.5385,0.2798,0.2059,-0.1208,-0.827,1.8861,0.63,0.1481,-1.2788,0.5137,1.1067,0.0422,0.5542,-1.1717,0.8076,-0.5727,-1.1842,-1.4082,0.0993,0.9455,-0.2092,-1.1185,-0.6443,-0.5322,0.3778,-0.5933,-0.9203,-1.7543,-0.1103,-1.021,0.0049,-0.0981,0.3816,-1.1097,2.6422,-1.2866,-1.0144,-1.2925,0.2253,0.9992,-1.2616,-0.6926,0.2956,1.5532,0.1533,0.6229,-0.1601,0.632,0.0303,-1.0444,-1.5356,0.1387,-0.3384,1.2073,-0.3576
1.7959,-0.9675,-0.1949,-1.0784,-0.5044,-1.2197,-2.691,-0.7178,0.7296,1.1511,-1.2832,-0.9673,-0.2576,-1.6673,1.427,1.7283,-0.8159,2.5385,0.2694,-0.4696,1.433,-0.2128,0.9003,2.4353,0.2623,-0.2606,0.8189,-0.006,-0.7822,0.7389,1.6375,-2.7213,0.8069,0.0865,-0.3941,0.8368,1.0489,0.7477,0.5004,-0.1733,0.1249,1.9888,0.1411,0.0321,-2.0636,0.0547,1.356,0.6994,0.0908,0.2912,-0.9368,-0.4987,0.9182,0.097,-0.2875,0.4574,0.6891,1.0896,1.0569,-0.5301,0.1491,1.447,-1.0869,0.1442,0.0097,-0.1867,0.0355,-0.2008,-0.4371,-0.72,-0.8317,0.397,-0.0847,-0.3525,1.2441,1.0992,-0.3303,-0.8306,-0.5913,-2.1394,1.1239,-0.6525,-1.1556,-0.346,0.9877,-0.6267,-0.6888,-1.1418,1.107,-0.3382,0.8747,0.2125,-0.1099,0.5404,-0.1637,-0.5334,-0.9978,-0.8195,-1.0698,-0.7528,-0.6011
2.0271,-1.0158,1.5902,0.2111,-0.071,0.3981,-0.241,-0.5921,0.6093,1.0339,0.4554,-0.2208,1.1576,-2.6112,0.4113,-0.0093,-1.7181,0.6941,0.79,-0.3081,-1.1037,1.2943,0.1305,0.1365,-0.0271,-0.9814,0.0149,-0.0992,-1.5873,1.2958,1.5349,-1.6315,1.3268,0.8353,-0.4057,1.4816,-1.1207,-0.1114,0.6883,-0.2404,-0.0784,-0.6171,-0.8324,-0.1447,-1.0953,-0.0106,1.1624,0.9448,0.8273,-0.6726,-1.5773,-0.3517,-0.3319,-0.5739,-0.1022,-0.7885,0.7541,0.5799,0.9747,-1.1283,0.9281,1.3593,-0.8132,-0.0843,1.2301,-0.6606,-0.2711,-0.7033,-1.0373,-0.7471,-0.3964,0.2985,0.234,-0.5008,1.0677,-0.001,-0.2449,0.2322,0.4805,0.4391,0.8696,-0.7315,-1.7173,-2.0094,0.6747,0.5257,-0.0606,-0.4001,-0.3985,-0.2713,0.4337,0.5536,0.1971,1.0662,0.7364,-0.2466,-0.075,-0.3605,-1.6801,-0.0251,0.5166
