UBE2S
PLEKHO1
PMM1
RFXAP
LIMS1
MNS1
NMNAT2
EPM2AIP1;MLH1
DOLPP1
KIAA1632
LIPH
LOC100128640;ACVR2B
FAM50B
PRNP
BAI2
Unnamed: 1515
ABTB2
UBE2T
RILPL2
ADSSL1
EXOC7
DOK3.1
SNX19
CCDC92
RERG
SPATA18
CYP4F11
ZNF614
C9orf9;C9orf98
ZFP37
HRASLS2.1
SEPT10;ANKRD57
GABRA4
CYB5D1;LSMD1
ANAPC2;SSNA1
T-SP1.1
ORC4L
SUSD1
RENBP
RMST
HLA-DQB2
STAP1
C10orf10;RASSF4
FOXH1
LY6E;LOC100133669
ZFP3
FAM65A.1
MCCC1
COL21A1
ZNF273
JAG2
VAMP8
MAN1C1.1
TRAM1L1
MLC1
CYP2A6
WDR1
NFATC1
HP
ZMYND12;PPCS
ALDOC
H3F3B
HTR3B
ZNF571;ZNF540
Unnamed: 5435
KRT7
FLT3
CDCA3
C8orf31
UBE2E2
PCDHB12
TIGD2
VANGL1.1
KCNK17
GPKOW
SRRT
OCIAD2.1
MAP3K7IP2.1
ARRDC4.1
ASGR1.1
KRT7.1
ZNF704
C16orf52
RXRB;COL11A2
STK32B
CADM1.1
TBX3
SIAH1.1
CYP2D6
CTDSPL
KCNJ5
XKR6.1
BCL9L
ZNF354C.1
AGMAT
Unnamed: 9628
PNMT
TBC1D10B
C14orf167;DHRS4
PPIL2
LARGE.1
CD160.1
PADI3.1
ASGR2
GFOD2
MRGPRX2
ZNF804A.1
Unnamed: 10665
PTH1R.1
GATA4.5
C14orf178;SNW1.1
SDR16C5
FABP6
ZNF655.1
HCP5.1
DAPK1.2
TNXB.1
IL9
EPM2AIP1;MLH1.3
TMEM144
KDM4C.1
PRLR
PCK1
Unnamed: 11391
SNORD116-1.2
OR3A1
GPR19
ZNF613.1
FAM125A.1
KCNK1.1
EDA2R
SLC16A3
ADAMTS4;NDUFS2.1
PLXDC1
SIX6
NOTCH4.1
BEND7
MNS1.1
POLR3K.1
UNC13D
C10orf26.1
RFXAP.1
DACH2.1
UAP1L1.1
HOXD8
HOXC5;HOXC4.1
NMNAT3.1
TOMM70A;LNP1
NXNL1.1
CTSZ.3
SPEG.1
IQCK;C16orf88
SNAPC3
METTL4;NDC80.1
SERPINA13
SGK2
LPCAT1
PUF60.1
INPP5E.1
CCDC14
Unnamed: 15140
PTAFR
MNT
KIF5A.1
PDCD2
SATB1
DYRK1B.1
CYP24A1.1
TMEM183BP;TMEM183A
CDKN2B;CDKN2BAS.2
HNRNPM
TMEM100.1
LCN12.1
FAM117A.1
IPO8
MSX1.11
MCM5.1
FERMT3.2
PDLIM1
KIAA0195.1
MSX1.12
RIPK3.1
ZMYND10.1
MAST1.1
SHOC2.1
MRPS14
PNMA5.1
MATN3.1
CLIC2
HOXB4.4
SLC5A10
CCDC57.2
XYLT1
DAPP1
CRHBP.1
FZD6
MSH4.1
ARHGEF17
PLAGL1;HYMAI.5
SPRY2.1
DCTN3.1
PERP.1
ATP10D
BTN2A1
GALP
PRKAG3
MT1F.1
ZNF264.4
CNR1
RDH12.1
SMC1B;RIBC2
MPPED2.1
SERPINB10
SERPINB5.5
SLPI.1
KLK12
PKD2
FGF20.1
FCGBP.1
GALC
DLX5.16
LINC02914.1
HNF4G
BMP4.1
MRVI1.1
SERPINB4
C14orf167;DHRS4.1
ZIC2.1
SERPINB2
ME1.1
PGM1.1
SDC2.1
SMCR8;TOP3A.1
MID1.1
ZNF614.1
BTN2A2
GRB10.10
PDHX;APIP.2
ATP8B1.1
C1QTNF6
RHOQ.1
C5orf38;IRX2
CES3.1
ZNF678.1
FDX1.1
PTTG1
ERP29;TMEM116.2
HAPLN2.1
PPP1R16B.1
CHST12
