PIGV
ZDHHC18
AGBL4-IT1
CPT2
C1orf123
MAGOH
LINC00466
FOXD3
MIR6068
DDAH1
SRGAP2D
SV2A
MIR548F1
RNU6-72P
PRG4
OCLM
PTGS2
PLA2G4A
TAMM41
LINC00692
ABHD5
TDGF1
FAM240A
MIR1226
MIR548A3
NAALADL2
DLG1-AS1
MIR4797
C4orf48
NAT8L
POLN
MXD4
CFAP99
CORIN
NFXL1
NIPAL1
RP11-707A18.1
CCSER1
CLCN3
C4orf27
NDUFS4
PDE4D
TRIM36
SNX2
SNX24
PPIC
GMDS
LY86
NRSN1
C6orf222
TDRG1
TSG1
NCOA7
HINT3
PTPRK
LAMA2
GLCCI1
KLHL7
ABCA13
CACNA2D1
PPP1R9A
BCAP29
RNF133
RNF148
XKR6
C8orf12
LZTS1
LZTS1-AS1
LINC02153
GFRA2
ADAM28
ADAMDEC1
RNF170
MIR4469
FNTA
HGSNAT
POMK
POTEA
LOC100130298
LINC00966
CYP7B1
LINC00251
FLJ42969
NDRG1
TEK
TLN1
CREB3
MSMP
NPR2
SPAG8
GLIPR2
CCIN
CLTA
GNE
RNF38
MIR4290HG
AUH
NFIL3
NR5A1
CCDC7
C10orf11
LINC00595
PAPSS2
HOGA1
PI4K2A
MARVELD1
SFRP5
GPAM
MIR6715A
MIR6715B
HABP2
NRAP
C10orf118
PLEKHA1
IGF2
INS-IGF2
MIR483
IGF2-AS
INS
MIR4686
TH
SBF2
ADM
CAND1.11
AMPD3
MIR4485
RNF141
SOX6
ANO5
OR5B17
OR5B3
OR5B2
OR5B21
ZFP91-CNTF
ZFP91
LRP5
MRGPRD
MRGPRF
TPCN2
DISC1FP1
LOC374443
EPS8
STRAP
DDX11
FAM60A
FLJ13224
PAWR
PABPC3
KLHL1
GPC6
MBNL2
ING1
C14orf23
FOXG1
PTCSC3
MBIP
OTX2
OTX2-AS1
RBFOX1
ABAT
CNEP1R1
HEATR3
PAPD5
ADCY7
MIR6771
NPAP1L
WWOX
CDH13
GSE1
MIR744
CDRT15P2
ZNF286A
CCDC144B
FAM106A
LGALS9C
KRT17P5
USP32P2
TRIM16L
PRPSAP2
C17orf51
FAM27L
FLJ36000
KCNJ18
MTRNR2L1
KAT2A
CA10
SEPT4
PPM1E
LOC729683
STRADA
CCDC47
RGS9
DLGAP1
CCDC178
ASXL3
LINC00907
EPG5
LINC01630
DCC
SNORA37
LINC01924
OR7A5
OR7A10
CASP14
NOTCH3
CIST1
KIAA1683
RPSAP58
PCAT19
ZNF225-AS1
RELB
CLASRP
GEMIN7
MBOAT7
TSEN34
RPS9
CASC20
FRG1B
MLLT10P1
LINC01440
LOC100506384
MIR124-3
KCNQ2
EEF1A2
SRMS
MX2
SLC25A17
DNAJB7
EP300
MIR1281
PHF5A
NHP2L1
C22orf46
MEI1
LOC284933
TENM1
MIR106A
MIR19B2
MIR20B
MIR92A2
CCDC160
MCF2
ATP11C
CXorf66
HAPSTR2
MIR505
CXorf40A
CXorf40B
LINC00850
LINC00894
