ABCA12
ABCC5
ABCG2
ABHD12B
ACAA2
ACSL1
ACTL8
ADAMTS17
ADIPOR2
AGR2
ALKBH3
ALOX15
ANKRD13B
APOH
ARHGAP8
ARHGDIG
ATAD3C
ATP5A1
ATP8B1
ATPAF2
AZU1
B3GALNT1
B3GNT4
BAX
C10orf137
C10orf140
C10orf47
C11orf20
C17orf82
C18orf18
C18orf45
C19orf51
C20orf11
C20orf46
C21orf15
C21orf62
C2CD4A
C5orf52
C7orf29
C8orf58
CA10
CABLES2
CACNA1S
CACNA2D2
CACNG4
CALCA
CATSPER1
CCDC92
CCNJL
CDC14B
CDHR3
CDRT1
CES3
CLDN20
CLEC18C
CNFN
COL9A1
CPPED1
CPT2
CST2
CXCL2
CXorf40A
CYP27B1
DCAF4L1
DCLRE1C
DDIT4L
DDX26B
DEFA6
DGAT2
DHRS13
LINC02716
DKK1
DKKL1
DNASE1L1
DNASE2B
DOCK5
DUSP27
EDA2R
EEF1DP3
EGR4
ELOVL3
EPM2AIP1
EPS15L1
ESM1
EVX1
FAM102B
FAM160A1
FAM179B
FAM185A
FAM58A
FAM84B
FAM92A1
FARP1
FAS
FBXW10
FKRP
FN3KRP
FOXA2
FOXC2
FOXI1
FOXL1
FRK
FUT1
GABRE
GDAP1L1
GDF9
GGTLC1
GNG13
GPR64
GRAMD4
GRHL2
GRM1
GRM5
GSDMC
GSTM2P1
HDHD2
HIST1H3J
HIST2H4A
HMGCL
HOXC11
HS6ST2
HSPA5
IFT172
IL12A
IMPACT
IRX2
JAG1
JDP2
KDSR
KIAA1324L
KLRD1
KRT13
LILRP2
LOC100130987
LINC01134
SLC25A48
USP27X-DT
AADACP1
LINC01089
SAE1P1
SNHG17
BCRP3
ZBED3-AS1
LOC730101
LOC730668
LYG1
LYPD5
MAFF
MAP6D1
MAPRE3
MAST1
MDS2
MEX3C
MIXL1
MOBP
MSH4
MT1E
MUC6
NAPG
NARS
NFIB
NKX3-1
NR1I2
NR2E3
NR2F1
NTRK2
OCA2
OCM
OR7E91P
OSBPL2
PAMR1
PDE8B
PDE9A
PHF17
PHF23
PIGV
PIM3
PLA2G4F
PLK2
PLXNA2
PMM1
POLR2J2
POLR3D
POMZP3
PRKCQ
PRNP
PRSS23
PTK6
RAC3
RALBP1
RASGEF1C
RBM7
RGS7BP
RHBDL3
RIMBP3C
RNASE3
RNF113A
RNF145
RNF160
ROBO3
RORB
RPL22L1
SCD
SEC31A
SEMA5B
SERPINA1
SLC12A5
SLC22A14
SLC41A1
SLC5A12
SLCO1C1
SLCO4A1
SLCO4C1
SMAP1
SMTNL1
SNORA67
SNORA74A
SNRNP48
SQLE
SS18L1
STIM2
TCF7
TEX261
TGIF1
TMEM232
TMEM97
TNFRSF21
TNNT1
TREML2
TRNAU1AP
TRPC4
TTC30A
TTC39C
TYMS
UPF3A
VAPA
VN1R1
WFDC2
WT1
XBP1
XPC
XRRA1
ZADH2
ZDHHC9
ZNF117
ZNF354C
ZNF428
ZNF43
ZNF683
ZNF879
