AKT1_prot
MTOR_prot
EGFR_prot
ERBB2_prot
TP53_prot
PTEN_prot
MYC_prot
SRC_prot
ESR1_prot
CCND1_prot
MAPK1_prot
PIK3CA_prot
STAT3_prot
CTNNB1_prot
CDK4_prot
HIF1A_prot
VHL_prot
MET_prot
BRAF_prot
BAP1_prot
KDR_prot
VEGFA_prot
CDKN1A_prot
CASP3_prot
PARP1_prot
