-0.035,-0.035,-0.035,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.015,-0.011,-0.011,0.307,0.307,0.307,-0.01,-0.023,0.701,0.701,0.701,0.686,0.686,0.686,0.686,0.329,0.329,0.329,0.0,0.0,-0.008,-0.021,-0.714,-0.009,-0.021,-0.021,-0.019,-0.019,0.312,0.312,0.312,0.312,0.312,0.317,0.317,0.343,0.343,-0.012,-0.012,0.298,-0.004,-0.004,-0.33,-0.33,-0.33,0.35,0.35,0.35,0.35,0.35,0.35,-0.355,-0.355,0.139,-0.015,-0.031,-0.031,0.073,0.073,-0.534,0.048,0.048,0.326
-0.827,-0.806,-0.807,-0.183,-0.183,-0.183,-0.183,-0.183,-0.183,-0.183,-0.451,-0.395,-0.395,0.329,0.329,0.329,0.057,0.057,0.116,0.116,0.008,0.008,0.008,0.008,0.008,-0.827,-0.827,0.289,-0.196,-0.207,-0.179,-0.808,-0.167,0.021,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.003,-0.01,-0.01,-0.01,1.36,1.36,-0.81,-0.81,-0.175,0.075,0.075,-0.813,-0.813,-0.813,0.087,0.087,0.087,0.087,0.087,0.087,-0.82,-0.82,0.021,-0.813,-0.389,-0.389,-0.166,-0.166,-0.166,-0.166,-0.166,-0.166
0.189,0.189,-0.601,0.262,0.26,0.26,0.26,0.26,0.26,0.26,0.165,0.152,0.152,-0.224,-0.224,-0.224,-0.149,-0.157,0.878,0.878,0.808,0.189,0.189,0.189,0.189,-0.619,-0.619,1.13,0.346,0.346,0.268,-0.627,-0.627,1.19,-0.575,-0.575,-0.575,-0.575,-0.178,-0.178,-0.178,-0.178,-0.178,-0.178,-0.178,1.03,0.986,-0.628,-0.628,-0.607,0.413,-0.376,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.62,-0.62,0.238,-0.17,-0.604,-0.604,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039
-0.077,-0.077,-0.077,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.453,-0.482,-0.452,0.159,0.159,0.159,-0.059,-0.106,0.304,0.379,0.379,0.379,0.379,0.379,0.379,0.23,0.224,0.183,0.038,0.036,-0.462,-0.837,-0.114,0.002,-0.006,-0.462,-0.462,-0.006,-0.454,0.176,0.176,0.176,0.176,0.176,0.176,0.861,0.861,0.105,0.108,-0.438,0.144,0.193,0.169,-0.438,-0.438,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.441,-0.441,0.359,0.0,-0.446,-0.446,-0.218,-0.218,-0.218,-0.218,-0.218,0.247
-0.505,-0.505,0.01,-0.218,-0.159,-0.159,-0.159,-0.159,-0.159,-0.159,-0.481,-0.459,-0.459,-0.012,-0.029,-0.058,0.009,0.006,0.508,0.508,0.508,0.501,0.501,0.501,0.501,-0.521,0.491,1.38,-0.497,-0.497,-0.505,-0.505,-0.505,-0.045,0.411,0.411,0.411,0.411,-0.015,-0.015,-0.015,-0.015,-0.015,-0.036,-0.036,0.432,0.432,1.06,0.159,-0.251,0.354,0.354,-0.509,-0.509,-0.509,0.172,0.172,0.172,0.172,0.172,0.172,-0.57,-0.57,0.461,-0.484,0.015,0.015,0.021,0.021,0.021,0.021,0.021,-0.003
0.012,0.012,0.0,-0.401,-0.368,-0.368,-0.368,-0.368,-0.368,-0.368,-0.09,-0.086,-0.086,-0.135,-0.146,-0.149,0.261,0.261,0.392,0.392,0.392,0.392,0.392,0.392,0.392,-0.394,-0.394,1.17,-0.375,-0.375,-0.027,-0.024,-0.024,0.166,0.166,0.166,0.166,0.166,0.138,0.138,0.138,0.138,0.138,0.138,0.138,1.34,1.34,-0.376,-0.376,-0.293,0.723,-0.013,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.032,0.032,-0.335,-0.023,0.07,0.07,0.117,0.117,0.117,0.135,0.135,0.097
0.006,0.006,0.008,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.006,0.039,0.039,0.0,0.0,-0.001,0.005,0.005,0.011,0.011,-0.019,-0.003,-0.003,0.008,0.008,0.0,0.0,-0.006,0.008,0.008,-0.07,-0.053,-0.053,-0.001,0.005,-0.007,-0.007,-0.007,0.01,0.01,0.01,0.01,0.01,0.001,0.001,0.005,0.005,0.001,0.001,0.0,0.003,-0.006,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,-0.208,-0.208,-0.01,-0.803,-0.001,-0.001,-0.015,-0.015,-0.015,-0.015,-0.015,-0.011
-0.034,-0.034,0.006,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.02,0.02,0.02,0.017,0.017,-0.909,-0.04,-0.925,0.87,0.898,0.846,0.846,0.846,0.846,0.846,-0.004,-0.004,-0.004,0.01,-0.026,-0.021,-0.012,-0.003,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,0.004,0.004,0.004,0.004,0.073,0.073,0.003,-0.005,-0.005,-0.033,-0.028,-0.939,-0.923,-0.923,-0.015,-0.015,-0.015,-0.015,-0.015,-0.008,-0.894,-1.29,-0.056,-0.003,-0.038,-0.038,-0.092,-0.092,-0.092,-0.092,-0.092,-0.092
0.002,0.002,0.011,-0.01,0.001,-0.021,-0.021,-0.021,-0.021,-0.021,-0.033,-0.05,-0.05,0.503,0.503,0.505,-0.019,-0.011,0.504,0.504,0.48,0.471,0.471,0.471,0.471,0.593,0.593,0.482,0.016,0.002,-0.013,-0.011,-0.011,0.058,-0.016,-0.511,-0.005,0.004,0.48,0.515,0.515,0.515,0.465,0.508,0.504,1.3,1.3,-0.034,-0.016,0.03,0.028,-0.006,-0.564,-0.556,-0.556,0.029,0.029,0.029,0.029,0.029,0.029,-0.557,-0.557,-0.013,-0.02,0.018,0.018,0.104,0.104,0.104,0.104,0.104,0.099
-0.022,-0.022,0.002,-0.022,-0.014,0.022,-0.974,0.026,0.026,0.026,0.017,0.101,0.101,0.002,0.002,0.009,-0.02,0.046,-0.076,0.025,-0.002,-0.001,0.037,0.034,0.034,0.042,0.042,-0.001,-0.008,-0.062,-0.036,0.002,0.035,-0.134,-0.044,0.015,0.012,0.051,0.013,-0.013,-0.013,-0.013,0.009,-0.023,-0.023,0.051,0.003,0.022,-0.017,0.015,-0.029,-0.011,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.055,-0.066,1.94,-0.007,-0.143,0.008,-0.06,-0.06,0.051,0.051,0.051,0.051,0.051,0.01
