hsa-let-7a-5p
hsa-let-7b-5p
hsa-let-7c-5p
hsa-let-7e-5p
hsa-let-7g-5p
hsa-let-7i-5p
hsa-miR-101-3p
hsa-miR-101-5p
hsa-miR-103a-2-5p
hsa-miR-103a-3p
hsa-miR-106a-5p
hsa-miR-106b-5p
hsa-miR-10a-5p
hsa-miR-10b-5p
hsa-miR-1228-5p
hsa-miR-1247-5p
hsa-miR-1251-5p
hsa-miR-125a-5p
hsa-miR-125b-5p
hsa-miR-126-5p
hsa-miR-1266-5p
hsa-miR-1269a
hsa-miR-127-5p
hsa-miR-1270
hsa-miR-1271-5p
hsa-miR-1287-5p
hsa-miR-129-5p
hsa-miR-1296-5p
hsa-miR-130a-5p
hsa-miR-130b-5p
hsa-miR-132-5p
hsa-miR-134-5p
hsa-miR-135a-5p
hsa-miR-135b-5p
hsa-miR-136-5p
hsa-miR-138-5p
hsa-miR-139-5p
hsa-miR-140-5p
hsa-miR-141-5p
hsa-miR-142-5p
hsa-miR-143-5p
hsa-miR-144-5p
hsa-miR-145-5p
hsa-miR-1468-5p
hsa-miR-146a-5p
hsa-miR-146b-5p
hsa-miR-148a-5p
hsa-miR-149-5p
hsa-miR-150-5p
hsa-miR-151a-5p
hsa-miR-154-5p
hsa-miR-155-5p
hsa-miR-15a-5p
hsa-miR-15b-5p
hsa-miR-16-5p
hsa-miR-17-5p
hsa-miR-181a-5p
hsa-miR-181b-5p
hsa-miR-181c-5p
hsa-miR-181d-5p
hsa-miR-182-5p
hsa-miR-183-5p
hsa-miR-185-5p
hsa-miR-186-5p
hsa-miR-188-5p
hsa-miR-18a-5p
hsa-miR-190a-5p
hsa-miR-191-5p
hsa-miR-192-5p
hsa-miR-193a-5p
hsa-miR-193b-5p
hsa-miR-194-5p
hsa-miR-195-5p
hsa-miR-196a-5p
hsa-miR-196b-5p
hsa-miR-1976
hsa-miR-199a-5p
hsa-miR-199b-5p
hsa-miR-19b-1-5p
hsa-miR-200a-5p
hsa-miR-200b-5p
hsa-miR-200c-5p
hsa-miR-204-5p
hsa-miR-20a-5p
hsa-miR-20b-5p
hsa-miR-21-5p
hsa-miR-2110
hsa-miR-2114-5p
hsa-miR-214-5p
hsa-miR-215-5p
hsa-miR-217
hsa-miR-218-5p
hsa-miR-22-5p
hsa-miR-221-5p
hsa-miR-222-5p
hsa-miR-223-5p
hsa-miR-224-5p
hsa-miR-2277-5p
hsa-miR-2355-5p
hsa-miR-23b-5p
hsa-miR-24-1-5p
hsa-miR-24-2-5p
hsa-miR-26a-5p
hsa-miR-26b-5p
hsa-miR-27a-5p
hsa-miR-27b-5p
hsa-miR-28-5p
hsa-miR-296-5p
hsa-miR-29a-5p
hsa-miR-29b-1-5p
hsa-miR-29b-2-5p
hsa-miR-29c-5p
hsa-miR-3065-5p
hsa-miR-30a-5p
hsa-miR-30b-5p
hsa-miR-30c-5p
hsa-miR-30d-5p
hsa-miR-30e-5p
hsa-miR-31-5p
hsa-miR-3127-5p
hsa-miR-3130-5p
hsa-miR-3170
hsa-miR-3199
hsa-miR-32-5p
hsa-miR-320a
hsa-miR-320b
hsa-miR-320c
hsa-miR-324-5p
hsa-miR-326
hsa-miR-330-5p
hsa-miR-331-5p
hsa-miR-335-5p
hsa-miR-338-5p
hsa-miR-339-5p
hsa-miR-33a-5p
hsa-miR-33b-5p
hsa-miR-340-5p
hsa-miR-342-5p
hsa-miR-345-5p
hsa-miR-34a-5p
hsa-miR-361-5p
hsa-miR-3613-5p
hsa-miR-3615
hsa-miR-362-5p
hsa-miR-365a-5p
hsa-miR-369-5p
hsa-miR-374a-5p
hsa-miR-375
hsa-miR-378c
hsa-miR-379-5p
hsa-miR-382-5p
hsa-miR-3913-5p
hsa-miR-3934-5p
hsa-miR-409-5p
hsa-miR-411-5p
hsa-miR-421
hsa-miR-423-5p
hsa-miR-424-5p
hsa-miR-425-5p
hsa-miR-429
hsa-miR-432-5p
hsa-miR-4326
hsa-miR-450a-5p
hsa-miR-450b-5p
hsa-miR-451a
hsa-miR-452-5p
hsa-miR-455-5p
hsa-miR-484
hsa-miR-486-5p
hsa-miR-493-5p
hsa-miR-497-5p
hsa-miR-500a-5p
hsa-miR-500b-5p
hsa-miR-501-5p
hsa-miR-502-5p
hsa-miR-503-5p
hsa-miR-504-5p
hsa-miR-505-5p
hsa-miR-508-5p
hsa-miR-509-3-5p
hsa-miR-509-5p
hsa-miR-511-5p
hsa-miR-532-5p
hsa-miR-539-5p
hsa-miR-542-5p
hsa-miR-545-5p
hsa-miR-550a-5p
hsa-miR-576-5p
hsa-miR-577
hsa-miR-581
hsa-miR-582-5p
hsa-miR-584-5p
hsa-miR-589-5p
hsa-miR-590-5p
hsa-miR-592
hsa-miR-616-5p
hsa-miR-618
hsa-miR-624-5p
hsa-miR-625-5p
hsa-miR-627-5p
hsa-miR-628-5p
hsa-miR-629-5p
hsa-miR-642a-5p
hsa-miR-651-5p
hsa-miR-653-5p
hsa-miR-654-5p
hsa-miR-660-5p
hsa-miR-664a-5p
hsa-miR-671-5p
hsa-miR-7-5p
hsa-miR-708-5p
hsa-miR-744-5p
hsa-miR-760
hsa-miR-769-5p
hsa-miR-885-5p
hsa-miR-891a-5p
hsa-miR-9-5p
hsa-miR-93-5p
hsa-miR-935
hsa-miR-942-5p
hsa-miR-96-5p
hsa-miR-98-5p
hsa-miR-99a-5p
