1.0244,1.2595,1.1113,1.4059,1.6232,-0.5923,0.1355,0.6233,0.8036,0.3417,0.7493,1.6447,0.2196,0.1561,0.8313,-1.3878,0.1801,0.8028,-0.4495,-0.8297,-0.1043,0.0558,-0.7072,1.6771,-0.2497,-0.904,-0.0537,0.8063,0.0778,0.4149,-0.6423,1.2796,0.4523,0.899,0.2925,0.7108,-0.6391,-0.319,1.1181,1.3007,-0.9048,0.2417,-0.2954,-0.503,0.3453
1.7397,1.1928,0.5994,1.2319,0.5457,1.1309,1.9392,-0.8065,1.4486,-0.4141,0.9915,-0.4467,-0.925,0.665,0.4516,-0.7309,-0.8836,-0.0534,-0.9248,-0.7694,0.2211,-0.7146,0.3466,1.2007,-0.0541,0.1379,1.6418,-0.8291,1.0851,0.8974,0.7294,1.0862,0.2761,-0.418,0.9006,0.9184,0.9653,0.0656,-0.5373,0.2281,0.7624,0.8384,-0.3003,0.3011,-0.9077
1.3494,1.6107,1.4829,1.0237,1.1348,-0.0718,0.2941,1.52,1.5311,1.4234,-0.3812,0.781,-0.8225,1.0428,-0.0311,1.3868,-1.1465,1.4419,-0.2462,-0.2444,0.2085,-0.4569,-0.0455,-0.572,-0.4647,0.4225,-0.7032,-0.503,-1.057,-0.3785,1.116,-0.5717,-0.4074,0.2228,-0.2766,1.7919,-0.0625,0.3084,0.7771,0.8158,0.1964,-0.0918,1.677,-0.0335,-0.264
0.334,0.8484,1.9169,1.0871,1.3454,0.2,1.6237,2.6586,0.1873,-0.0196,0.15,0.7705,-0.0047,-0.7228,0.0659,0.5624,-0.1553,0.5912,0.9657,0.3531,0.0479,0.7475,-0.6842,-0.7599,-0.0978,-0.3719,-0.626,1.6051,1.891,-0.2733,0.1218,-0.034,0.8897,1.0781,-1.4211,0.3837,-0.949,1.4322,0.3851,-0.6378,-0.1857,-0.2243,0.461,0.8572,-0.8481
1.7574,1.5407,1.256,1.46,0.2035,0.373,1.409,0.1866,1.9931,0.6093,0.4379,1.833,-0.4791,0.1267,0.9525,0.8144,-0.1143,-0.3882,-0.0447,1.2441,-0.0717,0.1059,-0.3413,0.5646,0.2425,-0.7501,-0.7655,-1.5888,-0.5859,0.6519,1.0609,0.5532,0.4449,-0.0664,0.621,0.23,1.445,-0.0786,1.1129,0.8013,0.5893,-1.5738,0.7574,-0.0516,-0.2852
-0.2949,0.8378,0.9211,-0.207,-0.3553,1.1899,1.5297,0.9527,1.7318,0.7692,-0.0391,-0.6735,-1.1867,1.5543,0.9963,-1.0765,0.1596,-0.0588,-0.1625,-0.2539,0.3184,0.6651,0.3274,-0.0963,-0.0408,0.7515,0.3838,0.0901,0.0175,0.2875,-0.324,0.7403,-0.8554,-0.2723,0.4906,-0.8755,-1.2116,0.0818,-1.3521,-0.9602,0.6064,-0.1489,1.1103,-0.9346,-0.0349
1.8893,4.0219,-0.1535,1.2772,0.4109,2.4422,-0.2809,1.3027,-0.2982,0.6403,-0.0232,0.9072,-0.8211,0.6567,0.1834,0.3827,0.8979,-0.9817,0.6996,-0.3467,0.9388,0.3183,-0.1592,-0.4718,0.737,1.0093,-0.3942,-0.8031,0.6032,-1.1315,-1.0063,-0.7805,-0.3151,-1.0246,-1.5508,-0.9056,0.5379,-0.9472,-0.142,1.5963,-0.0373,0.3005,-0.7271,1.7694,-0.3005
0.9911,0.4961,0.5351,0.3106,1.0245,1.3593,0.3831,0.7846,0.3225,1.0346,-0.4253,-0.5516,-0.4737,0.5224,0.0743,-0.262,0.4028,-0.2598,0.9298,-0.6454,-0.0853,-1.0269,-0.2637,-1.3375,0.7394,0.6949,0.6325,0.2342,-0.6211,-0.5861,1.4082,1.2422,0.174,-0.3573,1.1038,-0.513,0.2127,1.1592,-0.6605,0.7291,0.4197,0.007,-0.7497,-0.5475,0.3341
0.863,1.8216,1.7168,0.5767,-0.1056,0.4556,0.4386,1.1718,0.7449,0.2123,0.8978,0.1487,0.4287,-1.2269,-1.8063,-1.0631,-0.2809,0.6011,-1.8168,1.3744,0.1905,1.2134,-0.7019,0.4045,0.2214,0.6638,-0.1757,0.6074,1.0549,-0.5079,0.2835,-1.3602,0.5659,1.59,-0.9793,-0.0428,0.8063,0.0603,0.1664,-0.2818,-0.3335,-0.0412,0.0681,-0.8953,0.1289
1.5317,0.4333,0.5977,1.4137,0.8289,2.3274,1.4696,1.3243,0.8002,1.7276,-0.2366,0.2908,-0.6773,0.9688,0.3714,1.6996,2.0221,0.7019,0.1038,-0.6638,0.7555,0.2195,0.4309,1.3853,-0.4768,-0.7347,-0.1694,0.7866,0.5877,-0.6804,0.7323,-0.8918,-0.654,-0.0239,-0.4352,0.7235,0.369,1.4677,-0.1689,-0.0324,0.9715,-0.0307,1.2314,0.4758,-1.7756
1.7817,1.5612,1.5914,-0.6727,0.3802,0.3297,0.1456,2.2027,0.7947,0.9471,0.4476,0.532,-2.6208,-0.3776,-0.9549,0.4148,-0.1363,0.0426,-1.6315,-0.1928,0.9545,1.2109,0.5773,-1.0682,1.1118,0.5951,-0.066,-1.569,0.8312,-0.4558,0.3564,0.0983,1.2379,-0.0513,-0.0081,1.2682,-0.4783,0.6885,-0.1379,-0.7187,0.0176,0.566,1.1402,1.2234,-0.1441
