FAM72C
SRGAP2D
SV2A
VPS45
PLEKHO1
RPRD2
S100A10
SEMA4A
APOA2
NR1I3
TOMM40L
DDR2
HSD17B7
NME7
ZC3H11A
SNRPE
LRRN2
NFASC
SRGAP2B
ATF3
TATDN3
DISC1
SMYD3
PRICKLE4
SIM1
SLC16A10
TBC1D32
HSF2
SERINC1
TARID
LINC00271
EGFR-AS1
LINC01156
ERI1
TUSC3
EPHX2
SMIM18
FUT10
KCNU1
ERLIN2
BRF2
C8orf86
LOC100130964
C8orf4
ZMAT4
ANK1
KAT6A
CHRNB3
THAP1
RNF170
HOOK3
IMPAD1
SGK3
TRIQK
C8orf87
NIPAL2
OSR2
VPS13B
ANKRD46
SNX31
GRHL2
ENY2
CSMD3
TRPS1
COLEC10
DEPTOR
PCAT1
MIR1208
LINC00977
ST3GAL1
ZFAT-AS1
GPR20
LINC00051
LINC01300
MIR4472-1
MROH5
PTP4A3
TSNARE1
SMARCA2
INSL4
LINC00583
TTC39B
SEPHS1
ZNF503-AS1
C10orf11
NRG3
QSER1
EHF
PACS1
RAB1B
CNIH2
YIF1A
TMEM151A
RHOD
AIP
MIR6752
SUV420H1
PPP6R3
CTTN
SHANK2
ZNF705E
DEFB108B
MIR3165
RELT
LIPT2
NEU3
SERPINH1
GUCY2EP
TSKU
B3GNT6
KCTD21-AS1
FAM181B
C11orf82
RAB30
ANKRD42
WNK1
MIR1244-2|chr12
RNU6-19P
IFNG-AS1
TFDP1
GAS6-AS2
TMEM255B
MIPOL1
NR2F2-AS1
NR2F2
LYSMD4
SNORD60
MTRNR2L4
CREBBP
ADCY9
PMM2
C16orf72
CARHSP1
USP7
TNFRSF17
CPPED1
ERCC4
PARN
IQCK
SNX29P2
SLC5A2
MYLK3
C16orf87
NETO2
C16orf78
ZNF423
CHD9
RPGRIP1L
CRNDE
SLC5A10
ALDH3A2
CCDC144NL-AS1
C17orf103
WSB1
TBC1D3P5
LGALS9
TIAF1
CRYBA1
TBC1D29
ATAD5
RHBDL3
ASIC2
CCL1
CCL2
CCL7
LINC01989
AP2B1
CCL23
GGNBP2
MIR2909
MIR378J
GPR179
LASP1
LRRC37A11P
RDM1P5
FBXL20
PGAP3
IKZF3
ZPBP2
MIR6866
MIR6867
CDC6
GJD3
KRT24
KRT20
WNT3
MIR1203
HOXB1
GNGT2
TMEM92
WFIKKN2
C17orf112
KIF2B
PCTP
TRIM25
RP11-118E18.2
MRPS23
OR4D1
SEPTIN4-AS1
PPM1E
TRIM37
LOC653653
TBX4
BRIP1
EFCAB3
CCDC47
CEP112
PRKCA-AS1
MIR634
CACNG5
MAP2K6
GGA3
RECQL5
ITGB4
GALK1
UNC13D
FBF1
ST6GALNAC1
MFSD11
LINC02080
MIR4316
LINC01987
TNRC6C
TMC8
SYNGR2
TK1
HP09025
MIR4739
LINC01979
LINC01978
CCDC40
CHMP6
MIR4740
CCDC57
POP4
PLEKHF1
KCNK15
MATN4
WFDC3
NCOA5
SLC35C2
ELMO2
LINC01524
LINC01441
LINC01440
CBLN4
OSBPL2
KCNQ2
hsa-mir-548d-1
hsa-mir-1302-7
