PMEPA1
MTM1
DIO2
CRB1
PYY;NAGS
SHH
FLJ45983
CYFIP2
HERC3;NAP1L5
DOLPP1
ZNF710
C19orf59
TRPA1
RHBDL1
ACE
HIST1H2BI
ZNF254
SEMG2
C12orf34;MGC14436.1
NTM
ATP6V0A4;TMEM213
PKMYT1.1
EPN3;MYCBPAP
KCNE3
CCDC65
ZSCAN12
TFF1
NETO2
CA6
S100A9
PAEP.1
FAM24B
ABTB1
SEPT9
ZFP37
TSPAN2
GRB7
ALOX12
FEN1;MIR611;C11orf10.2
GLRX
IGFBP7.1
NMUR2
TMCO5A
RAB32
SGCD.1
DST
C13orf29
SNCAIP
GSTP1.1
SYDE1.1
SKAP1
SYNC
ZDHHC15
SMIM43;LOC100192379
TLR4.1
HIPK3
INGX;BCYRN1.1
DAB2IP
ALKBH7
TRIM15
GZMA
ZIM2.1
RHD
HOXA13
HNF1A
ZNF549
LRRC37B2
KRT72
HCN1
DLK1
SLC7A11.1
AMDHD1
GLT8D2
HSD17B8
UMOD
LOC400931.1
LY6D.1
TDRD9
ZSCAN12.1
DKK1
RPL39L.1
PDGFD
TIGD2
NAT8;ALMS1P
DDX43
SLC1A2
TMEM100
CCDC65.1
CCHCR1;TCF19
MEST.2
FLJ25006
GTF3C5
AKR1C4
HOXB2
MYO1A.1
TDRD5
SHROOM2
A4GALT.1
PLXNB1
RIMBP2
CYP3A4
SMARCA1
Unnamed: 8193
FOXG1.1
GPR77
WISP3
LRRC7
PCDHB15
HOXD9
BPIL1
SEMA5A.1
ALS2CR11
VGLL2.1
FTMT
PDILT
C8orf86
ADAM12
AGMAT
Unnamed: 9544
GHSR
PLXNB1.1
SERHL
LHCGR
ZNF532
TTC15
CDH12;PMCHL1
PAK7.1
RECK.1
SULT1A2.1
FAM65B
SLITRK4.1
COL11A1
MYOZ3
DKK3
FGF11
CCDC140;PAX3.1
Unnamed: 11098
TNXB.1
ZNF23.1
KRBA2
PM20D1
NCOA4
TOB1.1
GPR153
OR1N1
LBR.1
LCN6.1
PPP1R14C
LAMA3
MT1E
ZEB2.1
WT1.9
S100A9.1
TNFRSF17
TPM4
KAAG1;DCDC2.2
SORCS1
MRGPRX4.1
MRI1
ZNF264.2
ADCY4.1
CCK.1
GPR64
KCTD14.1
CYP7B1.1
STAC2
MGMT.12
LCLAT1.1
HACL1;BTD
IL32
CA3
CXCR7
FSTL5
HOXD3.1
SCNN1A
CYP24A1.1
RUNX1T1
SNX32
CTHRC1
ACCN4.1
TMEM100.1
CAPN6
NR2E1.1
UMODL1;C21orf128
CYBA
S1PR1.1
NAV3
FBP2.1
CYFIP2.1
KCTD4;GTF2F2
CHN2.1
TACC3;TMEM129.3
FAR2
RASSF1.7
NPBWR2.1
GABRP
PRMT8
RBPJL;MATN4.1
SNRPN.2
NETO1
C1orf88.1
GFAP.1
PLAT.1
DMP1.1
SFRP1.4
GHSR.1
CCDC3.1
SCG3
MAPK15.1
FBLIM1
CAP2.1
REG1A.1
HOXD12.1
MKRN3.2
STMN2
KCNN2
KRT79
CD320.1
LY75.1
VMO1.1
SAMD4A.1
HIST1H2AG;HIST1H2BJ.1
BMP4.1
C1QTNF7
MRPL48.1
IL17B.1
MIA
AMBP.1
ELAVL3.1
ADAMTSL2.1
FERD3L.1
TLX3
C21orf57;MCM3AP.1
HOXB2.1
NTNG1.1
PLEKHA4;HSD17B14
PCDHGB3;PCDHGB2;PCDHGB1;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5.1
MYO1H.1
LCE3A.1
ZNF662
KCNA1.1
ZFAND2A.1
ERP29;TMEM116.2
MAPK4.1
KCNIP4.1
CNTN1.1
KLK5.1
HEMGN
SOCS3.1
DAB2IP.6
