ARID2
TCF7L2
MYC
MAP2K1
ARID1A
ACVR2A
ESR1
FBXW7
APC
PGR
EGFR
POLE
SMAD2
CDKN1A
FGFR1
ATM
MSH2
FOXA1
GATA3
PMS2
ZNF703
SOX9
NF2
MLH1
SETD2
HRAS
CDK12
CUL3
FLCN
KRAS
PBRM1
MDM2
MAP3K1
BRCA2
NCOR1
TGFBR1
TSC1
TGFBR2
ETV1
MSH6
MTOR
SMARCB1
AKT1
CDH1
VHL
RB1
BRCA1
IDH1
KMT2D
CCND1
SF3B1
RHEB
CTNNB1
CASP3
NRAS
PIK3CA
SMAD4
ETV4
PIK3R1
BAP1
MET
ERBB2
FLI1
FAT1
NFE2L2
KEAP1
SPOP
NCOR2
TSC2
BRAF
ERG
