0.0221,-0.1478,0.0971,-0.4179,-0.2125,0.7416,1.0391,-0.3999,-0.2456,-0.251,-0.0076,0.733,-3.2542,0.2335,0.4137,0.9848,-0.2776,-0.0053,-1.2323,-0.2009,-0.1929,-1.2681,0.6156,0.8558,0.6681,-0.6555,-0.7473,-0.3951,1.1927,-0.5391
-0.6451,0.3398,1.0279,0.2414,0.3874,0.1664,0.7332,-1.2748,-0.6644,-0.629,-1.0287,-0.4049,-0.2474,2.3186,-0.5809,-0.408,0.6998,0.6862,-1.3552,0.0972,-0.7923,-1.0785,-0.9389,0.7803,-1.3135,0.464,0.0394,0.5937,1.0827,-1.0041
-0.3743,-0.8185,-0.4471,0.059,-2.162,-0.4393,0.2888,-1.7218,0.669,0.5486,0.6188,-0.1417,-0.2433,-0.7479,-1.01,-0.1373,0.8585,0.8183,1.52,-1.2296,-0.5695,1.0825,0.5717,-1.9375,0.2182,-0.1126,-1.7885,-0.76,-0.4724,0.459
-0.715,-2.4165,2.6655,-1.3353,-1.6133,-0.8277,-0.3841,0.2133,0.3901,-0.223,0.7636,-0.1912,0.2522,-0.3571,-1.5166,-1.1873,0.5948,0.5973,0.8537,-1.5918,-0.8492,0.1188,-0.837,-1.6909,0.5807,-0.829,-0.4019,0.0541,-0.7972,0.0034
0.714,0.482,-0.1077,0.343,-1.1587,0.3622,0.492,-0.1391,0.0392,-0.4259,-0.6052,0.0635,-0.0062,-0.2205,0.2418,-0.396,0.1705,1.7531,1.183,-0.1455,-0.0308,-0.0109,1.122,-0.881,1.5441,0.3139,-0.2122,-0.0779,-0.1555,-0.6297
1.3496,-2.3035,4.661,-0.1195,-1.6496,-1.83,-1.697,0.4493,0.9155,2.3512,0.0273,-1.5284,1.9132,-0.7561,0.1337,0.0873,-1.5442,1.4567,-0.5041,0.8433,-2.2756,-0.151,-0.8772,-0.4083,2.0287,1.8365,0.3651,0.3603,0.9988,-1.525
-0.6142,-0.3428,-0.1167,0.0926,1.3257,1.5269,0.6024,0.3736,-0.5192,-0.1602,0.6239,0.9317,-0.1758,-0.1004,-0.0434,-0.4977,0.5041,0.1439,0.8599,-0.3684,0.599,0.8614,0.4875,0.7899,0.619,0.1899,0.5634,0.4844,-0.0733,0.1917
-1.6309,0.5462,-0.9459,0.8448,1.0622,0.6628,0.1598,0.4726,-0.2132,1.8517,-0.058,-1.1012,-1.6594,-0.4847,0.2472,-0.2661,-1.243,0.1283,-1.9127,-0.1151,0.114,-0.9697,1.6197,1.4102,-1.5622,-0.7952,-0.1422,-1.0675,-1.0261,-1.4066
-1.1027,0.4859,0.3484,1.1482,0.7135,-0.4656,-0.9543,0.9511,1.3479,0.9531,-1.2541,-0.8653,2.3974,-0.9428,0.2021,-1.4032,-0.3773,0.9745,-0.0566,-0.4911,1.0698,-0.8619,-1.2587,0.3891,0.7189,-0.7058,1.4138,0.8568,-0.0452,-1.4842
-0.4515,0.3859,0.062,0.1495,-0.2549,0.1086,0.4266,0.3719,1.0716,-0.0049,0.3668,0.9946,-0.7357,-0.2203,-1.3147,-0.5841,0.5792,0.3343,0.3838,-0.7699,0.8187,-0.3117,0.6349,0.2317,1.0684,-0.6798,-0.6939,-0.7562,-0.0127,-0.1966
-0.3609,-1.1989,-1.4119,-0.2476,0.542,-0.2068,-0.2425,0.1652,-0.7008,-0.5176,0.2307,-0.2401,-0.81,-0.7012,0.3211,-1.6018,1.3678,0.3589,0.0064,0.0455,-0.2943,-1.2694,-0.6872,-0.0685,1.147,-0.6216,-0.6805,-0.0229,-1.1379,-0.5984
-0.194,0.8396,-0.1511,0.0985,0.2081,-0.6005,-0.8479,0.0912,-0.2141,-0.511,0.6694,0.3097,-0.0408,-0.6854,-0.2906,0.6252,1.4344,1.5931,1.7536,2.6287,0.9196,0.6198,1.7421,-1.1957,1.2482,-0.0752,0.0351,-1.1871,-0.5522,-1.1207
-0.4399,0.3077,-0.564,0.9993,0.3441,0.2943,-0.3451,0.5412,-0.0597,-0.4168,-0.1227,-1.417,-0.7757,0.5418,0.3699,-1.2354,-0.934,-0.0635,-0.1367,-0.9568,1.0515,-1.015,0.3185,1.2904,-0.4563,-1.2862,0.7187,-2.1856,-0.8354,-0.1919
-1.1245,-0.927,0.0297,-1.3834,-0.3397,0.6272,0.0506,0.3889,-0.9797,-0.5297,1.0582,0.3423,-0.7528,-1.4687,0.0867,-0.2995,0.0356,1.4614,1.2283,-1.3891,0.7202,-0.1708,0.8652,-1.3759,1.8195,-0.4828,0.0364,0.1246,-1.9626,-0.3232
0.895,-1.6978,1.8823,-0.2226,-1.7854,-0.422,-0.1026,-2.8853,0.2903,1.7072,-0.1605,-1.785,0.3783,-0.2064,-0.5066,-0.3664,1.1236,2.1032,0.8648,-0.0607,-1.0749,-0.1284,-0.0971,-1.4982,2.7799,0.4992,-0.2098,0.9095,0.4496,0.3098
0.4533,-0.128,0.5416,0.5311,-0.041,0.9814,1.1737,0.4478,-0.4752,-0.0311,-0.963,-0.2673,3.0281,-0.5464,0.6132,0.0485,-0.6513,1.4764,-0.9322,-0.1449,-0.0364,-0.0535,0.303,0.1652,0.8249,-0.1459,-0.4088,1.3806,1.6058,2.4037
-0.2824,-0.5421,0.2759,0.7529,0.1461,1.1016,1.4548,0.0026,1.2721,0.6935,0.7798,1.0075,0.3102,-0.4779,-0.2564,-0.4671,-1.1756,-0.3636,0.7819,-0.0278,0.4891,0.1513,-0.395,0.2138,1.5511,0.0748,0.3598,0.4029,1.393,0.768
-1.5185,-1.0538,-0.1723,0.9576,1.2806,-0.7021,-0.9442,-0.0043,3.6932,4.6713,0.8008,-0.0923,2.362,-0.0192,0.0759,-2.1476,-1.636,-1.5958,-1.048,-1.4273,0.5904,-1.6293,-0.472,1.4942,0.4201,-1.1227,0.3028,0.3488,1.7964,-0.9655
-0.2866,1.4241,-0.3918,0.5639,0.6308,2.8953,2.8061,0.5337,-0.5495,0.2818,0.4621,1.3813,0.2131,2.1101,0.2433,0.3225,0.94,-0.324,2.0703,1.3967,0.8783,-0.022,-0.6382,0.8474,-0.307,0.2713,-0.2057,1.2245,0.5587,-0.193
1.0026,-1.5762,3.6947,1.1114,-0.9416,-0.3841,-2.1445,-0.2489,1.4963,1.2339,-1.2756,-2.705,2.0237,-0.8456,1.3604,0.5565,-1.1789,3.5823,-2.3117,1.4572,-2.2703,0.2314,0.6401,0.4245,1.5636,1.1027,-0.6688,0.8145,0.6519,-0.5376
0.4853,1.2595,0.2592,0.6226,-0.0467,0.199,-0.5782,0.4978,1.0517,-0.0465,-0.3369,0.0051,-0.1142,0.4156,-2.1049,3.085,-2.5144,1.0342,-0.6792,-0.1505,0.2499,0.9493,0.1434,-0.1167,-0.3278,0.3932,0.262,-0.1752,-0.8295,-0.6652
-0.115,0.2576,-0.3,1.486,0.2283,0.9487,0.782,0.1751,0.4748,0.4102,-0.0385,0.9414,-0.1018,-0.5786,0.4475,-0.6736,0.5767,-0.6697,1.5361,0.241,0.2177,-0.6682,-2.3947,1.0245,0.0599,-0.451,0.9466,0.903,1.2271,-0.0829
2.3054,1.1639,0.3039,1.4459,-1.4417,0.3614,-0.1649,-3.659,0.0364,1.4363,0.904,-3.7611,0.3574,0.3685,-2.5508,-0.0152,3.0322,0.6996,1.5539,-0.35,-1.1472,0.4966,1.6584,0.6533,0.9235,2.3012,-0.6053,-1.4966,1.6729,-0.397
0.0505,-0.4951,0.1075,-2.0013,-0.3275,-0.7151,-0.2727,1.3707,-0.894,-0.3778,1.0213,1.415,0.7323,2.6595,-2.6191,1.067,1.345,-0.9659,-0.2817,2.7908,-0.3253,1.1219,0.1808,-0.2767,1.0635,0.6205,-0.1558,0.9595,0.4069,-0.6597
-0.3875,0.3163,-0.577,1.9156,-0.4424,2.0776,1.4046,-0.8009,0.5027,0.3692,-0.7516,-0.4294,-0.2278,0.4601,-0.5837,-0.2457,-1.2842,-1.109,-1.5443,-0.2536,-0.2243,-1.5481,-1.0467,1.6478,1.0397,-0.7437,-0.0742,-1.882,0.6354,0.3974
-0.011,-0.5354,-0.2512,0.6064,-0.5677,-1.5222,-1.604,1.4005,0.8974,0.3945,-0.0732,0.2056,1.0085,-0.3989,0.6214,2.1105,-1.5938,-0.3295,0.7629,0.4411,0.155,2.1318,0.3498,0.3676,0.4134,1.0731,2.9245,2.0262,-0.1741,-0.6804
-0.3387,0.969,0.3814,1.4092,0.6835,0.1934,0.1937,-0.7756,1.5643,1.6622,-1.5951,-1.1351,-2.1742,-0.0213,0.3427,0.855,0.0301,-0.5973,-0.5041,-0.5422,0.0162,-1.3837,-0.67,2.2703,-0.9706,-2.2738,-0.6786,-0.4316,0.6305,-0.5118
-0.2711,0.7776,0.2397,0.2864,1.0617,0.9518,1.308,-1.2739,0.7251,0.1547,0.0521,1.0698,-2.2425,0.846,-0.0949,-0.084,2.9126,-0.7328,-0.1877,-0.4545,0.5116,-0.176,0.5481,1.3185,-0.6707,0.2505,-1.5059,-0.3933,1.8335,-0.0335
-0.9132,-1.033,1.395,-2.4398,0.1393,-0.3688,0.18,1.3681,-0.6673,0.2889,1.0537,0.6575,-0.1212,-1.4357,-0.2668,0.9903,0.2203,0.7182,0.5839,-1.3984,0.315,0.5321,0.4351,-1.1842,-0.1475,-0.683,0.3324,-0.7306,-1.32,-0.6972
-0.4339,0.6777,-0.8695,0.7866,0.2578,1.3521,0.8026,0.3171,-1.0472,-1.2576,1.207,1.1232,-0.8716,-0.1009,1.0968,-0.6253,2.3123,0.0304,1.6665,-0.9222,1.8471,0.7598,-1.7241,-0.6915,-0.3649,0.1143,0.5257,0.5587,-0.3438,0.2847
-2.0306,-0.474,-1.0154,0.0774,0.4486,0.7656,0.3276,0.0298,0.0518,0.2813,-0.8053,-0.6282,-1.1925,-1.2829,0.3764,-1.4741,0.5501,-0.4807,0.2722,-1.445,0.5852,0.0681,-1.9508,-0.8785,1.4611,-1.1356,-0.6285,-0.3071,-0.8658,-0.2624
0.733,-0.103,0.1379,1.6837,-1.6105,-0.7585,-0.3801,-1.1284,2.1862,2.1613,0.2519,-0.3641,-0.6223,0.159,-1.1553,-1.0502,1.173,0.9482,0.4644,-0.7732,-0.7723,-0.0685,0.7611,-2.4927,0.6097,-0.0762,-0.8685,-1.4668,1.1308,0.3801
0.4735,1.159,-0.6005,1.1448,1.313,-1.4263,-1.8269,1.2865,-1.1927,0.4021,-1.1428,-1.4725,-0.4058,-0.3538,-1.0058,0.1674,0.1096,3.1402,-1.5593,-0.6286,-0.9636,-0.3801,0.6521,-0.7034,-2.4659,0.147,2.015,2.4764,-0.3403,2.2955
0.1761,0.0089,-0.7316,0.0601,-0.4698,0.9148,0.7455,0.5884,-0.1714,-1.2275,-1.0139,0.4057,-0.1851,-0.064,-0.0349,0.4956,0.9082,0.4307,0.0031,-0.528,0.374,0.2852,-1.0719,-0.0947,0.606,-0.5717,-1.2342,0.6558,-0.5431,1.2962
0.5372,1.8139,0.0033,-0.023,0.6587,-0.0859,-0.1769,-0.2832,-0.4084,-0.8968,-0.8722,0.0637,0.5508,0.1813,0.2531,0.7728,-1.9053,1.2099,-0.4637,2.0473,0.707,0.3741,-0.1111,-0.3043,1.5486,0.7339,0.891,-0.6536,-0.6147,0.3292
-0.0129,-1.2625,-0.7872,1.5537,0.5032,-1.5039,-1.6988,0.8097,1.4425,1.0946,-0.0891,-0.4381,0.958,-1.4791,1.2779,1.2844,0.4041,-0.2047,-1.489,0.0897,-1.8343,0.1923,0.602,0.882,-1.1377,0.1111,0.0448,1.3231,0.3002,-1.1821
-0.0668,-0.6945,-0.4147,0.3046,0.4475,0.3306,0.1343,0.0272,-0.2768,0.4507,-0.8562,-0.3838,0.5326,-0.0984,0.3764,0.4453,-0.2677,0.8838,-0.4076,-0.0037,-0.2913,-0.1139,0.5724,0.4721,0.4769,0.5729,-0.5458,-0.4154,-0.8991,-0.4843
-1.5678,0.2194,0.425,-0.9021,-0.1384,-1.0719,-0.7228,0.4893,-0.7769,-0.9775,-0.2157,-0.14,-0.8907,-2.0922,0.0876,-0.7987,-0.6478,-0.4317,1.0806,-0.8926,0.8486,-0.9485,0.0054,-0.4146,1.2458,-1.5838,1.3883,-0.5799,-1.9346,-0.8754
-0.1472,-0.1233,-0.6013,0.7205,1.4268,0.6087,-0.1379,0.3415,-0.0436,-0.3443,-0.2054,-0.3335,-0.452,-0.7504,1.3304,-0.4798,1.0558,0.6998,-0.324,1.3905,1.5015,-0.18,-0.2191,-0.2588,0.1358,0.3551,0.4491,-0.097,-0.528,-0.6525
-0.821,1.2206,0.2675,0.4164,-0.8102,0.1971,-2.4321,-1.0571,1.087,1.0407,-2.29,-3.5893,0.638,-1.5016,-1.1451,3.4013,-0.3414,1.0843,-0.6242,-2.2486,-1.9675,2.681,0.5074,1.8603,-0.7942,-1.2049,-1.3661,-3.7387,0.1865,-0.7334
-0.8219,-0.5602,-0.7553,0.0754,-0.5995,-1.0391,-0.8965,-0.1512,-0.6607,-0.7784,-0.267,0.1944,0.677,-0.787,1.1092,-1.9237,-0.2111,0.5935,-0.2265,0.2571,-0.7121,-1.1753,1.3518,-1.1642,-0.3335,-0.5895,-0.8261,-0.4087,-0.6881,-0.2653
2.7737,0.203,-0.7754,-1.2805,-2.4191,-1.1098,-0.016,-2.398,-1.1861,0.0113,0.4714,-0.0387,1.2715,1.5225,-1.9745,0.6674,2.6186,1.3207,1.8302,0.2196,-2.731,2.0129,-0.5852,0.681,-0.8509,2.945,-0.1955,0.286,0.5567,1.4389
-1.0707,0.3809,-0.8348,0.2708,-0.0866,0.8659,0.872,0.9121,0.2985,-0.3486,0.4087,0.7984,-0.3535,-0.4136,0.5029,-0.2528,-0.7044,-1.7991,-1.1067,-0.9691,0.2814,-0.9488,1.1581,-1.2579,-1.8284,-0.5254,-0.9804,0.9297,-0.6426,-0.2332
0.139,-0.1012,-0.7968,-1.8567,-0.1535,-0.7061,-0.0662,0.6179,-1.4615,-0.8675,-1.0485,-0.503,0.2281,-0.2274,0.7784,0.0268,-0.3547,-0.2589,-0.0055,0.1087,-0.1277,0.1136,0.9976,-1.8717,1.7426,-0.2517,-0.0218,0.3328,-0.4617,-0.0279
-0.4485,0.1287,-0.748,0.1882,0.3195,0.3509,-0.5963,-0.8536,-0.4183,0.9882,1.3926,0.1537,-0.9868,-1.161,-1.0448,-0.9268,-1.2455,-0.8406,0.4208,-0.8609,1.0912,0.1445,-0.3364,0.1502,-1.695,-0.8359,0.3147,-1.6274,0.4329,0.0301
0.4976,2.1692,0.6626,0.4178,2.3999,0.595,0.6883,-0.3987,0.4299,-0.4544,-0.4124,0.3505,2.9341,2.5039,0.0622,-0.6759,-0.9509,-0.1133,-0.6409,2.1661,1.2837,-0.8905,0.6616,0.2606,-1.0387,0.269,1.2996,0.6906,-0.3659,-1.6398
0.4774,-0.1035,-0.0639,-0.7222,-0.6291,-0.8433,-1.0435,-0.1645,0.5155,0.0016,-1.1107,-0.7611,0.1744,-0.3542,-0.6458,-0.2028,0.0093,0.484,0.503,-0.0881,-2.1532,0.5581,-0.4932,-0.4288,-0.7871,0.4148,-0.7205,-0.3006,0.1568,0.1101
-0.4791,0.0507,-0.7489,-0.1954,0.1452,0.0047,-0.3067,-0.3289,0.5443,-0.0526,-1.1424,-0.3727,0.1617,0.3109,0.1701,-0.3427,-0.41,-0.0249,-0.6438,-0.4356,-0.0265,-0.0175,0.9896,0.447,0.5763,-0.0622,-1.4056,-0.0108,0.5059,0.0467
1.5851,2.0382,0.2042,2.2507,-1.828,0.4872,0.9065,-2.0683,0.7058,0.6234,-2.0144,-2.1188,0.5441,2.0284,-2.8211,0.9335,1.5283,-0.7163,-1.4699,0.0474,-0.8659,0.3785,-0.096,0.5391,-1.449,1.8119,-1.0828,-1.1618,0.973,1.4031
