CHD1
COG2
AGT
CAPN9
C1orf198
TTC13
DPP10
THSD7B
SPOPL
NXPH2
GTDC1
CCDC148-AS1
CCDC148
NOSTRIN
SPC25
G6PC2
ABCB11
ZNF804A
MIR1244-1
MIR1244-2
MIR1244-3
PDZRN3
PIK3R4
ATP2C1
SLC7A14
TNIK
BDH1
KIAA0226
SDHAP4
MIR922
ISL1-DT
ISL1
PELO
ITGA2
FST
SLC38A9
DDX4
C5orf35
MIER3
GPBP1
GAPT
RAB3C
NDUFAF2
RGNEF
SV2C
AGGF1
ZBED3-AS1
FAM174A
PAM
GIN1
LINC01848
PRR16
SRFBP1
EYS
IRAK1BP1
PHIP
CYB5R4
MRAP2
ZNF292
C6orf162
LYRM2
MIR2113
HACE1
CCDC162P
TPI1P3
THSD7A
MIR124-1HG
MIR124-1
CHRNA2
EPHX2
NRG1
KCNU1
HTRA4
TM2D2
DKK4
RNF170
HOOK3
MIR4469
LINC00968
HNF4G
FAM82B
CPNE3
MIR3151
BAALC-AS1
FZD6
TTC35
TMEM74
TYRP1
ZCCHC24
GLUD1
FAM35A
FAM22A
FAM22D
LINC00863
NUTM2A-AS1
ATAD1
CFL1P1
KLLN
LIPN
ARHGAP19-SLIT1
ARHGAP19
FRAT1
LOC374443
CLEC2D
GPRC5D
HEBP1
KIAA1467
GPRC5D-AS1
MIR614
H2AFJ
HIST4H4
C1QTNF9B
C1QTNF9B-AS1
MIPEP
TNFRSF19
POMP
TSC22D1
TSC22D1-AS1
LINC00347
GPC5
ABCC4
MYO16
ARHGDIG
AXIN1
C16orf11
HBA2
HBM
HBQ1
HBZ
LOC100134368
LUC7L
MIR3176
MPG
MRPL28
NME4
NPRL3
PDIA2
PIGQ
POLR3K
RAB11FIP3
RAB40C
RHBDF1
SNRNP25
SOLH
TMEM8A
FAM195A
WDR90
WFIKKN1
RHOT2
STUB1
FBXL16
METRN
FAM173A
HAGHL
MIR138-2
DDX19A
CLEC18B
PDPR2P
PSMD7
CMIP
LOC100129617
SDR42E1
HSD17B2
MPHOSPH6
DNAAF1
ADAD2
ATP2C2
COTL1
CRISPLD2
KCNG4
KIAA1609
KLHL36
TAF1C
USP10
WFDC1
ZDHHC7
KIAA0513
FAM92B
LINC02139
LINC00311
CA5A
KIAA0753
MED31
TXNDC17
C17orf100
MIR4520A
MIR4520B
ALOX15P1
ALOX12P2
ASGR2
YBX2
EIF5A
FXR2
SHBG
SAT2
DNAH2
KDM6B
CYB5D1
LSMD1
TMEM88
ALOX12B
DHRS7C
GLP2R
DNAH9
ZNF18
MAP2K4
MYOCD
ELAC2
ZNF287
ZNF624
CCDC144A
RAB5C
KCNH4
HCRT
GHDC
CCR10
PLEKHH3
EZH1
RAMP2
NBR2
GPATCH8
LINC00470
KCTD1
PCAT18
MEP1B
FAM59A
WBP11P1
KLHL14
DCC
LINC00305
LINC01924
LOC339298
PSMG1
BRWD1
BRWD1-IT2
HMGN1
LCA5L
C21orf88
DSCAM
MIR4760
DSCAM-AS1
MX1
TMPRSS2
hsa-mir-922
hsa-mir-582
hsa-mir-2113
hsa-mir-124-1
hsa-mir-3176
hsa-mir-138-2
hsa-mir-744
