ABCC8
ACSM5
ADAM21P1
ADAM21
AIDA
ALG14
ALOX15
AMELY
ANGPTL3
ANXA7
APBA1
ARHGAP36
ARMS2
ARSE
ATP6V1C2
B3GNT6
BARX1
BET3L
BMP8B
C13orf35
C14orf68
C15orf2
C17orf50
C17orf66
C1orf170
C1orf21
C20orf46
C21orf121
C21orf122
C22orf42
C4orf6
C6orf48
C7orf16
C7orf63
C9orf64
CADPS
CALHM3
CALR3
CBLN2
CCDC141
CD58
CDH12
CDK5R1
CDKL4
CDX2
CDY2B
CENPN
CHPF2
CLDN20
CLDN8
CNKSR2
COL5A3
CRTAM
CTNND1
CWH43
CYP1B1
CYTSB
DCDC1
DDC
DDX1
DEFB109P1
DEFB126
DEPDC1
DNAJB8
DPEP3
DPY19L2
DUSP5P
ELMO2
EMILIN2
EML6
ENPP3
ERAS
F5
FAM19A4
FAM21B
FAM43A
FAM55A
FAM65B
FAM86C
FBLN7
FER1L6
FFAR2
FGF12
FGF5
FRMPD1
FUCA1
FZD8
GALNT8
GATA4
GCM1
GLDC
GPC5
GPRC5D
GRP
HAO1
HDAC1
HEXA
HILS1
HIST1H2AA
HIST1H3H
HMHB1
HNF1A
HOXB5
HOXB9
HS3ST1
HS3ST4
HSD3B2
IFNA13
IL1RAPL2
IL5RA
INSRR
KAZALD1
KCNC2
KCNG3
KCNH4
KCNQ2
KCNS3
KCTD16
KCTD8
KIAA0087
KIAA0406
KIAA1257
KIAA1279
KLB
KRT32
LAIR2
LAP3
LBXCOR1
LIM2
LINGO1
LINGO2
LIPI
LINC02418
MANCR
NFE2L3P2
LOC100272216
AADACP1
LOC284009
H3P44
LHFPL3-AS2
NUTM2A-AS1
LINC00923
LPO
LRRC49
MAB21L2
MAGEB1
MARCHF11
MCART3P
MKRN3
MLLT3
MSX2
MTERFD2
MUC6
MYO1E
N4BP2L2
NCRNA00110
NETO1
NKAIN1
NMNAT2
NPY2R
NR1I2
NXNL1
OPRD1
OR10A2
OR13J1
OR2A2
OR2B11
OR3A2
OR5AN1
OR5K2
PABPC1L2B
PAOX
PARD6A
PCDHA12
PCDHA13
PCDHA9
PCDHAC1
PCDHGA2
PDE1C
PDE6C
PHGR1
PKD1L3
PLA2G4E
PLGLA
PNKD
PPP1R1B
PPP1R1C
PPP1R3G
PRR16
PRSS37
PSAPL1
PTK6
RAB5B
RASGEF1B
RBM3
RFX6
RHBG
RIC3
RNF113A
RNF26
RPS27
RRP15
SAA1
SERPINA11
SGCD
SH3YL1
SIGLEC14
SIX1
SLC16A1
SLC38A4
SLC39A8
SLC4A10
SLC6A19
SMARCD2
SNORD115-13
SNX31
SPACA4
SPANXN2
STAG3L1
STAP1
STX19
STXBP3
SUMO1P1
SUMO3
SYT14
SYT4
TAC1
TAS2R31
TBC1D3C
TBCK
TDRD1
TMCC1
TMED7-TICAM2
TMEM150B
TNFSF11
TPH2
TPSD1
TRIM32
TRIM3
TRIM69
TSPAN6
USH2A
VN1R2
WFDC3
WNT1
ZBED5
ZMIZ1
ZNF541
ZNF560
ZNF79
