AGA
HIST2H2BF
DNAJA2
CALCRL
ID1
MIOS
KLF15
FAM108C1
TKT
VSTM2L
CDC25A
TMEM189
RNF150
GSTT1
PRR16
SEC16A
MYOC
FUT9
N4BP2
NPTXR
YIF1B
CRISP2
PARP14
CCDC113
CCNH
CYP1B1
PGAM2
SERTAD4
BCAS3
KRTAP13-2
SERINC4
NPBWR1
SPRY4
AQP3
CNN3
PI3
SLC9A3
MYO1E
ISOC2
CLMN
ZNF302
NRIP3
GPR19
CDC42BPA
FMN2
CLEC16A
GADL1
WDR26
COL9A2
MLLT10
PTER
VASP
SLC45A2
ZMYND10
PCDH18
KIF21A
PTGES
CHSY1
ZFP3
KCNC3
PKP1
C1orf151
KSR2
DDHD1
MYOT
NDUFS2
CCDC34
ITPKB
SHOX2
DCPS
HERC2P2
EPHA3
KIAA0408
C9orf122
PHOSPHO2
NT5C3
ZNF606
CHRNA6
CSNK1A1P
CLCC1
UBASH3B
APITD1
MYO1H
LYPLA2
C6orf41
SYCP2
DUSP7
TRIM32
COTL1
TEKT1
LRRC37B
NDRG1
ISX
HSPB1
MNS1
MAF
NHEJ1
SCGB1A1
RAB6C
C1orf21
PARP6
UGT8
ME3
CCDC14
LOC399815
MATK
MEF2B
TMEM120B
SLC6A17
ANXA4
LINC01634
GUCY2C
TBXAS1
GADL1
CLEC4E
ACTBL2
PTPRO
SLC44A1
MFSD9
NELF
HTT
ZBTB24
C1orf201
FKBP15
PDCD6P1
C22orf43
DTNA
MTERFD2
FAM69B
NET1
SNRNP27
TANC1
C12orf5
WT1
SHROOM1
PCDHB2
SPRN
CALM2
WTIP
NAPRT1
CHRNA4
NTM
TTR
LIMS3-LOC440895
GPR81
PLD1
RIBC2
TMEM105
PHGR1
SCAMP5
LINC01622
TDRD1
FGF9
NEU4
GRM8
DLX5
MLF1
LDHA
PECR
ZFP37
RAMP1
GRAP2
ZNF653
MGST1
FAM86B2
MLLT11
NDUFAF1
POGZ
CGA
FAM188A
AFF3
SLC25A44
HMP19
STARD3
ADARB1
NUDT3
HGS
IFI6
ELMO2
FKBP1A
STC1
PLAC9P1
F2R
SERPINB13
SLC41A2
FLOT2
C15orf57
PTPRK
KCTD8
ASGR1
SEMG2
KCNA5
PPIL6
ARHGDIB
CYB5D1
C11orf63
HLA-DMB
MSX2P1
SLFN12
KIAA1875
PDK4
MKKS
CNKSR3
NOC2LP2
PRRT2
OSBPL9
SLC16A14
TM2D3
C2orf55
RHAG
TMEM20
TNFRSF10A
EMID2
MMP3
ZNF22
ELAC1
FEV
INHBB
DNA2
SERPINB4
F2R
HSD17B14
F5
ANKRD34B
C8orf77
MAP3K13
UGT2B7
VAT1
PCDHA13
NUP205
DEM1
GSDMC
MAGEF1
GHR
NR2E3
GALC
RNF44
RFPL1S
C5orf58
SEPHS2
PTPRA
ZNF215
NMNAT2
TMEM200A
WIPI1
DCUN1D2
GLIS1
TOX
SLC18A3
CERCAM
