RB1
KRAS
ESR1
CCND1
SF3B1
AR
APC
CDKN1A
SPOP
TSC2
KEAP1
SOX9
MSH6
AKT1
FLCN
FOXA1
SMAD2
FAT1
ERG
BRAF
ETV1
TGFBR2
FBXW7
ERBB3
EGFR
RHEB
CTNNB1
NCOR1
ZNF703
TSC1
KDM5C
ETV4
MED12
NFE2L2
MTOR
BRCA1
IDH1
CUL3
SMAD4
CDK12
CDH1
MSH2
ARID1A
ERBB2
MDM2
PIK3R1
BRCA2
NF2
FLI1
MAP2K1
MET
TCF7L2
ACVR2A
TGFBR1
FGFR1
STAG2
VHL
PIK3CA
SMARCB1
MYC
NCOR2
SETD2
PGR
PBRM1
