0.0115,-0.5403,0.8251,0.2771,0.2122,0.5216,0.2091,-0.5613,-0.0148,0.3489,0.104,-0.4046,-0.7133,-0.5777,0.0934,0.0302,-0.5674,-0.1794,0.3235,0.8133,0.647,-1.529,-0.6464,-0.6897,-0.0761,-0.2046,0.0673,-2.0531,-0.0571,-2.2315,0.7853,-0.7577,0.1399,-0.6158,0.3168,-0.1009,0.3235,0.7403,-0.1648,-1.3264,0.6227,-0.0166,0.09,0.1017,-0.6839,-0.8894,0.2147,-0.3109,1.2247,0.3168,0.2455,-0.6016,-0.6927,0.2806,-1.1142,0.4292,-0.6476,0.3503,0.881,0.4143,0.0272,-0.4642,0.4607,0.3959,0.0203,-0.5501,-0.2618,0.2677,-1.1184,-0.6224,2.1707,-0.8344,-0.18,0.6512,0.268,0.113,0.0228,0.1468,0.6843
-1.1424,-0.7053,-1.8161,-0.3876,0.9446,-0.2579,0.1772,0.9928,-0.0443,0.9531,0.0876,-0.487,1.7261,-1.5433,0.8954,-0.0613,0.8853,-0.3758,0.6698,0.2123,-0.5947,1.3954,-0.8927,-0.7999,0.2424,-1.1865,1.0637,-0.0342,-0.5847,0.8737,0.32,0.552,-0.2679,0.6356,-0.4628,-1.0426,-0.8369,-0.7457,-0.2384,-0.4386,-0.4857,-0.009,-1.06,0.382,0.1643,-0.0576,1.111,2.1467,-0.7175,0.7861,0.4888,-0.7389,-0.4492,-0.2049,-1.1525,0.1398,1.0662,1.5277,1.0864,0.4148,-1.0002,-0.3942,0.9014,0.653,0.7752,0.2604,0.1203,-0.208,-0.5258,-0.7176,-0.9712,0.005,1.0082,0.2502,1.23,-1.0108,0.9897,0.4993,0.1583
1.0922,-0.7474,-1.1522,0.3213,-1.0818,0.3943,0.1264,-1.705,2.0329,-1.1565,-1.4104,0.2752,-1.3533,-1.4002,-1.1072,-0.642,-1.3103,-1.7582,-0.3064,0.3647,-0.2319,0.45,1.7025,-0.9631,-0.0151,-1.703,-0.2748,0.4302,4.0876,0.9603,0.101,1.2088,-0.2556,-1.9618,-2.8208,0.2248,0.8728,-0.4901,0.9176,0.9534,0.2404,-0.5381,-0.5657,-1.3144,-0.157,-0.2964,-1.3913,0.072,0.4337,-0.5317,0.0467,-0.6431,0.1369,-2.3687,0.5366,0.905,-0.5726,1.2691,-1.0558,0.5573,-0.435,1.8888,-1.5542,-0.1962,-1.2091,0.9537,0.5632,-0.9774,1.5357,1.0851,-0.7316,0.3308,-1.4823,-1.3846,1.414,-1.5369,0.783,0.3202,0.1627
0.0208,0.3383,0.3452,1.5352,1.6662,1.3006,0.847,-0.8024,1.0099,0.2987,0.4545,-0.5032,0.5197,-0.0659,-0.1529,1.3665,0.3948,-0.3167,0.5011,-0.2693,0.8107,1.7717,1.2476,0.4126,0.1709,0.8273,1.2536,1.6969,-0.4409,1.7338,0.7626,0.1625,-0.2267,0.1538,-0.4356,0.563,-0.4857,0.6528,0.0726,0.7546,1.2846,0.4819,-0.4302,0.4188,-0.0828,0.4088,0.9516,-0.0973,1.1213,1.2858,0.8626,0.2585,-0.2589,0.8762,1.294,0.5121,0.8487,-1.7974,1.1105,-0.5706,-0.365,-0.9465,1.1006,0.443,0.8039,-0.2628,1.3081,-0.1214,-0.0243,-0.3625,1.3675,1.5382,1.6449,0.421,-0.3523,-0.0367,-0.2026,0.3904,-0.2784
-1.1264,-0.5268,0.6597,-0.1534,0.9473,0.1872,-0.571,0.1044,0.6266,0.0389,1.2532,0.5362,0.6533,1.47,0.7564,0.6227,0.7359,0.4381,1.4889,-0.0226,1.7288,0.9189,1.0584,0.1765,-0.4255,1.1744,1.0365,0.482,-0.426,1.1418,-1.8731,1.0332,0.1178,-0.061,-0.7425,-1.0067,0.3459,-0.089,-0.808,0.9993,-0.0502,1.1981,1.4331,0.2477,0.3704,0.8991,0.6291,0.1531,0.1724,0.6555,-0.7922,0.7418,0.634,0.6672,0.409,1.2384,-0.0373,-0.5796,0.5995,-0.5305,0.8779,0.6185,0.3882,0.0425,1.0955,-0.2932,-1.4335,0.8256,0.2766,-0.2047,-1.3774,-0.3025,-0.0381,0.1386,0.448,-0.6554,-1.6807,0.4277,0.4168
0.4922,-0.8633,0.5813,0.1388,0.3592,-0.7939,0.4859,0.9076,0.0531,-0.2663,0.2345,-0.4729,-0.2833,-0.173,-0.3219,0.2284,0.1828,0.209,-0.2329,0.0408,-0.1613,1.8087,1.8054,0.6168,0.2836,-0.082,0.8539,0.8975,-0.1811,1.1969,-1.9576,0.9832,0.113,-0.2477,0.3493,-0.0135,0.3346,-0.0729,-0.0812,-0.4026,-0.2076,0.7755,-0.5392,0.4383,0.3028,0.0616,0.0923,0.6485,-0.7126,0.4635,-0.0697,-0.2218,-0.0255,-0.0919,0.9192,0.5905,0.5514,-0.5457,-0.306,0.1838,0.919,0.8444,0.5924,-0.0612,-0.3939,-0.4382,0.2772,-0.2379,0.0488,0.1345,-0.7462,-0.3025,0.3251,0.1076,0.2277,0.6069,-0.7747,0.1423,0.4113
0.487,0.5924,0.7216,2.0572,0.5204,-0.06,1.2811,0.6464,1.0496,0.1807,0.5306,0.017,-0.9511,0.0373,0.3371,-0.8065,1.2129,-0.3918,0.2152,-0.8506,-0.6443,2.3086,2.3463,0.2224,-1.0603,1.0613,1.7286,1.6259,0.9303,2.3781,0.3724,1.6074,-0.3882,-0.7577,-0.3918,-0.3021,-0.4859,-0.0068,-0.5201,1.1806,-0.4676,0.3771,0.7945,0.4444,0.1016,-0.0201,0.151,0.0985,0.2011,0.8066,-0.2502,0.0375,-1.0625,0.3184,1.3533,1.1317,1.4323,0.5859,-0.2163,0.8223,0.0366,0.0026,0.7099,0.5447,0.1764,0.2094,0.2133,-0.5849,0.4049,-0.5431,-0.0316,0.8068,0.9114,-1.4661,1.445,0.0879,0.3509,0.6608,0.2703
0.6807,-1.7871,0.4752,-1.1888,-1.3694,0.0587,0.3134,0.991,-0.5035,0.5257,1.247,1.0101,-1.0665,0.5032,0.9669,-0.8864,-0.2772,0.7456,-0.7693,-0.2967,0.0275,-0.6638,-0.6436,-0.249,1.1098,0.1111,0.7433,-0.1872,-1.1679,-0.1179,-0.8627,-0.3853,-0.9832,-0.486,0.228,0.5409,-0.4135,0.9752,0.2033,-0.1651,0.2215,0.1857,-0.3435,0.2947,0.37,-0.0781,-1.0263,0.4978,-1.1009,-0.7772,0.5052,0.3762,0.8383,0.5644,-0.2952,0.5165,-0.4142,0.1691,-0.3715,0.7417,0.7493,0.8178,0.0882,-0.4181,-0.5638,-0.0673,-0.5604,-0.9414,0.3214,1.178,-0.7347,-0.0048,-0.5623,0.3968,-0.3178,0.551,1.2942,0.3996,0.2553
-2.1903,2.0172,-1.5975,-0.5606,0.7015,-1.0744,-2.8236,1.5071,-2.2504,-2.0486,-4.2452,-1.1879,-0.1238,-0.7414,-1.1489,1.1578,0.8811,-1.245,-1.1786,1.293,-0.0061,-0.2432,-0.722,-0.9651,0.3148,-0.3964,-1.7874,1.0836,2.0392,0.9362,0.0456,1.6239,1.8157,-1.0961,1.9633,-0.0308,3.5871,-2.1147,-1.4799,-1.6865,-1.5797,1.5768,-0.852,-0.4869,-2.8565,-2.7307,0.1816,-0.592,-0.9832,1.8794,-1.0822,-1.4967,-2.3184,-2.2384,-0.8998,-3.0062,-0.713,-0.693,0.3433,-1.7713,-2.5112,-0.4379,-2.7443,-2.4058,-0.9566,0.8673,1.0691,0.8957,-1.6216,-1.8978,-0.1869,-0.9587,-0.1675,0.606,-2.0018,1.1928,-2.3463,-0.4674,0.6527
0.233,-0.4166,0.5149,-0.7592,-1.1878,1.4281,0.0487,-0.8503,0.6162,-0.4008,0.1054,0.9452,0.0043,0.3988,-0.1862,1.5935,0.0061,-0.2713,0.3679,-0.6683,-0.0817,-1.0003,-0.3183,-0.1242,0.3296,0.0857,0.5394,-0.7261,-0.1813,-0.4899,0.8359,-0.4145,-0.9531,0.8919,1.0124,1.6967,0.1641,1.2344,0.852,0.4355,2.1416,-0.2638,1.5929,0.224,-0.5205,0.2668,-0.898,0.6531,0.3464,-0.1445,-1.0552,0.6773,0.7516,0.5643,-0.0284,-0.0331,0.7748,0.7621,-0.2651,1.0395,0.9334,1.7256,-0.1115,-0.1313,1.008,0.913,-0.2707,0.3077,0.2432,0.8665,-0.076,0.0488,0.2957,0.1116,-1.972,-0.9324,0.465,0.4247,0.6973
