AKT1
PIK3CA
PTEN
TP53
BRCA1
BRCA2
RB1
CDK12
MTOR
ARID1A
NRAS
MSH2
MSH6
ACVR2A
NFE2L2
SF3B1
IDH1
CUL3
VHL
TGFBR2
MLH1
CTNNB1
SETD2
BAP1
PBRM1
FBXW7
CASP3
FAT1
MAP3K1
PIK3R1
APC
CDKN1A
ESR1
PMS2
ETV1
EGFR
MET
BRAF
RHEB
ZNF703
FGFR1
MYC
TGFBR1
TSC1
GATA3
TCF7L2
HRAS
CCND1
PGR
ATM
FLI1
KRAS
ARID2
ERBB3
MDM2
NCOR2
POLE
FOXA1
MAP2K1
TSC2
CDH1
NCOR1
FLCN
ERBB2
ETV4
SPOP
SOX9
SMAD2
SMAD4
KEAP1
ERG
SMARCB1
NF2
KDM6A
KDM5C
AR
MED12
ZMYM3
STAG2
