-0.004,-0.004,-0.004,0.329,0.329,0.329,0.329,0.329,0.329,0.329,-0.028,-0.001,-0.001,-0.021,-0.021,-0.018,-0.023,-0.023,0.545,0.545,0.545,0.545,0.545,0.545,0.545,1.28,1.28,1.62,-0.002,-0.002,0.556,0.556,0.556,-0.02,-0.02,-0.02,-0.02,-0.009,0.553,0.531,0.531,0.511,0.536,0.536,0.536,1.09,1.09,-0.013,-0.013,0.01,0.006,-0.009,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,-0.595,-0.595,0.488,0.566,0.001,-0.01,0.21,0.21,0.21,0.21,0.21,0.21
0.017,0.017,0.017,0.073,0.073,0.073,0.073,0.073,0.073,0.073,-0.25,-0.25,-0.25,-0.246,-0.246,-0.894,-0.208,-0.243,0.886,0.886,0.868,-0.012,-0.012,-0.012,-0.012,1.02,1.02,1.2,0.0,0.0,-0.069,-0.069,-0.069,-0.081,-0.116,-0.116,-0.116,-0.116,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.042,0.042,-0.54,-0.54,-0.051,-0.532,-0.543,-0.529,-0.529,-0.529,0.067,0.067,0.067,0.067,0.067,0.067,0.032,0.032,0.022,0.085,-0.251,-0.251,-0.028,-0.028,-0.028,-0.028,-0.028,-0.028
-0.018,-0.018,-0.004,-0.046,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,0.01,0.01,0.01,-0.012,-0.395,-0.385,-0.431,0.134,0.358,0.358,0.358,0.703,0.703,0.703,0.703,-0.023,-0.023,0.663,0.35,0.35,0.617,-0.084,-0.084,-0.04,-0.048,-0.048,-0.048,-0.048,0.319,0.276,0.276,0.276,0.276,0.293,0.317,-0.021,-0.014,0.285,0.01,0.0,-0.054,-0.026,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.278,-0.393,-0.393,-0.064,-0.415,-0.063,-0.063,-0.217,-0.244,-0.244,-0.244,-0.244,0.254
-0.029,-0.012,-0.012,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.005,-0.013,-0.077,-0.047,-0.047,0.004,-0.003,-0.003,-0.003,0.0,0.0,0.0,0.003,0.003,-0.011,-0.025,-0.025,-0.008,0.001,0.001,0.001,0.001,0.41,0.41,0.41,0.41,0.41,0.413,0.413,-0.047,-0.047,-0.003,-0.003,0.002,-0.014,-0.011,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.012,-0.414,-0.045,-0.05,-0.005,-0.005,0.018,0.018,0.013,0.013,0.013,0.013
-0.16,-0.16,-0.167,-0.582,-0.582,0.004,0.055,0.055,0.055,0.055,-0.063,-0.022,-0.022,0.0,0.0,-0.008,0.579,0.012,0.582,0.572,0.545,0.545,0.545,0.545,0.545,0.0,0.0,-0.01,0.039,0.075,-0.226,-0.226,-0.567,-0.231,-0.236,-0.236,-0.233,-0.233,-0.001,0.007,0.007,0.007,0.007,0.007,0.007,1.05,1.0,-0.567,-0.567,-0.534,0.063,0.063,-0.553,-0.553,-0.553,0.083,0.083,0.083,-0.53,0.064,0.064,0.03,-0.59,0.066,0.022,-0.541,-0.541,-0.018,-0.018,-0.052,-0.052,-0.052,-0.052
-0.06,-0.076,-0.076,0.168,0.168,0.168,0.168,0.168,0.168,0.168,-0.148,-0.148,-0.148,0.032,0.0,-0.003,-0.101,-0.101,0.474,0.474,0.474,0.474,0.126,0.126,0.126,-0.243,0.129,0.129,-0.007,-0.007,0.211,0.0,0.0,-0.025,-0.025,-0.025,-0.025,-0.025,-0.152,-0.152,-0.152,-0.152,-0.152,-0.152,-0.152,1.46,1.46,-0.571,-0.582,-0.315,0.033,0.043,-0.614,-0.614,-0.614,0.112,0.112,0.112,0.112,0.112,0.112,-0.652,-0.652,0.011,-0.276,0.052,0.052,0.058,0.058,0.058,0.058,0.058,-0.001
-0.079,-0.079,-0.079,0.008,0.008,0.008,0.008,0.008,0.008,0.008,-0.006,-0.006,-0.006,-0.005,-0.001,-0.001,-0.004,-0.004,0.224,0.224,0.224,0.224,0.224,0.224,0.224,-0.014,-0.014,-0.014,0.005,0.016,0.013,0.008,0.008,0.0,0.0,0.0,0.0,0.0,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,0.286,0.279,-0.118,0.003,-0.277,0.0,0.0,-0.278,-0.278,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-0.282,-0.29,0.012,-0.018,0.005,0.005,0.032,0.013,0.007,0.007,0.007,0.007
-0.368,-0.368,-0.368,0.053,0.053,0.053,0.041,0.041,0.041,0.041,0.022,0.016,0.016,-0.42,-0.42,-0.42,-0.008,-0.008,0.869,0.869,0.869,-0.011,-0.012,-0.012,-0.012,-0.833,2.53,-0.055,0.024,0.024,-0.003,0.007,0.007,-0.07,-0.069,-0.069,-0.069,-0.069,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.075,0.853,0.853,-0.797,-0.797,-0.328,0.316,0.337,-0.794,-0.794,-0.794,0.057,0.057,0.057,0.057,0.057,-0.79,-0.804,-0.804,0.0,-0.302,0.01,0.01,-0.028,-0.028,-0.028,-0.028,-0.028,-0.04
-0.011,-0.011,-0.004,-0.002,-0.002,-0.002,-0.002,-0.021,-0.021,-0.021,-0.001,-0.001,-0.001,-0.011,-0.017,-0.011,0.393,0.387,0.389,0.389,0.389,0.389,0.389,0.392,0.392,-0.01,-0.01,-0.01,0.004,-0.013,-0.018,-0.005,-0.005,0.001,-0.004,-0.004,-0.004,-0.004,0.381,0.376,0.376,0.376,0.376,0.376,0.376,0.773,0.773,-0.003,-0.043,0.006,-0.002,0.007,-0.029,-0.029,-0.029,0.705,0.705,0.705,0.705,0.761,0.732,0.016,0.016,0.339,-0.026,-0.021,-0.021,0.14,0.14,0.14,0.14,0.14,0.14
-0.03,-0.03,-0.002,-0.006,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0.006,0.006,0.006,0.02,0.02,0.02,-0.031,-0.007,1.17,1.2,1.2,1.2,1.2,1.2,1.2,-0.017,-0.017,-0.004,-0.007,-0.061,-0.033,-0.018,-0.563,-0.018,-0.01,-0.01,-0.01,-0.01,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.725,0.725,-0.015,-0.022,-0.028,-0.063,-0.03,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.0,0.0,0.614,-0.037,-0.057,-0.057,0.105,0.105,0.105,0.105,0.105,0.131
