ANKRD35
FMO5
GPR89C
HIST2H2AC
HIST2H3D
HIST2H4A
ITGA10
LINC00869
LINC01138
LIX1L
LINC02591
MIR5087
NBPF10
NBPF11
NOTCH2NL
PDE4DIP
RBM8A
RP11-640M9.1
SRGAP2-AS1
SV2A
VPS45
PLEKHO1
RPRD2
MIR6878
GABPB2
IVL
SHE
GON4L
SYT11
MIR7851|chr1
FCRL5
PBX1
XCL2
SNRPE
PIK3C2B
ATF3
C1orf140
LYPD8
OR13G1
OR14C36
OR2AK2
OR2L2
OR2T10
OR2T11
OR2T12
OR2T34
OR2T3
OR2T4
OR2T6
OR2W3
OR6F1
PGBD2
B3GAT2
ARMC2
LAMA4
TBC1D32
SERINC1
NKAIN2
TARID
LINC01010
AHI1
CCDC170
DLGAP2-AS1
FBXO16
LINC00589
SMIM18
DUSP26
KCNU1
GOT1L1
ADRB3
PLEKHA2
ADAM18
ADAM2
C8orf4
VDAC3
CHRNB3
THAP1
UBE2V2
LINC03054
C8orf44
ZNF704
SNX16
MMP16
FLJ46284
TRIQK
GDF6
GRHL2
EMC2
TRPS1
MIR6844
MIR1204
LINC00977
GSDMC
KCNQ3
ZFAT-AS1
LINC01591
LINC00583
FOCAD
C10orf11
NSMCE4A
TCP11L1
TMEM151A
ZDHHC24
ACTN3
RHOD
CLCF1
SUV420H1
CPT1A
MYEOV
FADD
MIR548K
SHANK2
SHANK2-AS1
MIR3664
DHCR7
ALG1L9P
FAM86C1
RP11-849H4.4
MIR3165
LAMTOR1
ANAPC15
FCHSD2
P2RY2
RELT
PAAF1
PRKRIR
GVQW3
B3GNT6
CLNS1A
NARS2
FAM181B
SNORA70E
TMEM126A
CCDC83
MIR4490
IQSEC3
RP11-598F7.4
SLC6A12
SNORA70G
LINC00426
NUBPL
ARHGAP5-AS1
ARHGAP5
MIR1469
LYSMD4
DECR2
HN1L
MEIOB
MIR6511B-1
OR1F1
MTRNR2L4
TRAP1
TMEM186
CARHSP1
USP7
GSPT1
TNFRSF17
CLUHP3
MYLK3
PHKB
LINC02192
LINC02133
EPN2
SPECC1
CDRT15L2
NOS2
SPAG5-AS1
NUFIP2
EFCAB5
TMIGD1
ATAD5
PSMD11
MYO1D
ZNF830
LIG3
UNC45B
AATF
MIR2909
C17orf78
TADA2A
LOC440434
ARHGAP23
SRCIN1
C17orf96
SNORA21
LINC00672
ARL5C
NEUROD2
MIR4728
MIEN1
IKZF3
ZPBP2
THRA
RARA-AS1
TMEM99
KRT20
KRTAP9-1
KRT32
NPEPPS
KPNB1
TBKBP1
SKAP1
LUC7L3
WFIKKN2
C17orf112
KIF2B
DGKE
RP11-118E18.2
MRPS23
SEPTIN4-AS1
CLTC
BCAS3
TBX4
INTS2
MAP3K3
LIMD2
C17orf58
RECQL5
UNC13D
WBP2
TRIM47
MFSD11
LINC01987
C17orf99
TK1
DNAH17
CBX4
LINC01979
LINC01978
FOXK2
LOC100420587
LOC102724958
POP4
PLEKHF1
URI1
ZNF536
MACROD2
PLCG1
PTPRT
PKIG
PABPC1L
ZNF335
LINC01271
PFDN4
RAB22A
LINC01718
CABLES2
DIDO1
hsa-mir-548a-2
hsa-mir-1261
