ABCC11
ABCC2
ABLIM1
ACTA1
AKR1B10
ALG1L
AMY1A
ANAPC13
APOA1
ARGFXP2
ASAH2B
ASTL
BAAT
C10orf27
C11orf53
C14orf145
C15orf41
C15orf56
C17orf37
C1orf173
C21orf29
C21orf88
C2CD4A
C3orf33
C3orf45
C6orf127
C6orf141
C9orf128
C9orf170
CAPN13
CBLC
CC2D2B
CCL25
CDC25B
CDH3
CDKN2C
CDRT15P
CEACAM19
CES4
CHCHD7
CHRAC1
CLCNKB
CLDN10
COMMD8
CRB2
CRHR2
CRYGN
CSRP2
CYP4B1
DAO
DCLRE1C
DEFB1
DMP1
DUSP13
E2F8
EEF1DP3
EFNA5
EIF2B5
EIF4B
EPO
EPR1
EPYC
ERAS
ERBB4
FAM117A
FAM157A
FAM157B
FAM182A
FAM183B
FAM189A2
FAM23A
FAM50B
FATE1
FLJ40292
FMO4
FSCN1
GABARAPL3
GALNT8
GATA1
GCM1
GCNT7
GDF5
GJA3
GLB1L2
GNASAS
GPR152
GPR160
GPR179
GPR61
GPX2
GRB7
GRIN2A
GSDMA
GSTM5
GYPE
HAMP
HAUS4
HCRTR1
HEPHL1
HES5
HK2
HMGA2
HNF4G
HTR1B
HYMAI
IFT20
IGF1R
IGFL2
IL1RL1
IL1RL2
INSC
IRX5
ITGA2B
KIAA1257
KLC2
KRT32
KRT5
KSR2
L1TD1
LAPTM4B
LGALS4
LMO3
LMX1B
LINC00628
DRAIC
LINC00662
LOC150622
LINC00494
H3P44
LRRD1
HNRNPCL2
ZNRF2P1
LOC641367
MIR924HG
LRGUK
LRTOMT
LUZP2
MAG
MANBAL
MAS1L
MBIP
MBOAT1
MIA
MLC1
MMP25
MRGPRE
MRPL45
MTCP1
MTERFD2
MTL5
MUC15
MYH4
MYO3B
NPAS4
NSUN6
NUDT2
NUP210
OR1L8
OR2A25
OR2L13
OR52W1
OR56B1
OTOR
PA2G4
PADI1
PCDHA10
PCDHGB5
PCDHGC4
PCSK9
PCYT1B
PDE4D
PDZD9
PFN4
PGCP
PHACTR1
PI4KAP2
PIK3C2G
PIP5K1P1
PKD1L1
PLA2G4D
POU5F2
PPIL5
PPP1R14C
PPP1R1B
PPYR1
PVT1
RAPGEFL1
RCOR2
RHO
RPL23AP32
SCCPDH
SCN3B
SEMA4G
SERPINA3
SERPINA6
SERPINB2
SERPINE3
SH2D7
SHISA7
SLC16A12
SLC25A18
SLC25A4
SLC44A5
SLC47A1
SLC6A11
SLC7A4
SLC7A6
SLC9A8
SMAD5OS
SMYD3
SNX25
SPACA5
SPAG16
SPAG5
SPDEF
SPOCK3
ST7OT3
STARD3
STON1-GTF2A1L
SV2C
TACR1
TEX19
TFDP2
TGM5
TLX2
TMEM11
TMEM132B
TMEM8B.1
TMEM97
TMOD4
TPSD1
TRH
TRIM55
TRIM6-TRIM34
TSNAX-DISC1
TTC7B
UCA1
URB1
WFDC3
WWC1
XPC
ZCCHC12
ZIC1
ZNF174
ZNF326
ZNF471
ZNF705A
ZNF878
ZNF99
ZP1
