ABCA2_dnamethy
AC004381-7_dnamethy
AC144449-1_dnamethy
AHI1_dnamethy
AKAP8_dnamethy
AKR1B15_dnamethy
ALDH1A1_dnamethy
AMHR2_dnamethy
AMY2B_dnamethy
AP000695-6_dnamethy
AP001412-1_dnamethy
APOL1_dnamethy
AQP1_dnamethy
ASNSD1_dnamethy
ATL2_dnamethy
B4GALT4_dnamethy
B4GALT4-AS1_dnamethy
BBC3_dnamethy
BCL6_dnamethy
BST2_dnamethy
C15orf62_dnamethy
C1orf54_dnamethy
C22orf15_dnamethy
C3orf62_dnamethy
C6orf211_dnamethy
C9orf131_dnamethy
CARD16_dnamethy
CEACAM3_dnamethy
CETN3_dnamethy
CLDN8_dnamethy
CTC-1337H24-4_dnamethy
CTD-2373J6-2_dnamethy
CTD-2521M24-9_dnamethy
CTD-2544N14-3_dnamethy
CYP4A11_dnamethy
CYP8B1_dnamethy
DDO_dnamethy
DNAH8_dnamethy
DOCK7_dnamethy
DPP10-AS1_dnamethy
DTWD1_dnamethy
EVI2A_dnamethy
EXD3_dnamethy
FAM155A_dnamethy
FAM35A_dnamethy
FAM71B_dnamethy
FLJ20021_dnamethy
FOXP1-AS1_dnamethy
FOXS1_dnamethy
FSD2_dnamethy
GBP4_dnamethy
GJC2_dnamethy
GLUD1_dnamethy
GPC5_dnamethy
HDHD3_dnamethy
HIST3H2A_dnamethy
HIST3H2BB_dnamethy
HMGCL_dnamethy
HOXA5_dnamethy
HRH1_dnamethy
HSD17B14_dnamethy
HSPB11_dnamethy
HTRA4_dnamethy
IFFO1_dnamethy
IGSF8_dnamethy
INPP5E_dnamethy
ITGB6_dnamethy
KBTBD11_dnamethy
KBTBD11-OT1_dnamethy
KIAA1147_dnamethy
KIF4B_dnamethy
KLHL9_dnamethy
LCN12_dnamethy
LDB1_dnamethy
LGALS1_dnamethy
LINC00271_dnamethy
LRRC42_dnamethy
METTL21A_dnamethy
MMADHC_dnamethy
MT2A_dnamethy
NFAT5_dnamethy
NICN1_dnamethy
NIPBL_dnamethy
NNMT_dnamethy
NOXA1_dnamethy
NR2F1_dnamethy
NR2F1-AS1_dnamethy
NUDT16_dnamethy
OR52J3_dnamethy
OR6C70_dnamethy
OSGIN2_dnamethy
P4HA1_dnamethy
PCDHB5_dnamethy
PHPT1_dnamethy
PLSCR4_dnamethy
PQLC3_dnamethy
QPCTL_dnamethy
RANBP9_dnamethy
RASSF9_dnamethy
RHOB_dnamethy
RIN1_dnamethy
RMND1_dnamethy
RN7SKP114_dnamethy
RN7SL535P_dnamethy
RNF146_dnamethy
RNU6-235P_dnamethy
RP1-170O19-24_dnamethy
RP11-217B1-2_dnamethy
RP11-284F21-10_dnamethy
RP11-390E23-6_dnamethy
RP11-439C15-4_dnamethy
RP11-521B24-5_dnamethy
RP11-544M22-13_dnamethy
RP11-64D24-2_dnamethy
RP11-705O1-8_dnamethy
RP11-867G23-12_dnamethy
RP11-888D10-3_dnamethy
RP3-503A6-2_dnamethy
RP4-613B23-1_dnamethy
RPS7_dnamethy
SAPCD1_dnamethy
SCNN1A_dnamethy
SEH1L_dnamethy
SEMG1_dnamethy
SETX_dnamethy
SFTPA2_dnamethy
SKAP2_dnamethy
SLC12A3_dnamethy
SLC17A3_dnamethy
SLC22A24_dnamethy
SLC25A2_dnamethy
SLC9A9_dnamethy
SNRPD2_dnamethy
SOCS5_dnamethy
SPATA12_dnamethy
SPATA16_dnamethy
SPESP1_dnamethy
SPINK7_dnamethy
STAP1_dnamethy
STAT5A_dnamethy
TAGLN2_dnamethy
TAS2R42_dnamethy
TBC1D16_dnamethy
TBPL1_dnamethy
TGFBR2_dnamethy
TMCO6_dnamethy
TMEM206_dnamethy
TSTD1_dnamethy
TWSG1_dnamethy
TXNDC12_dnamethy
UBAP2_dnamethy
UFL1-AS1_dnamethy
UNC5CL_dnamethy
VEGFA_dnamethy
WASL_dnamethy
YARS2_dnamethy
ZBTB47_dnamethy
ZC3H12D_dnamethy
ZC3H6_dnamethy
