TNFSF12;TNFSF12-TNFSF13
UBE2S
RUNX3
DDX20;C1orf183
PNPO
NME3
TPM1
PLAGL1;HYMAI
C7orf43;GAL3ST4
NMNAT2
EPM2AIP1;MLH1
TP53AIP1
LIPH
LOC100128640;ACVR2B
ELF5
PRNP
CDC42EP2
RAB38
Unnamed: 1515
ABTB2
RILPL2
ADSSL1
EXOC7
SNX19
PPP3CC
CCDC92
HIST1H2BK
MBTD1
AACS
C1orf201
LDHB
EN1
C9orf9;C9orf98
MIR1251;RMST
NTSR1
LOXL1
APEH
FANCF.4
THEM4
RGS10
T-SP1.1
SUSD1
RENBP
MEG3
STAP1
C10orf10;RASSF4
HIST1H1B.1
FAM119B
HLTF.1
ZFP3
PDZD7;SFXN3
FAM65A.1
MCCC1
CEP68
FOXH1.1
SLC2A4RG.1
NOG
FUT6.1
CDC42EP3
MOG
P4HA3
TRAM1L1
IL17RE;IL17RC
NFATC1
KRT34
PSMD1;HTR2B
HK1
ZMYND12;PPCS
ALDOC
SHC1;CKS1B.1
HTR3B
BOLA1
THOP1
C16orf48;C16orf86
Unnamed: 5435
TMEM55A
SRRM2;LOC100128788
ZNF91
GPRC5C
ALDH1L1
MGC16275;TTYH2
THNSL2
KIAA0802.1
TIGD2
ERO1L.1
SRRT
DISP2.1
ASGR1.1
LMOD1
MPO.1
RNF128
GRIN2C.1
SLAMF9
SRCRB4D;ZP3.1
MAGEB6
DYRK1B
SOCS1.4
ZNF585A.1
C13orf33
SERPINB12.1
AGMAT
UGT1A10;UGT1A8;UGT1A9;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A1;UGT1A3.1
Unnamed: 9628
NAA50
TBC1D10B
DLX5.9
C14orf167;DHRS4
HOXA5.1
HSPG2.1
ULK2
IL34.1
SLC12A6
PLXDC2
PDE6H.1
CD160.1
CDKN2A
ASGR2
MRGPRX2
HPCA
POLN;HAUS3
SH3BP1.1
SDR16C5
FABP6
ZNF655.1
DNAJC5B
HCP5.1
DAPK1.2
EPM2AIP1;MLH1.3
TBX20.1
PCK1
Unnamed: 11391
SNORD116-1.2
ZNF613.1
ADAMDEC1.1
MSX1.8
ADAMTS4;NDUFS2.1
EFCAB4B
HIST1H3F;HIST1H2BH
MNS1.1
Unnamed: 12278
SH3BP4.1
GSTA5
RWDD2A;PGM3.1
IL1R1
IAPP;SLCO1A2
MAP3K14
HOXC5;HOXC4.1
RGSL1
CHMP4A;MDP1.1
CTGF
DFNB31
SIGLEC6
GPX7
SNAPC3
TMEM45A.1
EPO.1
TYRO3
SIGLEC10
SERPINA13
THAP7;FLJ39582
SGK2
CCND2.8
ZNF532.1
LPCAT1
NTN1
DDAH2.1
LPIN2.1
CCDC14
ATP11C
Unnamed: 15140
SLC38A6;TRMT5
SURF6.1
MMP19
SATB1
DYRK1B.1
HIST1H3H.1
CYP24A1.1
SERF2
CRNN
LCN12.1
FAM117A.1
TRERF1.1
MSX1.11
GNB2L1;SNORD95.1
CLEC11A.1
PDLIM1
Unnamed: 16691
MRPL42.1
CYFIP2.1
FSHR.1
PIGR.1
ALG13.1
PNMA5.1
HIST1H3C;HIST1H2BB
NR2C2
SLC5A10
CCDC57.2
XYLT1
CRHBP.1
TSR1;SGSM2
FZD6
ERBB2IP.1
MSH4.1
ZNF197
PET117.1
ADRA1A.1
HMGCS2.1
BTN2A1
C21orf29.1
ATXN2L.1
PRKAG3
CDC23.1
MT1F.1
PNMA1.1
DRP2
PTPLA.1
KLK12
RBP3.1
GABRD.1
DLX5.16
THRB.4
OTP.1
LOC440356;CDIPT.1
HNF4G
SERPINB4
TOMM40L.1
SEC1;CA11.1
THNSL2.1
BANK1.1
CXCL6.1
SLC35F3
TMOD1.1
ZNF460.1
GRB10.10
TBC1D19.1
ATP8B1.1
C1QTNF6
TNFRSF1B.1
KCNA7
DZIP1L.1
CES3.1
HABP2.1
ME2.1
PTTG1
ERP29;TMEM116.2
Unnamed: 22104
CASKIN2.1
DDX3X.1
MUCL1
CHST12
