Creatine
Carnitine
Acetylcarnitine
Glycine
Proline
Alanine
Valine
Leucine
Isoleucine
Methionine
Phenylalanine
Tryptophan
Histidine
Lysine
Ornithine
Citrulline
Taurine
Hypoxanthine
Xanthine
Inosine
Uridine
Glycerol-3-Phosphate
Linoleate
Oleate
Stearate
Myristate
Cholesterol
Bilirubin
Biliverdin
Pantothenate
Niacinamide
Urate
