SRP14P1
ABCA12
ABHD12B
ACTL8
AGK
ALOXE3
ANPEP
APLN
AQP3
ARMCX6
ARNTL2
ASMT
AXIN2
AZU1
B3GALNT1
BAX
BCKDHA
BOLA1
C17orf67
C17orf82
C17orf99
C18orf10
C18orf18
C18orf45
C1orf57
C1QTNF9B
C20orf134
C20orf202
C20orf46
C21orf90
C22orf41
C2orf50
C4orf3
C5orf52
C6orf138
C7orf13
C8orf85
C9orf24
CA10
CABP1
CACNA1I
CACNA2D2
CACNG4
CALCR
CAPN14
CATSPER3
CCNO
CDHR3
CDK5R1
CHMP1B
CHMP4C
CLDN3
CLPTM1L
CLUAP1
CNDP1
CPO
CPT2
CRB1
CRIM1
CRYBB2
CSF3
CSNK1A1P
DDAH2
DDB2
DEFA5
DEFA6
DHDDS
DKKL1
DMRTA1
DOCK5
DPCR1
DSG2
DUSP9
EDA2R
ELAC1
EPDR1
ERAS
ERCC8
ESM1
EVPLL
F2R
FAM105B
FAM120AOS
FAM166A
FAM54B
FBXO39
FBXW10
FECH
FGFR4
FOXA2
FUCA1
FZD9
GBP3
GGTLC1
GIMAP2
GLT8D1
GLTP
GLYR1
GNG13
GNG4
GOLGA7B
GRAPL
GRHL2
GRM1
GSR
GSTM4
GZMB
HCG4P6
HDHD2
HHIP
HMGCL
HOXC11
HSPB9
HYLS1
IGFL4
IL17B
IL17REL
INHBE
IQCF1
IRX2
IRX5
ISL1
ITGB1BP2
IVD
KDSR
KIAA1383
KIAA1409
KIAA1797
KIAA1841
KIF19
KIR3DL2
KLF1
KRTAP5-8
L1TD1
LCLAT1
LCN15
LEAP2
LILRP2
LOC100130987
LOC143666
SLC25A48
USP27X-DT
LINC01089
LINC00667
ZNF407-AS1
LOC401127
NBDY
BCRP3
BORCS8-MEF2B
LOC730668
LRRC18
LSM14B
LYG1
LYPD5
MANF
MAP2K5
MAPRE3
MBP
MCM3
ME2
MESP2
MESTIT1
MEX3C
MGC16275
MOCOS
MRPL36
MSH4
MST1
MT1A
MTTP
NAPG
NARS
NEDD4L
NIPAL3
NKX3-1
NOL9
NRN1
NRTN
NUBPL
OBSCN
ORAOV1
P2RX6
PADI4
PAMR1
PFKFB4
PHF17
PLB1
POC5
POLR2J2
POU4F3
PRB3
PRDM4
PTGFRN
RAC3
RBP1
REPS2
RFPL4A
RGS7BP
RNF113A
RNF157
RNF160
RNPEP
RPL13P5
RPL22L1
RRAS2
SCARNA9L
SCML2
SEC31A
SEMA4D
SEMA5B
SERPINB8
SLC10A1
SLC12A5
SLC22A1
SLC25A41
SLC2A12
SLC6A12
SMAP1
SMTNL1
ST3GAL1
STOML3
SUPT3H
SYTL5
TAS1R1
TCF7
TCP11
THNSL2
TLE2
TMC1
TMEM143
TMEM195
TMEM63C
TRNAU1AP
TRPV6
TTC30A
TTC9B
TULP3
TYMS
ULBP3
VAPB
VSTM2L
WEE2
WNT11
XKR4
YTHDF1
ZADH2
ZMYND12
ZNF300
ZNF334
ZNF528
