-0.2396,0.3473,0.0132,-0.6938,0.9227,-0.2959,-1.1546,-0.3603,-1.2842,0.6321,-0.6935,-1.0348,-1.523,-0.1997,-0.4182,-1.1811,0.3592,0.8085,0.691,1.0156,-0.5258,-0.4414,1.8535,-0.3498,0.7753,-0.5072,-0.5373,0.6467,-0.7177,0.4787,-0.7187,0.4018,-0.6647,0.2847,-1.0088,-0.4112,1.5793,0.498,0.3072,-0.4563,0.6409,0.9731,0.0144,-0.6697,0.7675,-1.0686,0.0707,-0.3188,2.1867,0.3574,-1.2301,0.502,0.1235,-0.1267,1.3776,0.3689,-1.1417,-0.0906,-0.6375,-0.7054,-0.485,-0.771,-0.3735,-0.0828,0.4005,0.1379,1.4779,0.0255,-0.4162,0.4613,-0.3087,-0.9465,0.2969,0.1975,0.3243,-0.0579,0.0584,0.6063,-0.6279,-0.4624,-1.2646,-0.5368,0.4986,0.8768,-0.1727,0.0542,-0.3766,0.0813,-0.2598,-0.1385,-0.1023,-1.322,1.3563,0.0461,0.5907,-1.596,-1.0925,0.8534,1.4836,-0.1591,0.2696,0.0047,0.441
-1.5874,1.6155,0.5905,-0.7312,0.0804,-0.6359,-0.5469,0.0437,-0.9446,-0.0695,1.0497,-3.9288,-2.3663,-0.7577,-1.4921,-0.3552,2.325,-0.043,0.0595,0.9564,-1.0968,0.3317,0.5163,-0.6681,-2.2009,0.3977,0.7151,-5.119,-1.8111,4.0096,1.564,-2.3743,0.4101,1.0389,-2.5001,0.614,2.3888,-1.8397,-3.2785,1.8318,-0.4465,0.5128,1.0856,0.4821,-0.8294,-2.8821,0.0452,-0.4637,-0.0623,0.6292,-0.1874,-0.7891,0.3854,-1.9918,-0.2976,-1.0159,0.8199,-0.9627,-0.138,-1.2024,0.7983,0.6682,0.1781,-2.0512,-0.7759,0.1597,0.5508,-1.6471,-2.3106,1.7103,-0.0749,1.0775,1.1684,2.0804,0.5467,0.2169,1.0045,-1.4282,0.0726,1.0103,-0.1768,0.4526,2.94,0.6074,-1.8347,-0.7326,0.1286,1.2422,0.0979,0.4177,0.7023,-0.9951,0.1388,-0.0319,0.8396,-0.3414,-3.8044,0.5295,2.2369,0.1208,0.3711,-1.891,0.9635
-1.1198,0.4684,0.5993,-0.6175,1.089,-1.4253,1.3019,0.472,1.3006,-0.467,0.427,-0.4102,1.4241,0.8305,-0.1631,0.2816,-0.2182,-0.3219,-0.4426,0.9901,1.3322,-0.3591,-0.442,-0.1361,-0.7037,0.2295,-0.9766,-0.2137,0.4274,-0.1065,-0.5809,-0.715,-0.7918,-0.8321,0.6118,0.36,-0.6984,-0.0442,0.7853,-0.6085,-0.624,-0.7873,0.6117,-0.4935,-0.4094,1.1483,-0.7214,-0.899,-0.4584,-0.4712,-0.0083,-1.4075,-1.6406,0.2868,-0.7564,0.5652,1.2654,-0.6451,-0.5344,1.3814,-0.4607,0.0994,-0.2081,0.5905,0.4242,-0.4874,-1.3209,0.6279,-2.2891,1.4284,1.4764,0.6736,-0.6203,0.8636,-0.7137,0.1851,1.278,-0.1294,-0.2527,0.3274,-0.8074,-1.2764,0.0885,-0.8395,-1.3369,1.1869,-1.5946,2.3196,1.168,0.6833,0.4877,-0.1652,-1.084,2.4967,0.8613,0.513,1.1289,0.1656,0.2638,-0.1026,-0.1191,1.4457,0.3691
0.2484,0.1376,-0.5279,-0.012,0.6059,0.2977,0.3592,1.2938,-0.4406,-0.2739,-0.1686,-0.501,-0.2904,-1.2176,0.279,0.2357,0.524,0.0833,-0.6026,-0.0897,-0.717,-0.2044,-0.5008,0.0247,0.2102,-1.1687,0.1126,0.3651,1.0998,0.0606,-0.6735,0.1144,-0.6007,-0.8674,0.9964,0.3668,0.0531,-0.8494,0.367,-0.4439,0.3624,-1.0133,-0.9017,-0.3302,0.4838,-0.1322,0.1726,0.6971,-0.231,-0.4366,0.5844,0.7013,0.5601,0.8287,-0.1588,-0.355,0.0834,0.1912,0.1986,0.9581,0.1048,-0.1784,-0.6726,0.4137,0.339,-0.615,0.2978,0.5102,-0.6102,0.5045,0.4007,0.8307,0.0307,0.4073,-0.6111,0.7677,1.4002,0.6924,-0.4558,0.812,0.9379,0.3437,0.213,0.0411,0.8267,0.9035,-0.5387,0.8513,0.9778,-0.6459,2.1429,1.2171,-0.0977,1.1164,0.8015,0.7137,0.3389,0.9987,0.108,-0.1779,1.3274,-0.0285,0.4291
2.1887,-0.7413,1.043,-0.6117,-1.0443,-1.2438,-0.9786,-0.3023,-1.2968,-1.1213,-2.2655,1.514,0.1792,0.9103,0.1066,-0.7778,-0.4208,0.8881,-0.7105,0.2565,1.1834,-0.9036,-0.7737,-1.6089,1.942,2.4439,-1.2015,0.0777,0.425,-0.7772,-0.3886,0.1716,-1.4079,-1.198,0.8864,-0.5427,-0.7443,1.1565,0.8854,-0.9133,-0.0925,-0.472,-1.569,-0.8429,-0.4045,-0.3855,0.613,-1.1821,-1.0789,1.05,-0.2369,1.7381,1.5956,-0.9819,-0.143,-0.8925,-2.4292,-1.1158,0.2103,0.0038,-0.2524,0.136,-1.1995,0.9655,-1.8309,-0.3158,0.6799,0.0728,0.2206,-0.6122,-0.8366,-1.4712,-0.4189,-0.1359,-0.6404,-1.0597,-0.8317,-1.5222,-0.8314,-0.3311,-0.905,-0.0743,-1.5509,-0.6809,1.4798,0.2456,0.5552,-1.3886,-1.1311,-0.2116,-1.0603,0.1661,-0.5197,1.3072,0.2705,-0.6924,-0.204,-1.1658,-0.1511,0.2086,-0.927,-0.5439,0.233
-1.3868,-1.6629,-1.1364,-1.85,-0.117,-0.7516,1.6658,-0.1458,-1.0812,0.333,-0.3081,-0.9364,-0.439,-0.1969,-0.3554,2.0379,-0.733,3.014,-1.7264,0.8202,1.3828,-0.6814,-0.4378,-1.6195,0.1574,-0.5545,-1.0411,-2.6789,1.6079,-1.0314,1.7919,-1.068,-1.002,0.799,0.9721,-3.3758,-1.0641,-0.4921,-3.208,0.2962,0.7557,0.4588,-1.0772,-1.946,0.7524,0.4635,-0.324,0.7991,0.6779,-0.4732,-1.6352,-0.4356,0.4973,-2.118,0.3958,-0.6873,-0.8462,1.513,2.7656,2.8417,2.8593,-1.4829,0.8351,-0.9051,1.5484,1.0301,0.4895,0.1156,1.9483,2.7312,1.1964,0.5435,1.8571,-2.945,-1.334,0.5354,1.7932,-1.1898,-0.0762,0.9117,-0.5818,-0.9767,-0.1759,-0.7085,2.6655,-0.0085,1.4301,1.5132,-0.4751,1.8893,-0.2921,1.4002,-0.1687,0.9421,2.0153,-0.138,1.0352,0.9789,1.4157,-0.6266,0.3882,-0.1479,0.7999
1.2542,0.3143,-0.057,-0.2353,0.3344,-0.916,0.4057,1.0253,0.7778,-0.2973,-0.4704,-0.7671,-0.4653,0.8451,1.0104,-1.9069,1.7519,-0.9649,1.5311,0.728,0.9433,0.4494,-1.196,0.0624,-0.0366,-0.4828,0.3416,-0.2175,-0.0007,-0.6248,-0.6485,0.5947,0.3645,0.2171,1.4557,0.1794,-0.6875,1.4263,-0.0943,-0.3258,-1.0761,-0.1381,0.4465,0.8316,-0.51,1.3398,-0.1774,-0.5226,-0.6182,-0.9917,-0.8736,0.5789,0.1699,0.8093,0.005,1.9067,0.27,0.5703,-0.721,-0.3585,-0.7529,0.8241,-1.269,0.0853,-1.129,-1.1408,-0.5276,-1.0532,-1.6948,-0.8975,-0.2485,0.6277,-1.2293,0.749,1.3173,-1.108,-1.5192,0.3014,-0.9351,1.4469,0.389,1.4584,-0.886,0.0276,-0.685,0.4804,-0.6212,-1.5046,-0.1617,-0.7362,0.2501,1.6591,0.8231,0.2208,0.4446,0.9478,-0.6471,-0.7886,0.1085,-0.4624,-1.7007,-1.6806,0.5342
-0.3116,1.1197,-1.1036,-0.7377,0.4678,-1.1152,-1.0768,1.0824,-0.4678,-0.1213,0.8817,-0.0917,0.6347,1.1387,0.5711,-2.3593,1.1184,-1.7851,0.8992,1.1864,0.7511,1.1016,0.1815,0.045,0.7186,-1.3775,0.2517,0.4159,-0.7424,0.6075,-0.7543,0.8544,-0.0191,0.1261,0.1634,-0.5076,0.59,1.1208,-0.1989,-1.0038,-1.2572,0.6566,0.0178,0.2286,-1.6333,1.037,1.2093,0.1882,-0.9408,-0.7178,-1.6074,1.4397,1.3303,0.4251,-1.0268,0.8074,1.1163,0.7608,1.1389,-0.4657,-0.2574,-0.24,-1.4091,-0.4108,-0.3217,-0.8145,0.9506,-1.1592,-0.3452,-0.8001,-0.963,-0.5219,-0.4606,1.1751,0.9753,-0.4183,-1.0221,0.1042,0.3622,0.8554,-0.1439,0.6731,-0.3854,1.0824,-1.0481,0.235,-0.8208,-1.4383,-0.1212,-1.182,0.5625,0.0266,0.8345,-1.9502,0.224,-0.5883,0.2713,-0.4267,-0.0578,-1.333,-1.2095,0.0533,0.9678
0.5094,0.0475,0.5627,0.0684,0.8079,1.352,0.0563,0.8656,1.2247,0.0997,0.6639,0.4654,-0.02,0.2368,1.2217,0.7814,-0.2384,-0.6422,-0.4437,-0.3364,-0.0961,0.22,-0.9815,0.1259,1.037,-0.009,-0.2588,-0.6564,0.6599,-0.8217,-0.3201,-0.1878,-0.5522,-0.1517,0.8047,0.3792,-1.2317,-0.0667,-0.4368,0.0886,-0.4769,-0.1608,-0.4511,-0.0756,-0.4298,0.5629,-0.3343,0.6748,-0.012,-0.9174,0.1209,0.1785,0.7941,0.0995,-0.3549,-0.0904,-0.1218,0.5047,-0.0778,0.4299,0.3795,-0.3253,-0.402,-0.2921,0.6826,-0.7938,-0.1496,-0.3513,1.0865,-0.1748,0.1589,0.4259,0.4517,0.6992,-0.4901,-0.0952,-0.1639,-0.4612,0.1947,1.1524,0.3954,0.1784,-1.486,-0.5048,0.6253,0.5515,-0.7231,-0.1171,-0.4214,-0.6383,-0.2736,0.7121,-0.4214,0.8935,-0.3232,0.9085,-0.5569,-0.5671,-0.789,-0.3286,0.9726,0.6154,-1.1625
-0.1843,0.5644,-0.3958,1.0418,0.3091,1.5453,-0.1664,-0.3371,0.6075,-2.5649,0.3925,-0.1419,0.8272,0.5149,1.7919,0.4568,-0.1951,-1.2168,0.6964,-0.3996,0.2103,-0.7207,-0.8372,-0.8699,0.6621,-0.3173,-0.1353,-0.1164,0.8278,-0.7615,-0.3373,-0.5704,1.0344,-1.5554,0.3754,0.7427,-1.7747,0.8887,-0.7599,0.5798,-0.3701,-1.2776,0.6312,0.7127,-0.3171,-0.1435,-0.9392,0.1702,0.6557,-1.1228,-0.8228,-1.4908,-1.2655,-0.8498,-0.8191,1.7195,0.7172,0.6766,0.345,-1.0383,-1.7212,0.8806,-1.0456,-0.5977,-0.198,0.0055,-1.3369,-0.3004,0.7047,-1.3175,-0.2468,0.7833,0.8098,0.1501,1.1309,0.3038,-1.4186,0.1983,0.0138,-0.0795,-0.9817,1.5692,-1.2903,-1.8995,-2.1953,0.7322,-1.2262,-0.4409,0.8931,2.6869,0.7424,0.4508,-0.5582,0.6577,-0.354,1.2239,1.0142,-0.641,-0.5369,-0.962,-0.3186,1.3162,0.2345
