0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8981,-0.6566,-1.4193,-0.7674,-0.0977,-0.1301,0.134,-0.1543,1.1739,1.1568,0.0196,1.1329,-1.2355,-1.086,0.2064,0.3679,0.3277,-1.8633,0.6687,-0.8373,-1.1147,-1.0116,-0.6666,1.4574,0.4948,-0.1181,0.4162,0.1172,-0.9561,-0.9097,1.288,0.8143,-0.9617,-0.5512,0.585,-0.4382,-0.7869,0.6255,0.5726,0.7611,-0.6642,-1.1375,-0.243,0.0252,-0.9465,0.1162,1.075,-0.9907,0.514,-0.2646,0.9918,0.3537,-0.5566,0.1759,-1.4126,-0.4293,0.272,-0.4976,0.3168,-0.7545,0.0271,0.4545,-0.2379,-1.2083,0.3825,0.2334,0.6629,0.6327,1.4259,-1.459,-0.7162,-0.4958,-0.0241,-0.265,-1.0617,1.3045,-0.3673,-1.1497,0.4903,0.3607,-0.1637,0.1085,-1.4469,-0.5213,-0.6952,0.3029,0.2624,0.3815,-0.0575,-0.5573,-0.0438,-0.0068
-0.8227,-0.8074,-0.6651,-0.0646,0.0225,-0.4018,0.3085,-0.2313,0.7503,1.3535,0.7345,0.3431,-0.9042,-0.7357,-0.1793,0.2412,0.5468,-0.1042,0.8435,-0.2744,-0.5921,-0.7514,-0.3229,-0.7,0.5373,-0.6344,-0.0739,0.8218,-0.5118,-0.6559,-1.2708,0.0675,-0.0218,0.3399,0.9937,0.0766,-0.9869,0.0646,0.9525,0.5461,-0.1945,-0.7775,-0.4002,-0.5328,-0.2291,0.471,-0.2615,-0.6665,-0.4239,-0.8904,-0.6891,-0.2964,-0.204,0.1849,-0.5686,-0.0623,0.6608,-0.1649,-0.0185,-1.34,0.7203,0.6375,1.436,-0.2492,-0.1906,0.4292,0.4207,-0.2107,0.2432,-0.5466,-0.9006,-0.1273,0.2378,0.1079,0.0175,0.8428,-0.058,0.7482,-0.5018,0.8147,0.6303,1.021,-0.4126,0.8494,-0.1907,-0.0168,1.189,0.3192,1.0911,-0.3654,1.2239,-0.3967
-0.1014,-0.5155,-0.6972,-0.5876,-0.6859,0.1429,0.0656,-0.3309,0.058,1.0614,-0.7058,-0.4913,-0.7444,-0.5501,-0.6418,-0.0634,-0.3623,0.0713,0.1427,-0.8389,0.1637,-0.6707,-0.3002,-0.0062,1.1762,0.0672,-0.2262,0.1283,0.9726,-0.94,-1.3066,-0.757,-0.2632,0.3854,0.3359,-0.2824,0.7166,-0.8097,-0.0776,-0.0684,-0.5813,-0.7741,1.499,0.4766,-1.2822,-0.895,-1.0051,0.1088,0.029,-0.3371,1.7806,-1.0506,0.2108,-0.191,0.5246,0.5018,1.9356,-0.8033,-0.066,1.5309,2.1571,0.2123,1.1205,0.1717,0.8358,0.5706,-0.7945,0.7725,0.7557,-0.3865,-0.411,-0.3191,-0.4306,0.0612,0.3658,0.0049,-0.2729,-0.1896,0.6257,-0.1733,0.2376,0.5194,-0.1813,0.7408,-0.2816,1.558,0.9838,0.7238,0.4275,-0.4439,0.4538,1.9778
-0.7724,-0.6157,-0.5154,0.2357,-0.4432,-0.1113,-0.0344,0.3907,0.9213,0.034,-0.3156,1.0007,0.3869,1.6391,-0.4513,0.3083,0.2365,0.336,-0.2916,0.201,1.011,0.6607,0.5389,1.1236,-0.6703,0.0168,0.3966,0.9081,-0.4856,0.1458,1.1828,1.0377,0.3262,1.1936,-0.0659,0.1591,-1.0258,1.4388,0.1798,0.9364,0.2071,0.6308,-0.218,-0.1364,-0.3528,-1.1558,-0.7449,-1.4811,0.2055,-1.1322,0.0399,0.305,-0.542,-1.6072,-0.3433,-0.0881,-1.1957,1.1831,-0.0153,-1.8118,-0.5153,-0.8097,-0.7073,-0.1198,-1.8323,0.0577,-0.3565,-1.345,-0.342,-0.3147,0.1216,-0.5328,-0.1527,0.1807,-0.623,1.7874,0.3265,-1.1369,-1.0856,-0.4311,-0.1666,-1.2712,1.3787,-0.7798,-0.2207,0.7246,-0.3322,-0.7571,-1.5357,-0.6762,-2.2182,-0.6897
-1.307,-0.264,-0.8883,-0.8479,0.8363,-1.2711,-0.5797,-0.6586,-0.1519,0.2529,-1.9683,0.3255,0.1368,0.389,-0.0282,-0.1409,-1.7019,-1.3195,0.1314,-1.4773,-1.7124,1.6706,-1.3768,0.282,0.0591,0.3265,-0.737,-0.7002,-0.4438,-0.5271,-0.2793,0.5403,-1.4084,0.7637,0.4266,0.3979,0.9662,-0.3526,-1.522,-0.6355,1.1809,-0.4358,-0.5306,0.8776,-1.2207,-1.9586,-0.4825,-0.1407,-1.1276,-0.1501,0.3961,-0.2895,0.0058,-1.0688,-1.235,-0.5958,-0.6673,0.6966,-0.3678,-1.6413,-0.6331,-0.0752,0.1182,-0.2109,-1.5125,-0.6532,-0.5142,0.1593,0.3322,-0.6402,0.6264,0.6436,0.4339,-0.3988,0.1562,-0.499,0.0758,-2.1872,-1.9324,-0.2104,0.13,-1.1352,-1.3088,0.5082,-0.7777,0.7911,0.2044,-2.5856,-1.0679,0.3962,-0.38,0.0219
-1.085,-0.7297,-1.9363,0.8399,0.7825,-1.1141,-0.2061,-1.4788,0.1533,0.5192,-1.06,1.4124,-0.5961,-1.1278,1.1984,0.5784,-2.7322,0.6646,1.3844,0.207,0.0647,-0.951,1.3639,0.0399,-1.2187,0.6727,0.7091,2.1698,-1.4719,-1.3959,0.2455,-0.4037,1.5237,-1.2582,-1.2393,0.8014,-0.4847,-0.7074,0.5648,-0.5575,0.9204,-1.7317,-0.3662,-0.6347,1.1638,0.1803,0.1354,0.1147,5.4733,1.944,0.2464,0.0927,0.7031,-0.7646,0.9278,0.9462,-0.0728,-1.3106,-0.461,-1.6485,-0.4269,0.64,-0.4828,0.8671,0.7582,-1.101,-1.3036,-1.153,-0.8912,0.487,0.0189,0.2887,1.1968,0.1222,0.5865,0.7833,2.1649,-0.0157,-1.6268,0.8943,1.0507,0.3369,-0.996,1.5005,1.6689,-0.9759,-0.7813,-0.9884,1.6024,0.1038,-0.0234,-0.409
-0.5403,-0.6473,-1.517,-0.1794,0.1749,-0.3633,0.2678,-0.6955,0.6246,0.5226,-0.5916,-0.9892,-0.6361,-0.4636,-0.2033,-0.0708,-1.8853,-0.0322,1.0738,-0.8269,0.8087,-0.8166,0.4871,0.0367,-1.0116,1.2441,2.7463,-0.7231,-0.2917,-0.6931,1.7353,1.8383,3.5673,-0.448,-0.6129,0.1259,-0.9055,-0.4261,-0.8574,-0.3556,0.1891,-1.437,1.553,-0.5386,-0.4606,-0.5047,0.2041,-0.7761,-1.0523,-0.9965,1.4492,-0.3489,0.3578,0.5334,0.9211,0.6922,-0.856,-1.4897,1.2476,-0.4695,0.6667,0.0965,0.1352,1.2894,0.6161,-0.4875,-0.3006,0.1347,0.6852,-0.0864,0.5294,-1.1125,0.9302,-0.3444,-0.0863,-0.9328,-0.3449,-0.2759,0.3716,0.6827,0.814,0.7866,-0.8589,-0.2973,1.0439,0.4461,0.6317,-1.4085,-0.4495,0.196,-0.1765,0.0097
-0.9699,0.1212,0.3738,-1.1729,0.0639,-1.5438,-1.6576,-0.0551,-0.6395,0.3756,-1.1348,-0.4327,0.304,2.8668,-1.1535,-1.8036,-2.0296,0.676,-0.3299,-1.1126,-0.444,1.1433,0.5426,-0.1115,0.7,0.3608,0.1623,-2.657,0.7324,-0.1978,0.3714,-0.6952,-0.2848,0.4302,0.8075,0.1493,-0.9285,-0.1259,0.1137,-1.4365,0.5091,0.1894,-0.8187,1.6223,-0.9239,0.7081,-0.4406,0.5656,-0.3592,-0.2555,0.2413,-0.9017,-0.953,1.2129,1.0529,0.3018,0.837,0.8081,-0.7419,-0.4974,-0.613,-0.3392,0.0461,0.8616,0.2758,-0.6103,-0.8031,-0.485,-0.4856,0.3812,0.6458,0.3867,0.5165,0.2006,1.4528,-0.5265,0.4591,-0.0961,-0.2489,-0.7425,0.6172,-0.5691,0.5693,-0.4151,0.3011,1.2204,0.173,0.5342,-1.5066,0.2706,0.6391,0.449
-1.5224,1.9872,-0.7251,0.7815,3.8817,-1.0197,0.9762,-1.2263,-0.6773,-0.7395,-1.2968,0.7894,-0.9902,-1.6154,0.6504,-0.0233,-1.2594,1.5689,0.9367,-0.3192,-0.4976,-0.0178,1.0441,-1.3084,-1.4448,0.8869,0.0428,0.4587,0.8212,-1.9468,-0.0353,1.1977,-0.0888,0.2653,-0.8972,1.3101,-0.4512,1.4552,1.3658,-0.1414,0.1451,-1.3748,-1.0046,-1.8125,0.5913,1.4161,1.689,-0.8267,0.2794,-0.6848,-0.4113,-0.2651,-0.0721,1.6831,0.8038,2.3334,0.4729,-1.3173,-0.6066,-1.3212,-0.6647,2.1949,-0.952,0.8772,2.6196,1.0233,0.1276,-0.5645,-0.7455,0.6423,0.9644,-1.0556,2.4018,0.7757,0.8511,1.1722,-1.8088,0.6674,-0.798,0.7222,1.0452,1.0899,-2.8014,1.1683,2.6056,-1.1905,1.5125,-1.1826,0.4055,0.055,1.6378,-0.1386
