ABCC8
ACY3
ADAM21
AIDA
ALOX12
ALOX15
AMELY
ARL17B
ARL9
ASGR1
ATP6V1C2
B3GNT6
BCL8
BMP8B
C10orf10
C14orf68
C17orf50
C1orf170
C1orf180
C1orf21
C1orf94
C20orf191
C22orf42
C3orf51
C6orf114
C6orf94
CACNA1I
CADM2
CALR3
CAMP
CBLC
CBLN1
CBR3
CCDC141
CCDC42
CCDC54
CDH12
CDK5R1
CDKL4
CES3
CLDN20
CNGA3
CNKSR2
COL9A2
CTBP2
CTSL3
CTXN3
DDX1
DNAJB8
DNASE2B
DPRX
DTX1
EBF2
ECHS1
EIF1B
EIF2B2
ENOX2
ENPP3
EPN3
EXOC1
EXOSC6
F11
FAH
FAM138B
FAM21B
FAM55A
FAM65B
FAM86B2
FASLG
FBLN7
FGF12
FLJ26850
LINC00452
FZD8
GALNT8
GAST
GATA4
GDA
GFOD2
GJB6
GLDC
GNASAS
GOLGA8DP
GPC5
GPLD1
GPR139
GPR19
GPRC5D
GRIN2D
GRP
GSG1L
GUSBP3
HAO1
HAO2
HCG22
HDAC1
HEXA
HEXB
HIST1H2AA
HIST1H4I
HIST2H2AB
HJURP
HMHB1
HOXC5
HOXC6
HRSP12
HS3ST4
HSD3B7
IGFL4
IKZF4
IL12A
IL1RAPL2
IL5RA
ILDR1
INTS12
IQCE
KAZALD1
KBTBD6
KCNB2
KCNC2
KCNQ2
KCNS3
KCTD16
KCTD21
KCTD8
KIAA0087
KIAA0406
KIF16B
KLHDC7A
KLHDC8A
LAIR2
LGALS3
LGMN
LINGO1
ACVR2B-AS1
LINC02418
MANCR
LBX2-AS1
LOC284009
TPTE2P6
NPIPB13
LINC01300
LINC00923
LPO
LRRC49
MAB21L2
MAN2B2
MANBA
MAP2K5
MARCHF11
MEIG1
MKRN3
MRI1
MSX2P1
MTUS2
MUC2
MYCNOS
MYO1E
NBLA00301
NBPF7
NCRNA00110
NDNL2
NKAIN1
NOX1
NUDCD3
NUDT12
NUP62CL
ODF2L
OR1C1
OR2AK2
OR2M4
OR51G2
OSR2
P2RX4
PABPC1L2B
PCDHA13
PCDHGA2
PCNXL2
PDE1C
PDE6C
PHGR1
PLA2G2C
PLGLA
PLIN2
POM121L1P
POM121L8P
PPP1R1C
PRR16
PSAPL1
RAB11A
RBM3
RNASE13
RNF135
RNF138P1
ROPN1
RPL23AP32
S100Z
SCARNA17
SDK2
SEMA4A
SFPQ
SGCD
SH2D1A
SH3D20
SIGLEC11
SLC18A3
SLC45A2
SLC6A19
SMOX
SNORA19
SNX31
SP5
SPANXC
SPANXN2
SS18L2
STAG3L4
STAMBP
STARD6
STC2
SYT13
TAC1
TAS2R31
TBC1D3C
TDGF3
TDRD1
THEG
THPO
TMC5
TMED7-TICAM2
TMEM105
TMEM180
TMEM184A
TMEM189-UBE2V1
TMEM92
TNFRSF13B
TOR1B
TP53I3
TPH2
TRIM69
TSPO2
TUBA3D
TUBGCP5
TWIST1
UGT2B7
ULBP2
URGCP
USP4
WFDC12
WSCD2
ZNF705D
