DNAJA2
MIOS
FAM108C1
RASSF3
ZIK1
C1orf70
VSTM2L
PXN
APH1B
GSTT1
PRR16
CYP2B7P1
FUT9
NPTXR
RIMS2
YIF1B
PANX2
CRISP2
CYP1B1
SERINC4
SPRY4
PI3
SLC9A3
C1orf126
SEMA4A
KIF12
DLX6-AS1
FAM76A
TSKU
PLEKHA9
SMOX
CYP4F8
ENTPD1
PHKG2
PABPC1L
FMN2
CLEC16A
MLLT10
PTER
VASP
SLC45A2
ARFIP2
APOD
ATP1A1
SHISA9
PCDH18
KIF21A
ZFP3
PKP1
C1orf151
MYOT
C2orf74
SHOX2
LHFPL3
COLEC10
KIAA0408
FAM107B
PLEKHB1
C3orf67
PHOSPHO2
LRP1
NT5C3
WFDC12
ZNF606
APITD1
PPYR1
BRD9
C6orf41
RAB18
MKRN3
TRIM32
TP53I3
LITAF
ACHE
WDR33
MOCOS
HSPB1
ANO7
CDH15
OR2W5
ARFGAP3
SCGB1A1
EIF3CL
RAB6C
KCTD12
C1orf21
HMG20B
ANKRD56
PARP6
ME3
TSPAN19
CACNA1H
PISD
ACN9
KIAA0406
SLC25A38
LOC399815
MATK
MEF2B
PTPRJ
PCNT
PCDHB7
SLC36A4
SLC6A17
PANK1
KRTAP5-10
ATRN
NCRNA00176
GP2
NDST1
PAX8
FOXP4
ASAP3
RELA
ACTBL2
TOMM40L
PTPRO
STXBP1
PIP5K1B
NELF
HTT
ZBTB24
FKBP15
NFIB
PKHD1
MTERFD2
CKMT1B
SNRNP27
C2orf43
TMEM45B
STAT1
C12orf5
HPDL
AFARP1
SHROOM1
DTX3
THRB
HLA-B
CALM2
WTIP
HLA-DRB5
PLD1
TMEM105
DOK6
HTR4
C12orf68
PHGR1
SERHL
ZSCAN20
LINC01622
MRI1
TDRD1
LRRC6
NEU4
GRM8
MAPRE3
MSL3L2
SLC7A1
ZFP37
RAMP1
FAM118A
KHDC1L
ZNF653
ARL6IP5
ATP8A2
CYP4F11
FAM86B2
TMEM138
NDUFAF1
POGZ
C1orf150
FAM188A
AFF3
ECHS1
KIAA1529
TNFRSF18
OR2W3
MARVELD3
CNTN2
HMP19
METT5D1
STARD3
HGS
ELMO2
STC1
SERPINB13
PXDN
TGM1
KCTD8
AGER
KCNA5
TRIM58
ARHGDIB
C2orf66
CASP1
CYB5D1
C11orf63
CELSR3
FRMPD1
HLA-DMB
GATA6
MAP4K3
C15orf34
UGT2B15
PDK4
CBR3
CENPB
MKKS
NDN
CA10
TMEM99
PHLDB2
PWWP2B
CEACAM4
TM2D3
C2orf55
ACY3
KCNK10
OSBPL7
PYGO1
FRK
ZNF671
CWH43
DICER1
WDR17
HMGCS2
SERPINB4
NHSL1
STXBP2
IQCB1
CKS1B
HOXC5
ITPKC
VAT1
PCDHA13
DEM1
GSDMC
GSDMA
C1QTNF9B
GALC
C4orf19
RNF44
CD83
C5orf58
SEPHS2
PTPRA
LRRC37B2
DCUN1D2
TOX
SLC18A3
