CHD1
AGBL4
TYW3
AK5
TMED5
FCRL5
DUSP5P
HIST3H2A
HIST3H2BB
HIST3H3
MIR4666A
RNF187
TRIM11
TRIM17
COG2
AGT
CAPN9
TTC13
ARV1
FAM89A
MIR1182
KIAA1804
FH
KMO
SDCCAG8
TTL
NXPH2
RND3
CCDC148-AS1
CSRNP3
CNTN4
SUMF1
ITPR1
SLC6A1
NR1D2
PROK2
PVRL3
PIK3R4
NPHP3-AS1
TIPARP
LEKR1
SLC7A14
RTP4
LPP
LPP-AS2
LSG1
SDHAP1
LINC00885
ZDHHC19
ISL1-DT
ITGA2
FST
RNF138P1
SLC38A9
DDX4
PART1
DEPDC1B
FOXD1
BTF3
ANKRA2
UTP15
RGNEF
ENC1
ANKRD31
SNORA47
GPR98
RGMB-AS1
RAB9BP1
MAN2A1
LINC01848
NRN1
MCART3P
ME1
CYB5R4
MRAP2
ZNF292
UBE2J1
EPHA7
FUT9
GRIK2
LIN28B
FOXO3
LINC00222
ARMC2
SESN1
TPI1P3
COL10A1
VGLL2
ROS1
MAN1A1
THSD7A
BMPER
AAA1
POU6F2
HECW1
TNS3
MIR4283-2
SEMA3E
PLXNA4
CNTNAP2
CSMD1
MCPH1
ZDHHC2
MTMR7
SLC7A2
FGL1
PCM1
CHRNA2
EPHX2
MIR4288
UNC5D
KCNU1
ADAM32
POLB
DKK4
VDAC3
SLC20A2
MIR4469
FNTA
MRPL15
XKR4
MYBL1
VCPIP1
FAM82B
CNGB3
MMP16
GRHL2
TMEM74
TRHR
NUDCD1
EBAG9
EIF3H
UTP23
SLC30A8
HAS2
HAS2-AS1
CBWD1
DOCK8
FAM138C
FOXD4
KANK1
WASH1
PTPRD
RAD23B
ASTN2
C9orf106
PLXDC2
ANXA2P3
GHITM
C10orf99
OPN4
LDB3
BMPR1A
MMRN2
FAM22D
LINC00863
NUTM2A-AS1
PAPSS2
RNLS
HHEX
IDE
KIF11
MARK2P9
O3FAR1
LGI1
FRAT1
SORCS1
RAB39A
C11orf65
DUSP16
CREBL2
GPR19
XPO4
ATP12A
RNF17
CENPJ
ATP8A2
POMP
N4BP2L1
STOML3
CCDC122
PCDH20
POU4F1
RBM26
RBM26-AS1
GPC5
TEX29
MIPOL1
MIR138-2
CETP
CLEC18B
PDPR2P
PSMD7
DYNLRB2
CMIP
LOC100129617
SDR42E1
HSD17B2
MPHOSPH6
ADAD2
ATP2C2
COTL1
KIAA1609
KLHL36
USP10
WFDC1
ZDHHC7
KIAA0513
LINC00311
LOC727710
C16orf95
FBXO31
YBX2
EIF5A
GPS2
ATP1B2
MYH10
CCDC42
SPDYE4
MYOCD
SLC5A10
FAM83G
GRAP
GRAPL
ACLY
STAT5A
RAMP2
PYY
NAGS
GPATCH8
LINC00470
TNFRSF11A
ZCCHC2
LINC01924
LOC339298
ZNF236-DT
MBP
MACROD2
LINC00114
PSMG1
BRWD1
BRWD1-IT2
MIR4760
MX2
MX1
TMPRSS2
hsa-mir-1182
hsa-mir-4280
hsa-mir-4288
hsa-mir-138-2
