SRP14P1
ABCC11
ABHD12B
ACAD8
ACO1
AFG3L2
AGK
AHRR
AKR7A2
ALOXE3
ALS2CR12
ARHGDIG
ARHGEF33
ARHGEF4
ASMT
ATG9B
ATP5A1
AZU1
BAHCC1
BAX
BCL2L13
C11orf66
C12orf69
C14orf178
C17orf67
C17orf82
C18orf10
C18orf18
C18orf45
C1orf168
C20orf202
C20orf203
C20orf46
C22orf31
C2orf50
C4orf36
C4orf37
C5orf52
C9orf50
C9orf70
CA11
CACNA2D2
CACNG4
CAMKK2
CATSPER3
CDHR3
CDKN2A
CDRT1
CHKA
CHMP7
CLLU1
CMYA5
COX10
CRIP3
CXCL14
CYP2B6
DDB2
DDIT4L
DEFA5
DEFA6
DHX35
DKK1
DKKL1
DNAJB13
DPCR1
DRD1
DSG2
DUSP27
EDA2R
EFCAB2
EIF4ENIF1
ELANE
ELF5
ELP2P
EPM2AIP1
FAM101A
FAM125A
FAM155B
FAM189A1
FAM190A
FAM66D
FAM82A2
FAM89A
FBXO15
FBXO42
FBXO7
FN3KRP
FOXL1
FUCA1
FUT1
GATM
GGTLC1
GLYR1
GNG13
GNG4
GP2
GRHL2
HBD
HCG11
HCG4
HDHD2
HEATR4
HIST1H2AH
HIST2H3C
HIST2H4A
HPSE2
HS6ST2
HYLS1
IGF2BP1
IL17C
IL23A
IQCF1
IRX2
IRX5
ISL1
KCNMB4
KIAA1383
KIR3DL2
KLK14
KRT12
KRT13
KRTAP5-8
L3MBTL2
LCLAT1
LDHAL6B
LEAP2
LEPREL2
LILRP2
LIMK2
LMF1
FAM83A-AS1
LINC00894
METTL21EP
SLC25A48
LINC01089
DUBR
SNHG17
SEC14L1P1
BORCS8-MEF2B
LRRC36
LYG1
LYPD5
MANF
MAPRE3
MESDC2
MESP2
MEX3C
CENPBD1P1
MPI
MSH4
MUC2
NAPG
NDUFC2
NKAIN4
NOL9
NTF3
NUBPL
NUDT3
NWD1
OCM
ORAOV1
PCDHGB4
PCSK7
PEX5
PEX6
PHGDH
PIGV
PMS2L2
POLR2J2
POM121L10P
PRINS
PRR22
PRSS23
PRSS53
PSD2
PTGR1
QRICH1
RAC3
RASD2
REG3A
RETNLB
RFPL4A
RGL4
RHBDL3
RIBC2
RNF160
RNFT2
RPL22L1
RRS1
RTN4RL2
SEC31A
SERPINA1
SFN
SIX2
SLC34A2
SLC39A5
SLC5A12
SMAP1
SPDYA
SPERT
SPIB
ST7OT3
STEAP2
STK11IP
STK32A
STX3
SUPT3H
SUSD1
SYCE2
SYTL5
TAF7L
TAZ
TBC1D3C
TBC1D3H
TCF7
TCFL5
THNSL2
TINAG
TLE2
TMC1
TMCO4
TMEM143
TMEM185B
TMEM195
TNNC2
TNPO2
TOP3A
TPPP
TRIM50
TRPV6
TYMS
TYRP1
UBA7
UBE3B
UBL7
UGT1A10
UGT2A3
ULBP3
ULK3
UNC45B
UPF3A
USP49
WFDC2
ZADH2
ZFR
ZKSCAN3
ZMYND12
ZNF543
ZNF552
ZNF559
