TNFSF12;TNFSF12-TNFSF13
C1orf59
STC1
LIMS1
C7orf43;GAL3ST4
NMNAT2
DOCK6;LOC55908
EPM2AIP1;MLH1
ZNF678
PIGZ
TSHZ1
TP53AIP1
DGKE
LIPH
ELF5
PRNP
CDC42EP2
ABTB2
UBE2T
RUNX2;SUPT3H
RILPL2
MAP1B
PIGR
RHOF
CCDC92
KRT12
ATRIP
C9orf9;C9orf98
INHBC
MIR1251;RMST
BMP6
ZFP37
NTSR1
ACCN3
FANCF.4
RGS10
T-SP1.1
CBX6
MEG3
RMST
AHCYL1
C10orf10;RASSF4
HSD17B7
VCAN.1
DBNDD1
PDZD7;SFXN3
MCCC1
RUNX2;SUPT3H.1
FOXH1.1
C1orf21
HIST1H4F
PDCD7
HSPB9.1
NOG
FUT6.1
CDC42EP3
SNRNP70
NOL3.1
PMPCB
MTNR1A
PSMD1;HTR2B
HP
INSL3.1
ZMYND12;PPCS
LDHB.1
UBB.1
BOLA1
C16orf48;C16orf86
Unnamed: 5435
SERPINB5
SRRM2;LOC100128788
MPPED2
C9orf125
ICMT
GRWD1.1
RNASE11;RNASE12
UNC13B.1
NAP1L1
DHRS7B
DIAPH2
HIST1H3E
TIGD2
TNNC2.1
KCNK17
GPKOW
IZUMO1
PRH1;PRR4;TAS2R13
ABCG1
GSS
DAPK1.1
UACA
PRTFDC1.1
RHOF.1
MAP3K7IP2.1
ASGR1.1
SLC22A11
PROS1
MPO.1
RNF128
GIPR.1
STK32B
CADM1.1
ZNF436
TBX3
SCD5
NFAT5
C20orf151.1
KCNJ5
GTSF1L.1
PAX7.1
SERPINB12.1
PSMB10
PSMC1.1
AGMAT
Unnamed: 9628
NAA50
TBC1D10B
TNFSF12;TNFSF12-TNFSF13.1
C14orf167;DHRS4
SNX19.1
COMMD4
TRIM42
IL34.1
PPP1R16A
LARGE.1
SYTL5
ULBP2.1
RARG
CD160.1
MRGPRX2
PAQR5
Unnamed: 10665
SNRNP200.1
ZNF652
POLN;HAUS3
NEU1
ZNF655.1
DNAJC5B
HCP5.1
IL9
EPM2AIP1;MLH1.3
SNORD116-1.2
NDRG2
MSX1.8
EIF2S2
ADAMTS4;NDUFS2.1
MNS1.1
CAB39L
GPR77.1
SRD5A2
MAP3K14
NUP155.1
CHMP4A;MDP1.1
KCTD12.1
DFNB31
ACY1.1
SPEG.1
TIMP1;SYN1
ZNF223.1
SERPINA13
SGK2
NT5E
SLC2A10
HIST1H4L.1
ZNF532.1
LPCAT1
NHLRC3;C13orf23
MRPS21
ATP8B1
MANEAL
LPIN2.1
PUF60.1
HPGD.1
JRK
ATP11C
Unnamed: 15140
CITED1.1
MNT
PDCD2
SATB1
DYRK1B.1
ASCL3
HIST1H3H.1
TMCO1
RFESD.1
DDB2
ZNF691.1
MAPK8
FAM117A.1
IPO8
CRX
TRERF1.1
CD74
PBX4
FSHR.1
PIGR.1
MAST1.1
ALG13.1
MATN3.1
ZNF207;MIR632.2
HIST1H3C;HIST1H2BB
GNL1;PRR3.2
CDC37
SLC5A10
CCDC57.2
XYLT1
FAM123A
MSH4.1
TNFRSF4
MUC5B.1
CDC23.1
HIST1H4J
CHRNA9.1
PNMA1.1
DRP2
MIR548H3;C6orf167.1
PTPLA.1
FGF20.1
FCGBP.1
LOC440356;CDIPT.1
REG3A
HNF4G
BMP4.1
SERPINB4
SPEF2.1
EPHB6
SERPINB2
CCDC89.1
SDC2.1
IRF4.1
SMCR8;TOP3A.1
ST6GALNAC4
GRB10.10
BRD1.1
KHDRBS3.1
PDHX;APIP.2
C15orf33;DTWD1
ATP8B1.1
PPIL1.1
C5orf38;IRX2
HABP2.1
C19orf26.1
ZNF678.1
PROC.1
PTTG1
ERP29;TMEM116.2
PHGDH.1
DMTF1.1
CCL21
CHST12
