2.6267,0.2839,-1.0127,1.209,-1.6894,-1.6288,-0.366,2.5809,-1.4464,0.6805,0.9574,0.2541,-1.2732,0.7118,2.2099,0.1488,0.3829,0.2786,0.0179,2.0354,-0.3284,0.3685,2.1569,-0.6537,-0.0272,0.7146,-0.7235,-0.4777,1.5733,0.1321,-0.0267,0.1289,-0.4559,1.9078,-0.0227,0.3173,0.8977,0.3091,-0.04,-0.1441,0.3186,-0.7825,2.2893,0.5624,-1.3617,1.7278,-0.7392,1.4007,1.2819,-0.7094,-0.1256,1.1989,-1.0415,1.4791,0.8543,1.2405,-0.2292,-1.639,-0.4569,0.4061,-0.6154,-0.5209,0.1615,-0.5385,1.8892,-0.0078,1.7161,-0.4006,-1.6845,-0.9689,-2.5315,-1.7166,0.2866,0.3756,-0.3457,0.1502,0.6627,0.1692,-0.7031,-0.093,-0.5953,-1.0937,2.3435,-0.9659,1.3537,0.1231,0.4552,0.5466,-0.2457,-0.4286,0.1454,-0.7656,0.5463,0.8723,-0.8356,0.9406,-2.3124,-1.7051,-0.8612
-0.5005,-1.913,1.6615,0.1148,-0.4879,-0.6883,0.3728,-0.4296,-1.3819,0.3532,0.8247,-0.5121,-0.0378,-0.3981,-0.4691,-0.213,-1.4431,0.6209,-0.0228,1.5898,3.037,-1.1673,-0.7364,-1.5338,1.3819,1.1148,0.8167,-1.0555,-0.2272,1.4085,0.2541,-0.6821,0.4797,-0.4197,2.8589,1.4177,-1.2455,0.703,1.3491,-0.3172,0.1881,0.8604,0.1875,1.1973,-0.6938,0.3863,0.209,-0.373,-0.364,0.0803,2.5527,-0.0358,0.3639,-0.583,-0.8164,-1.7807,-1.4974,1.6112,0.4659,0.5508,-1.7797,-0.6763,-0.0456,1.911,2.1814,-0.0762,-2.1404,0.5498,0.0554,-0.4093,-0.7547,0.3721,-1.5523,1.6389,-0.8876,1.4503,-0.6103,0.5743,0.3925,-0.3497,-0.6721,-0.3791,0.0149,0.4502,-0.0223,-0.8752,0.4086,-0.191,0.5492,0.8156,-0.714,-0.3312,-0.6078,0.8411,-0.4851,0.2847,-0.7027,0.0383,0.6601
-0.3147,0.5067,1.1539,-0.6746,0.5296,-0.2102,-0.073,0.1234,0.1811,0.2906,0.0247,0.1236,0.3706,0.1692,-0.8626,1.0498,0.0702,-0.5497,-1.4233,0.6771,0.7677,-0.4442,-0.1576,0.493,-0.6801,-1.0516,1.2529,-1.5575,-0.6508,-1.0905,-1.2107,0.8937,-0.8144,-0.7937,0.1432,0.7156,-0.3422,-0.1572,-0.7689,-0.8768,-0.5472,0.2594,-0.8406,-0.6533,0.4852,-0.0066,0.3097,-1.0711,-0.8758,-0.2495,0.7703,0.1337,-0.8952,-0.7074,-0.1364,-0.1906,-0.7861,-0.7889,-0.072,-0.1228,-0.3467,0.6371,0.0217,0.757,-0.2383,-0.9454,1.0205,0.869,-0.291,0.3223,0.8182,0.0248,0.4843,-0.118,0.7483,1.0801,-0.2411,0.3084,-0.8811,-1.1349,-0.5017,-0.3676,-0.94,-0.3392,-0.0246,1.648,0.5849,-0.314,1.0562,0.8286,0.4526,0.2261,0.5416,0.4618,-0.1136,-0.0959,0.002,1.1471,0.1707
-0.0563,-1.2035,-1.4469,-1.8567,-2.2207,2.1371,1.0278,-0.9498,-0.8519,0.6975,-0.2012,0.1791,-0.8905,-2.5711,0.1827,1.2658,0.903,0.1992,-1.4344,-1.9585,-1.2217,2.4674,-0.1013,0.5432,-0.4624,1.7705,-0.7711,0.1544,1.2867,1.6277,1.4775,1.3016,-0.5067,-0.8317,1.8351,-1.0382,0.0147,-1.1869,-1.1628,-0.6663,1.0233,0.3628,3.5886,0.7153,2.2764,0.6782,0.0054,-1.5568,-0.6024,-0.4412,-2.1976,2.8437,-0.9276,-2.2346,-1.1288,-0.2558,-1.4794,-0.971,-1.254,0.5078,2.9758,-2.5575,0.2792,-0.566,-0.791,-0.0355,-0.1794,0.2035,0.0,-2.7448,-0.7279,0.9152,-1.2407,-2.0554,0.1734,-1.2248,-1.1543,-0.1997,1.7487,0.1243,1.205,-1.7707,-1.6217,-3.5331,-0.3996,-2.1327,0.5512,-1.2482,-1.0651,-0.0985,-3.0489,1.9894,-0.36,-1.3681,1.2238,-1.9644,-1.3606,-0.6931,-1.9966
-0.0498,0.0102,0.3912,-0.1289,1.1465,1.549,0.4597,-0.7256,-0.4232,0.0682,-0.5028,1.8283,-0.6274,0.4171,0.1889,-0.4025,1.0345,-0.0271,1.6728,0.4838,-0.6542,0.4178,-0.1156,-1.0383,-0.7213,0.4484,0.6085,-0.5451,0.457,0.6621,1.1013,-0.0117,1.3525,0.4276,-0.2234,1.1788,-0.8635,-1.1198,-0.1359,0.2819,-0.3371,1.1,0.2814,0.28,1.1465,0.0004,0.5469,0.1607,0.089,1.232,1.1146,0.4667,0.7991,-0.8242,1.6767,-0.82,-0.0178,1.6411,0.9822,0.1098,0.4743,0.7722,-0.9255,0.205,0.8302,-0.0132,-0.3018,0.9486,0.5879,0.3188,0.0298,0.0355,0.5197,1.2131,0.2506,-0.465,-0.1599,0.2958,-0.2581,1.3853,0.2966,1.8891,-0.166,0.5828,-0.4919,0.6418,-0.5617,0.0797,0.3903,0.1599,-0.2809,0.0712,1.0649,0.5628,0.4418,0.133,0.1772,0.2658,0.9774
-0.5758,-1.7826,-2.2551,0.8178,-0.4604,-1.5218,-1.0036,-0.6004,0.9913,-0.4373,0.1836,0.4785,0.0857,-1.8887,0.1662,-0.7358,-2.039,1.294,-1.1474,1.4809,-0.5018,-2.1968,-1.8886,0.5994,0.5488,-1.5619,0.5117,1.0368,-1.8791,1.1789,-0.9756,-2.7898,-0.5936,-0.9771,0.6904,0.277,-1.679,-2.2101,0.0851,-0.3968,-0.1066,-1.5728,-0.5888,-1.7255,-0.9255,-1.3639,-2.6466,-0.5256,-0.8564,-1.8217,1.2197,-0.2125,-0.501,0.818,-0.4626,-1.6958,-3.3356,-1.4409,0.3162,0.3973,-1.6413,-0.7676,-1.1508,-1.2154,1.2913,0.4186,-0.8558,-0.6857,-1.8363,1.2108,-0.6681,1.427,-0.7323,1.0012,-1.7436,-0.2954,1.7112,0.8188,-0.9229,-0.3915,-1.4926,-0.8585,-0.3168,-0.1684,-1.2211,-2.0094,-0.6264,-0.2862,1.7896,-1.7478,1.3079,-1.1166,-1.75,0.1863,-1.3375,-0.8596,-1.0939,1.4726,-0.3445
0.5164,-0.6048,1.1919,-0.5119,1.0692,1.262,0.1415,0.3084,-0.1029,0.8119,0.0259,0.732,1.9485,-0.0896,1.3088,-0.9057,0.5655,0.4271,-0.3099,1.4618,0.7891,0.287,-0.5627,1.231,0.4042,1.2459,1.6255,-0.1948,-0.2951,1.3078,0.6272,-1.0875,0.2489,-0.7705,0.199,1.2706,-0.7027,-1.0425,1.4226,-0.1557,-0.2373,-1.1169,-0.657,-0.6764,-0.6959,-0.5234,-1.3366,-1.4174,-1.6856,0.7843,1.1076,-0.5899,-0.1683,0.0382,0.1967,0.2636,-0.0524,-0.5346,-0.9658,0.6233,-0.1261,0.3512,-0.0295,1.2048,1.9172,0.9952,0.1512,0.9592,-0.3946,-0.4022,-0.8854,1.705,-1.2182,1.2505,1.74,-0.1744,0.0581,1.1901,1.3445,0.9751,-0.6129,-0.5833,0.7203,-0.3832,-0.7021,-0.8157,-0.0743,-0.3648,1.2212,0.701,1.0668,-0.5919,-0.6178,1.2136,-1.4735,0.2708,-0.797,0.7541,1.4612
-0.3254,-2.2146,-1.6153,-0.6743,-0.5232,-1.5623,-1.4959,-0.5567,0.1238,-0.802,0.9893,1.7853,-0.2642,-1.4433,0.9135,-1.9115,-1.2438,1.3554,-1.5538,1.9938,0.7842,0.0107,-0.1775,-0.6777,-0.1321,0.2412,-0.2967,0.5641,0.0462,0.2036,-0.2642,-1.8997,-0.2333,-0.4621,0.9833,0.6516,-0.8413,-1.0267,0.1674,-0.4543,0.8449,-2.5454,-0.7725,-0.3955,-0.7101,-1.6341,-2.9653,0.5385,0.4817,0.4368,-1.0781,-0.3464,-0.243,1.1657,-0.1087,3.3743,-2.3074,-1.7907,0.8204,0.1834,-1.4349,-1.9301,-1.2691,-1.4994,1.7779,0.2178,-1.2317,-0.0546,-2.4698,0.0825,-1.3481,-0.1906,-1.3941,0.36,-0.4748,-0.1009,1.7439,-0.1921,1.407,2.241,-0.8201,-1.3935,0.3444,0.0881,-1.1367,-1.9138,-0.9652,-1.1097,-0.8233,-0.1511,0.4825,-1.8141,-1.724,-0.0848,-1.0461,0.5166,-1.9194,0.1554,-0.4444
0.9429,-2.0299,3.3313,1.5653,-0.1726,-1.4003,-0.3724,1.6215,1.2646,1.6593,-0.8544,-1.7914,-1.5967,-1.5374,1.8302,0.9547,-2.7674,0.2133,-0.1635,2.2153,-1.1626,-1.8641,-1.0209,-0.863,-0.9051,-1.2915,0.3127,0.4607,0.2299,0.5887,0.3156,-1.3978,0.7825,-1.2845,0.7187,1.9284,0.2549,-1.507,-0.0675,-0.702,0.2979,-2.4479,-0.1461,-1.4214,-0.2589,-0.1779,-2.015,-1.1892,-1.8603,1.2808,-2.0341,-0.4459,0.7322,1.6626,-2.7706,2.2489,-0.9102,-2.7551,0.2648,2.051,-1.2786,-1.3679,-1.6337,-0.8552,2.1684,0.0316,-0.1913,-0.6003,-1.6062,0.6305,0.2251,0.6739,-0.6149,3.2193,-1.659,-0.5756,-0.4394,0.6697,-0.288,-0.2663,-0.6601,0.8308,-0.7382,-1.394,-1.263,-2.0408,-0.7018,-0.1303,-0.2065,-0.9351,-0.2296,-0.7928,-1.6515,0.2769,0.0061,-0.4289,-2.2082,0.0743,0.2008
-0.4558,-1.4675,-0.1503,0.4335,0.8897,1.5189,-0.5803,-0.1471,0.379,-0.7372,-0.2386,1.9759,-1.1238,-0.3009,0.4072,-0.6744,-2.0747,0.5286,0.9865,1.1801,0.9659,-1.2537,-0.5043,1.1615,-1.7399,-1.4558,1.4151,1.2167,-0.5751,-0.778,-0.6012,-1.2303,0.5099,-1.4498,0.2917,1.5819,-0.4975,-0.8189,1.5182,0.2135,-0.1518,-2.4173,-1.3139,-1.2008,-0.2303,-0.3568,-0.4169,-1.507,-2.0089,-0.5317,-0.2527,1.0627,1.8727,0.7397,-1.1185,-0.3848,-0.7782,-0.8202,-0.7602,-0.5736,0.3906,-0.3878,-1.2166,-0.2218,1.5007,1.2529,-1.5638,0.1339,-0.3816,1.2174,-0.3192,2.714,-0.3197,0.72,-0.9462,0.0871,-0.9846,0.8724,0.7674,-0.6444,-0.9763,-0.3636,0.2867,-1.3828,-0.9817,-1.6382,0.1999,0.0469,1.3893,-0.776,0.2306,-0.3229,-1.8086,0.8421,-1.2544,0.2834,-0.6756,1.8021,0.3563
