Creatine
Glycine
Serine
Proline
Alanine
Valine
Leucine
Isoleucine
Methionine
Phenylalanine
Tyrosine
Tryptophan
Histidine
Lysine
Ornithine
Citrulline
Taurine
Hypoxanthine
Xanthine
Inosine
Uridine
Glycerol-3-Phosphate
Linoleate
Oleate
Stearate
Myristate
Cholesterol
Bilirubin
Biliverdin
Pantothenate
Niacinamide
Urate
