CROCCP2
CROCC
ESPNP
FAM231AP
MFAP2
MIR3675
MST1L
MST1P2
PIGV
ZDHHC18
DDAH1
SV2A
NAALADL2
C4orf48
KCNIP4
CORIN
NFXL1
CNGA1
NIPAL1
NOA1
POLR2B
IGFBP7
CCSER1
SYNPO2
LINC01194
CDH10
PARP8
GPR98
RAB9BP1
KCNN2
TRIM36
LOC102467226
FOXQ1
FOXF2
MIR6720
FOXC1
GMDS
E2F3
HIST1H1A
HIST1H3A
HIST1H4B
HIST1H2AB
HIST1H1C
HIST1H3C
HFE
HIST1H1T
HIST1H2AC
HIST1H2BC
POU3F2
FBXL4
PNISR
USP45
CCNC
PRDM13
UTRN
IYD
OPRM1
PACRG
PACRG-AS2
GRID2IP
GLCCI1
LINC01176
HGF
SEMA3E
MIR7976|chr7
CDK6
PPP1R9A
BCAP29
FOXP2
EXOC4
MIR598
CTSB
DEFB109P1
DEFB134
DEFB135
FAM66D
FAM86B1
FAM86B2
FDFT1
LOC392196
LOC729732
USP17L2
ZNF705D
SGCZ
C8orf86
RNF5P1.1
ANK1
DKK4
LYN
LINC00251
PRDM14
JPH1
DPY19L4
PTDSS1
CPQ
POP1
MIR599
MIR875
NCALD
MIR5680
RRM2B
AUH
NFIL3
BMPR1A
LINC00863
LSP1
IGF2
INS-IGF2
MIR483
IGF2-AS
INS
MIR4686
TH
MRGPRD
MRGPRF
STRAP
DERA
H3F3C
FAM71C
GPC6
MBNL2
RAP2A
ANKRD10
SLC25A21
FBXO33
LINC02315
NRXN3
C14orf80
CRIP1
ADAM6
KIAA0125
CASC4
CTDSPL2
EIF3J
SMAD3
C15orf39
GOLGA6C
GOLGA6D
ADCY9
RBFOX1
ABAT
ERN2
CHP2
PRKCB
CACNG3
INO80E
KCTD13
KIF22
LOC388242
NPIPB13
PAGR1
SHCBP1
MIR548AE2
LONP2
SIAH1
SMG1P7
AARS
EXOSC6
WWOX
CDH13
MIR3182
TEKT1
DNAH9
ZNF18
MAP2K4
CDRT15P2
TBC1D26
ZNF286A
MEIS3P1
DNAJC7
KCNH4
HCRT
GHDC
STAT5B
OR4D2
MKS1
LPO
LIMD2
LOC729683
STRADA
CCDC47
RP11-160O5.1
C17orf58
KPNA2
LINC00674
ARSG
PRKAR1A
WIPI1
MIR635
LINC01482
ABCA10
DLGAP1
CCDC178
ASXL3
EPG5
SKA1
LINC01630
DCC
MIR122
MIR3591
LOC101927322
MALT1
ZNF532
GRP
CIST1
KIAA1683
SIPA1L3
PCAT19
POU2F2
MEGF8
CNFN
LIPE
CXCL17
PRG1
PSG10P
PSG3
PSG5
PSG8
PSG9
TEX101
LYPD3
PHLDB3
ETHE1
PPP1R37
NKPD1
TRAPPC6A
BLOC1S3
GLTSCR2
SNORD23
SEPW1
TPRX1
MBOAT7
TSEN34
RPS9
DLGAP4
PTGIS
LINC01700
SYN3
SLC25A17
MIR4766
RBX1
EP300
MIR1281
PHF5A
PMM1
NHP2L1
C22orf46
PRR5
FMR1-AS1
FMR1
