CAV1|Caveolin-1
PECAM1|CD31
ITGA2|CD49b
CHEK1|Chk1_pS345
CHEK2|Chk2
CHEK2|Chk2_pT68
BIRC2 |cIAP
COL6A1|Collagen_VI
CCNE1|Cyclin_E1
DVL3|Dvl3
EEF2K|eEF2K
EGFR|EGFR_pY1068
EIF4E|eIF4E
ESR1|ER-alpha_pS118
MAPK1|ERK2
FN1|Fibronectin
FOXO3|FOXO3a
GAB2|GAB2
GSK3A GSK3B|GSK3-alpha-beta
ERBB2|HER2
ERBB3|HER3
ERBB3|HER3_pY1298
HSPA1A|HSP70
IGFBP2|IGFBP2
INPP4B|INPP4B
IRS1|IRS1
XRCC5|Ku80
LCK|Lck
STK11|LKB1
MAP2K1|MEK1_pS217_S221
ERRFI1|MIG-6
MRE11A|Mre11
MTOR|mTOR
MTOR|mTOR_pS2448
NFKB1|NF-kB-p65_pS536
NF2|NF2
CDH3|P-Cadherin
CDKN1B|p27
CDKN1B|p27_pT157
MAPK14|p38_MAPK
MAPK14|p38_pT180_Y182
TP53|p53
RPS6KB1|p70S6K_pT389
RPS6KA1|p90RSK_pT359_S363
SERPINE1|PAI-1
PEA15|PEA15
PIK3CA |PI3K-p110-alpha
PRKCA |PKC-alpha
PRKCA |PKC-alpha_pS657
PTEN|PTEN
RAD50|Rad50
RAD51|Rad51
RB1|Rb_pS807_S811
RPS6|S6_pS240_S244
SHC1|Shc_pY317
SMAD3|Smad3
SMAD4|Smad4
SRC|Src
SRC|Src_pY416
STAT5A|STAT5-alpha
STMN1|Stathmin
XRCC1|XRCC1
YAP1|YAP
YAP1|YAP_pS127
YBX1|YB-1
YBX1|YB-1_pS102
ANXA7|Annexin_VII
BRAF|B-Raf
BRCA2|BRCA2
CCNE2|Cyclin_E2
FASN|FASN
FOXM1|FoxM1
G6PD|G6PD
GAPDH|GAPDH
NRG1|Heregulin
MYH11|MYH11
NDRG1|NDRG1_pT346
CDKN1A|p21
CDKN1B|p27_pT198
RPS6KA1|p90RSK
PIK3R1 PIK3R2|PI3K-p85
PRDX1|PRDX1
RAB11A RAB11B|Rab11
RAB25|Rab25
RICTOR|Rictor
SCD1|SCD1
WWTR1|TAZ
TGM2|Transglutaminase
TFRC|TFRC
TSC1|TSC1
VHL|VHL
XBP1|XBP1
YWHAB|14-3-3_beta
YWHAZ|14-3-3_zeta
PREX1|PREX1
ERCC1|ERCC1
MSH2|MSH2
MSH6|MSH6
DIABLO|Smac
