ACP6
BCL9
GJA5
HFE2
HIST2H2AB
HIST2H2AC
HIST2H2BA
HIST2H2BC
HIST2H3A
LINC00624
LINC01138
LOC102723769
MIR6736
NBPF10
NBPF12
NBPF14
NBPF9
PFN1P2
PRKAB2
RP6-206I17.2
SRGAP2-AS1
SV2A
VPS45
S100A10
LAMTOR2
FCRL5
USP21
B4GALT3
ADAMTS4
NOS1AP
DPT
NME7
SCARNA3
CEP350
SNRPE
PPP1R15B
MDM4
FAM72A
CAMK1G
LAMB3
MIR4260
G0S2
HSD11B1
PPP2R5A
SNORA16B
TMEM206
NENF
GCSAML
OR2G2
PHACTR1
CDKAL1
DAAM2
MOCS1
LINC00951
UBR2
OSTM1
FYN
LAMA4
HSF2
SERINC1
LINC00271
FBXO25
OR4F21
DLGAP2-AS1
MYOM2
MIR7160
FBXO16
DUSP4
LINC00589
SMIM18
NRG1-IT3
DUSP26
UNC5D
LOC728024
ASH2L
C8orf86
ADAM3A
LOC100130964
ADAM18
ADAM2
ZMAT4
GINS4
NKX6-3
MIR486-2
MIR486
CHRNB3
TMEM68
PLAG1
IMPAD1
LINC01606
C8orf34-AS1
VPS13B
GRHL2
TRPS1
COLEC10
DEPTOR
MIR1204
LINC00977
ST3GAL1
TTC39B
FAM208B
MIR5694
NSMCE4A
QSER1
HIPK3
EHF
APIP
MIR1343
CD44
SPTBN2
RHOD
CABP2
ALDH3B1
MIR4691
CPT1A
MYEOV
PPFIA1
SHANK2
NADSYN1
ALG1L9P
FAM86C1
RP11-849H4.4
MIR3165
LAMTOR1
FAM168A
SLCO2B1
GUCY2EP
TSKU
B3GNT6
FAM181B
DLG2
FAM138D
IQSEC3
RP11-598F7.4
SLC6A12
ST8SIA1
CASC1
RP11-996F15.2
SNORA70G
ZFC3H1
THAP2
TMEM19
RAB21
EGLN3
SPTSSA
MIPOL1
MIR1469
TRAP1
CREBBP
C16orf72
USP7
CPPED1
SNX29P2
MYLK3
NETO2
LOC100507577
SIAH1
CNEP1R1
EPN2
ULK2
CCDC144NL
MIR4522
TBC1D3P5
NLK
KRT18P55
CRYBA1
GOSR1
TBC1D29
ATAD5
ARGFXP2
MYO1D
ASIC2
LIG3
SLFN11
SLFN12
GGNBP2
TBC1D3H
MIR2909
MIR378J
GPR179
LINC00672
FBXO47
PGAP3
GRB7
IKZF3
ZPBP2
MSL1
WIPF2
CDC6
KRT24
WNT3
TBKBP1
TBX21
SKAP1
LOC101927166
B4GALNT2
XYLT2
EME1
SPAG9
NME1-NME2
NME1
C17orf112
KIF2B
MMD
MRPS23
TBC1D3P1-DHX40P1
BCAS3
TBX2
TBX4
KPNA2
SSTR2
RECQL5
WBP2
TRIM47
METTL23
MFSD11
SEPT9
MIR4316
TMC8
DNAH17
CBX4
LINC01979
LINC01978
DCXR
CCDC57
B3GNTL1
RPL23AP87
METRNL
PLEKHF1
DKFZp566F0947
NFKBIB
FCGBP
PSMC4
MACROD2
KIF16B
SCAND1
LINC01734
BCAS4
ZFP64
PFDN4
LINC01441
LINC01440
FAM210B
PHACTR3
LINC01718
LAMA5-AS1
hsa-mir-548a-2
hsa-mir-548d-1
hsa-mir-1261
hsa-mir-3172
