0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.892,0.892,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,0.277,0.277,0.277,0.277,0.277,0.277,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,1.03,1.03,1.03,1.03,1.03,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,-0.516,0.457,-0.517,0.463,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,0.816,-0.457,-0.457,-0.457,-0.487,-0.487,-0.551,0.877,0.929,-0.456,-0.456,-0.456,-0.456,-0.456,-0.456,0.839,3.66,3.66,3.66,3.66,-0.501,-0.501,1.37,1.37,1.37,1.37,-0.495,1.18,-0.528,3.66,3.66,3.66,3.66,3.66,0.048,0.048,0.052,-0.053,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,-0.541,-0.541,-0.541,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.493,0.423,3.66,1.4,1.4,1.84,0.513,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.523,0.523,0.523,0.41,0.417,0.417,0.417,0.417,0.384,0.384,0.384,3.12,1.7,2.79,1.81,3.66,3.66,2.13,3.48,3.66,3.66,0.277,1.05,-0.501,0.048
0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.31,0.31,0.601,0.666,-0.101,-0.101,-0.101,-0.101,-0.331,-0.331,-0.331,-0.331,-0.331,0.533,-0.939,-0.939,-0.939,-0.939,-0.939,-0.92,-0.92,-0.92,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,0.33,0.33,0.33,0.33,0.174,0.071,0.071,0.558,0.558,0.558,0.653,0.653,0.653,0.772,0.425,-0.298,-0.298,0.968,0.968,0.273,0.273,0.273,0.273,-0.095,-0.095,-0.095,-0.095,-0.095,-0.095,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,-0.477,-0.477,-0.477,-0.477,-0.477,-0.477,-0.355,-0.355,-0.355,-0.355,1.13,1.13,1.13,-0.487,-0.487,-0.487,-0.487,-0.487,-0.485,-0.485,-0.485,0.112,-0.073,-0.073,-0.073,-0.073,-0.073,0.285,0.285,0.285,0.285,0.285,0.285,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,1.7,0.986,0.986,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0.527,0.527,0.527,0.527,0.527,0.286,0.286,-0.473,-0.473,-0.471,-0.471,-0.471,0.334,0.334,0.334,0.334,0.334,0.334,0.533,0.672,-0.471,0.259
1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,0.789,0.789,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,1.61,1.61,0.548,0.548,0.514,0.514,0.514,0.514,-0.337,-0.337,-0.337,-0.337,-0.337,-0.334,-0.452,-0.452,-0.452,-0.452,-0.452,-0.452,-0.452,-0.452,-0.452,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.423,0.423,0.423,0.423,0.423,-0.036,-0.036,-0.036,-0.036,-0.429,1.59,1.59,1.79,1.79,1.79,1.91,1.91,2.62,1.11,0.41,-0.43,-0.43,-0.394,-0.394,-0.394,-0.394,-0.394,-0.394,0.271,0.271,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,1.84,1.84,1.84,1.84,0.552,0.552,0.552,0.294,0.294,0.294,0.294,0.294,-0.385,-0.385,-0.385,0.274,-0.304,-0.304,-0.418,-0.418,0.47,0.314,0.314,0.314,0.314,0.314,0.314,-0.412,-0.412,-0.412,-0.412,-0.412,-0.412,-0.412,-0.389,-0.389,-0.389,-0.389,-0.389,-0.389,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.367,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,1.06,-0.17,-0.17,-0.17,0.525,0.525,0.073,0.073,0.073,-0.448,-0.448,0.486,0.0,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,-0.334,1.79,0.262,-0.385
1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,2.39,2.39,2.45,2.45,2.45,2.45,0.506,0.506,0.506,0.506,0.492,0.492,0.492,0.492,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,-0.071,-0.071,0.247,0.257,0.221,0.221,0.221,0.266,0.539,0.506,0.506,0.518,0.518,0.533,0.279,0.279,0.279,0.279,0.279,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.594,0.594,0.547,0.547,0.623,0.623,0.623,0.722,0.722,0.722,1.34,0.886,0.886,0.507,1.21,0.341,0.341,0.126,0.126,0.126,0.126,0.126,0.126,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.335,-0.052,-0.052,-0.052,-0.052,0.0,0.0,0.0,0.371,0.371,0.371,0.371,0.371,-0.096,-0.096,-0.096,-0.113,0.315,0.315,0.283,0.283,0.283,-0.206,-0.206,-0.206,-0.206,-0.206,-0.206,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,-0.271,0.17,0.17,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,3.66,0.017,0.017,0.017,0.017,0.492,0.492,0.492,0.52,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.533,0.722,-0.335,-0.096
-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,-0.014,-0.014,-0.014,-0.014,-0.014,-0.47,-0.452,-0.452,-0.452,-0.465,-0.452,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.843,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.007,0.008,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,0.0,0.0,0.0,0.026,0.883,0.883,0.883,0.883,0.883,0.828,-0.44,-0.44,-0.44,-0.44,-0.44,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.035,0.035,0.035,0.035,0.035,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,-0.47,0.841,0.0,0.0
1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,2.02,-0.009,-0.003,-0.003,-0.003,-0.003,0.013,0.013,0.013,0.013,0.013,0.013,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,1.06,1.06,0.338,1.72,1.72,1.67,0.324,0.332,-0.002,-0.008,0.005,0.005,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,-0.231,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.354,0.354,0.354,0.354,0.354,-0.023,-0.023,-0.023,-0.362,1.01,1.01,1.01,1.01,1.01,1.01,0.37,0.37,0.37,0.37,0.37,1.22,1.22,0.822,1.02,1.02,1.02,1.02,1.02,1.88,1.88,1.88,-0.401,0.344,1.76,1.76,1.76,1.76,1.76,1.76,1.76,-0.36,0.784,0.527,0.527,3.66,3.66,3.66,3.66,0.597,0.597,0.597,0.597,3.66,-0.264,-0.264,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,1.66,0.338,0.374,1.7,-1.16,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,-0.005,-0.005,-0.005,-0.005,-0.005,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.013,1.72,-0.231,-0.023
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,1.51,1.85,-0.204,0.997,0.997,0.997,0.997,-0.157,-0.157,0.7,0.392,0.817,1.78,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,1.86,1.86,1.09,0.929,-0.057,-0.057,0.0,0.0,-0.007,-0.007,-0.007,-0.007,-0.007,0.04,-1.04,-1.04,-1.04,-1.04,-1.04,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.969,0.969,0.969,0.969,1.35,0.863,0.863,0.46,0.46,0.46,2.82,0.841,0.841,1.5,0.241,-0.27,-0.283,-0.275,-0.275,1.95,1.06,1.06,0.254,-0.311,-0.311,-0.311,0.29,0.29,-0.306,0.304,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.88,0.88,0.88,0.88,0.88,-0.174,-0.174,1.48,1.48,1.48,1.48,0.349,0.349,0.424,0.359,0.359,0.359,0.359,0.359,-0.224,-0.224,-0.224,0.26,-0.323,-0.323,-0.323,-0.323,-0.328,-0.304,-0.304,-0.304,-0.304,-0.304,-0.325,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-0.288,-1.29,-1.29,-1.29,-0.258,-0.258,-0.258,-0.258,-0.258,-0.258,-0.258,-0.258,-0.258,-0.258,0.941,-0.293,-0.293,-0.293,-0.293,-0.293,-0.293,-0.293,-0.293,0.083,0.083,0.166,0.166,0.166,1.38,1.38,1.38,1.38,1.38,1.38,1.51,1.51,1.51,1.3,1.3,1.24,1.24,0.04,0.46,1.05,-0.224
-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,-0.314,1.51,1.51,1.4,1.4,0.911,1.35,1.35,0.431,0.431,0.431,0.431,0.431,0.431,-0.503,0.165,0.27,0.27,0.358,0.358,0.358,0.358,0.358,0.358,-0.087,-0.364,-0.364,-0.364,-0.364,2.62,2.62,1.17,0.91,0.91,0.91,0.91,0.91,0.91,0.91,2.39,2.39,2.39,2.39,3.63,1.84,1.94,0.02,0.02,0.02,0.02,0.002,0.002,0.002,-0.007,-0.007,-0.007,-0.007,-0.007,-0.362,-0.362,-0.362,-0.337,0.136,0.136,0.136,0.136,0.136,-0.168,-0.168,-0.168,-0.168,-0.168,-0.168,-0.195,-0.195,-0.195,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.522,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.204,-0.204,-0.204,-0.204,-0.204,-0.204,-0.204,-0.204,-0.204,-0.204,-0.204,-0.204,0.527,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.137,0.137,0.137,0.137,0.137,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.201,0.431,-0.495,-0.362
-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.004,0.004,0.001,0.001,0.001,0.001,0.001,0.001,-0.004,-0.004,-0.004,-0.002,-0.002,-0.002,-0.451,-0.451,-0.451,-0.451,-0.451,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,2.15,2.15,0.415,0.016,0.016,0.016,0.47,-0.419,0.02,0.02,0.02,0.02,0.47,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.012,0.008,0.005,0.469,0.469,0.009,0.009,0.009,0.009,0.009,0.009,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.885,0.885,0.885,0.885,0.885,0.885,0.885,2.36,2.36,1.44,1.44,0.8,1.59,-0.439,-0.439,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.444,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.002,0.002,0.002,0.002,0.002,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,-0.002,-0.002,-0.439,0.003
0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.687,0.67,0.67,0.67,0.67,0.67,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.681,0.681,0.278,0.278,0.278,0.278,0.365,0.365,0.365,0.365,0.365,0.368,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,-0.272,-0.02,0.005,0.005,0.358,0.358,0.358,-0.388,-0.388,-0.388,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.312,0.312,0.312,0.312,0.312,0.312,0.312,-0.024,-0.024,-0.024,-0.024,-0.024,-0.372,-0.372,-0.372,-0.368,1.02,1.02,1.02,1.02,0.398,0.769,-0.353,-0.353,-0.353,-0.353,-0.353,-0.377,0.946,3.66,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,-0.384,3.66,3.66,3.66,-0.053,-0.045,-0.045,-0.045,-0.045,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.055,-0.055,0.01,0.01,0.01,0.361,0.361,0.013,-0.024,-0.024,-0.024,-0.024,-0.024,-0.011,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.119,-0.119,-0.119,-0.119,-0.119,0.166,0.166,0.166,0.166,0.166,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.368,0.734,0.346,-0.373
