NOXO1
PMEPA1
Unnamed: 485
RBM9
IL1A
PCDHGB3;PCDHGB2;PCDHGB1;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA8;PCDHGA9;PCDHGC4;PCDHGC5;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5;PCDHGC3
CYFIP2
ZNF710
C19orf59
PHTF1
KREMEN1
GIMAP7
ACE
RHOJ
ASPA
SEMG2
EPN3;MYCBPAP
KCNE3
CCDC65
TFF1
SECTM1
SPON1
S100A9
KCNA6
NEUROG3
ZFP37
A2ML1
DNAH5
CHI3L1
SLC2A5
GRB7
LDHD
TMCO5A
CD96
LCP1
MYLK
LYL1
KCNQ1DN.1
C14orf49
GRM7.1
FLJ45983.1
SLC5A8
AATK
HIPK3
PRKCDBP
PCSK2
MAGI2
ALKBH7
GZMA
GABRQ
SOSTDC1
HOXA13
HNF1A
LRRC37B2
DLK1
NPSR1
FBXO44;FBXO2
SPAG6
ACSF2;CHAD.1
CCDC68
NDUFS5
TAC1
LY6D.1
TDRD9
CHGB
NUDT12.1
PDGFD
RASSF1.4
MEST.1
ACOT8;ZSWIM3
NTNG2
DDX43
G0S2
NAT8L
CD9
EPO
SPATA18.1
DSE
CCHCR1;TCF19
GTF3C5
RFTN2
HOXB2
ACVR1
HPR
A4GALT.1
SFRP5.3
SERPINA6.1
TCERG1L.1
RIPK3
SLC36A2
BNC1.1
C4orf26
IFLTD1
GPR77
PCDH8
SLC15A2
WISP3
LRRC7
PHACTR2
RNASE6
BPIL1
SEMA5A.1
FTMT
COL4A6;COL4A5
BNIPL
PCDHGA8;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGB3;PCDHGB2;PCDHGB1;PCDHGA9;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5
SLC13A2
Unnamed: 9544
PLXNB1.1
REM1
TTC15
MMP26
THY1
SKAP1.1
CDH12;PMCHL1
ZNF572
PTPN18
FAM65B
SLITRK4.1
COL11A1
PDZK1.1
C2orf47;C2orf60.1
ANPEP
SNRNP200.1
SYNM.1
MYOZ3
DLX5.12
MGC29506
Unnamed: 11098
NFYC;NFYC-AS1.1
PCDHGA10;PCDHGA8;PCDHGB3;PCDHGB2;PCDHGB1;PCDHGA9;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5
TNFRSF10C.2
KRBA2
MYO16
UNC80
HTR3D
TOB1.1
LBR.1
TMEM215.1
Unnamed: 12072
NTSR1.1
LAMA3
CLDN14.1
ZEB2.1
LVRN
HOXD8
TFAP2C
NAPRT1
HOXC5;HOXC4.1
WT1.9
ENOSF1
SLC5A7
MRGPRX4.1
MME
ZNF264.2
ADCY4.1
HOXB6;LOC404266
NKX2-2
PCDHGB3;PCDHGB2;PCDHGB1;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA8;PCDHGA9;PCDHGC4;PCDHGC5;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5;PCDHGC3.1
FGF2
HOXB1.1
CYP7B1.1
STAC2
MGMT.12
KLK3
L3MBTL4.1
MTNR1B.1
ULBP3
RBBP4
HACL1;BTD
RAC2.1
TNS1
CA3
CXCR7
TNS1.1
SNX32
FOXS1
CTHRC1
ACCN4.1
HLA-DRA
IPCEF1
UMODL1;C21orf128
PYGO1
GPR55.1
HAAO.1
ATXN8OS;KLHL1.1
CYFIP2.1
HPSE2.1
CPT1C;C19orf76
SERPINB5.4
NTM.2
FLJ34503.1
TMEM71
Unnamed: 17480
CHN2.1
STXBP2
RASSF1.7
WDR69.1
TMEM105.1
SNRPN.2
C1orf88.1
GFAP.1
CLIP4.1
SLC13A1
DMP1.1
GHSR.1
SLC6A4.1
CXCL6
CCDC3.1
FOXD3.1
EPSTI1.1
BCMO1.1
SPATS1
FBLIM1
CAP2.1
SPERT.1
HOXD12.1
MKRN3.2
D4S234E.1
NEFM.1
DNAJA4.1
COX6A2.1
HIST1H2AG;HIST1H2BJ.1
CPVL.1
HNF4G
KLK10.8
THBD.1
SHANK1.1
C1QTNF7
TP73.6
IL17B.1
MIA
NAV1.1
ELAVL3.1
MMP7
ADAMTSL2.1
TFAP2B
HOXB2.1
HOXB8.1
TLX3.1
IRGC.1
COL11A1.1
PLEKHA4;HSD17B14
PCDHGB3;PCDHGB2;PCDHGB1;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5.1
MYO1H.1
ZNF662
CACNG4.1
ERP29;TMEM116.2
H19.9
DAB2IP.6
