ABCA11P
ABCC11
ACOXL
ALG1L
ALG5
ANO4
APEH
AQP10
ARID5A
ARSD
ASIP
BCAS1
BLCAP
BRMS1L
C14orf145
C14orf28
C14orf34
C15orf56
C1orf223
C1orf226
C1orf227
C1orf97
C1QTNF9
C21orf62
C21orf88
C22orf31
C22orf43
C2CD4A
C2orf40
C3orf20
C3orf74
C5orf40
C6orf141
C7orf13
C8orf75
C9orf106
C9orf170
C9orf84
CACNA1E
CADM2
CASK
CBWD6
CDCP2
CDH22
CDKAL1
CDKL2
CEACAM3
CEACAM5
CEACAM7
CES4
CLDN18
CLDN2
CNNM4
CRB1
CST2
CXorf48
CXXC5
CYP2B7P1
CYP3A7
DCX
DDX52
DEFB1
DHX32
DLEU1
DNMT3B
DPY19L2P2
DSG4
DUSP13
EEF1DP3
EIF4EBP3
EML5
EXOSC8
EYS
FABP7
FAM117A
FAM157A
FAM189A2
FANCM
FIGN
FOXD3
FOXI1
FSCN3
FZD9
G6PD
GABRG1
GAL3ST1
GALM
GCKR
GDF5
GINS3
GPR160
GPR31
GPR61
GRIN3A
GRK7
GSDMA
GSTP1
GTF2A1L
GTF2H2C
GYPE
HAMP
HCG4P6
HCN4
HES5
HESX1
HIST3H3
HSPA12A
HSPC159
HTR1B
HYMAI
IBSP
IFT20
IGF1R
IGLL3
IGSF5
KCMF1
KIF4B
KIR2DS4
KLK6
KRT5
KRT6B
KRTAP5-1
KRTCAP3
LAPTM4B
LASS4
LHX4
LILRA1
LILRA3
TMPO-AS1
LOC100131496
LOC100133893
DRAIC
LOC148709
LINC00294
H3P44
TPTE2P6
SCGB1B2P
LPPR5
LRP1B
LRRC1
LXN
MADCAM1
MANBAL
MAS1L
MAVS
MBOAT1
MMP25
MORN3
MRGPRE
MRPL10
MT1DP
MUC15
MXI1
NEFL
NFX1
NIPAL4
NUDT2
NUDT8
NXPH2
OR2A25
OR2L13
ORMDL2
PADI3
PAQR7
PARP2
PCDHA2
PCDHGA3
PCDHGA8
PCP4
PEX10
PFKP
PGAP3
PIK3C2G
PLCXD1
PMAIP1
PPFIA2
PPIL2
PPP1R14C
PTPRVP
PVT1
RASSF10
RASSF9
RERGL
RHBDL3
RNASE3
RNF133
RNF44
RNF5P1
RPL19P12
RPS26P11
RPS6KA6
RPUSD3
RRH
SCN2A
SEMA4G
SEPT3
SERPINE3
SH3BGRL
SHROOM2
SIGLEC12
SLC12A7
SLC28A3
SLC44A5
SLC5A1
SLC6A11
SLC6A3
SLC7A4
SMC1B
SNTN
SOSTDC1
SPACA5
SPAG5
SPINK8
SPOCK3
SRMS
ST7OT3
ST8SIA5
STAT5A
STON1-GTF2A1L
STOX2
SUMF2
SVIP
TAC4
TACC2
TAS2R13
TCAM1P
TDGF3
TDH
THRSP
TLX2
TM6SF2
TMEM195
TMEM215
TMEM97
TNNI3
TPBG
TPRXL
TRAPPC6B
TRDN
TSNAX-DISC1
TTC7B
UAP1L1
UBE2Z
UOX
USP17L2
WFIKKN2
WIT1
ZFP91-CNTF
ZNF878
ZSCAN5B
