Unnamed: 2
RNU12-2P
Unnamed: 21
ABCC2
ADAM21P1
ADCY3
AKR1B10
ALOX15
AMY1A
ANKRD30A
ANXA2P3
APOB
ARL13A
ARMC9
ASIP
ATRNL1
BMP5
BRMS1L
BRWD1
BSPRY
C10orf46
C15orf56
C17orf37
C17orf78
C1orf223
C1orf227
C20orf108
C20orf114
C21orf57
C21orf81
C21orf88
C22orf39
C2orf40
C2orf84
C3orf57
C4BPA
C6orf186
C9orf100
C9orf170
CAPN13
CBLC
CCDC6
CD302
CDC25B
CDCP2
CDH22
CDRT15P
CES4
CHDH
CHRNA6
CITED4
CLDN18
COL24A1
CPSF4L
CRBN
CST2
CTPS2
CYP4B1
DCX
DHX32
DNAH14
DNAH8
DPCR1
DPPA4
DSG4
EIF4H
ENDOU
ENPP1
ENPP7
EPHA10
EPHA6
EPS15L1
EPYC
FABP7
FADS1
FAM106C
FBXO16
FBXO43
FEM1A
FFAR2
FGFBP1
FKBP1AP1
LINC01002
GBAS
GCM1
GCSH
GDF5
GJA3
GLB1L3
GLS2
GPR115
GPR61
GRB7
GREM2
GRHL3
GRIN3B
GRK7
HAUS2
HCRTR1
HDGF
HERC2P4
HESX1
HINT2
HNF4G
HNRPDL
HTR1B
IFT20
IGF1R
IGSF5
IL13RA2
ITFG1
KCMF1
KCNJ13
KCNS1
KIAA0087
KIF4B
KPNA7
KRT32
KRT36
KRTCAP3
LAPTM4B
LCA5L
LCTL
LMOD3
LMX1B
FAM86JP
FHL1P1
LOC100240734
H3P44
LOC441666
BMS1P2
MIR924HG
MAB21L2
MAG
MAP1LC3A
MARCH10
MAS1L
MBOAT1
MMP25
MORN3
MRGPRE
MSMB
MTCP1
MUC15
MUC4
MYH4
MYO16
MYO18B
NAPG
NCRNA00235
NEDD4L
NEDD9
NEFL
NFYC
NGFRAP1
NLGN1
NMNAT3
NOL4
NUP43
NXF3
OBP2A
OR2A25
OR2L13
OR56B1
ORC4L
OSBPL5
PA2G4
PCDH20
PCP4
PCSK9
PCTP
PDZD9
PIK3C2G
PKLR
PMAIP1
PPM1N
PPP4R4
PRDXDD1P
PRO0628
QRFPR
RCOR2
RHD
RNASE3
RNF113A
RPL21P44
RPL41
RRAS2
SAPS3
SCARNA6
SCGB1D2
SCN2A
SEMA4G
SERPINE3
SH2D7
SHISA7
SIGLEC11
SLAMF9
SLC12A1
SLC18A2
SLC25A18
SLC25A4
SLC39A2
SLC44A5
SLC5A11
SLC6A11
SMARCC2
SMCR5
SMG5
SNX5
SPACA5
SPINK8
SPRED3
SRC
ST7OT3
ST7OT4
STARD3
STAT3
STON1-GTF2A1L
STXBP5L
TACR1
TCEAL8
TCF21
TDGF3
TDH
TEX19
TEX261
TGM3
TNNI3
TNNT1
TPI1P3
TRIM6-TRIM34
TRIM74
TSPAN3
UMOD
USH2A
VIPR1
WDR87
WFDC3
WFIKKN2
WNT9B
WSB2
XKR5
XPO7
YWHAB
ZCCHC12
ZDHHC15
ZNF174
ZNF324
ZNF618
ZNF878
