FAM72C
S100A11
S100A16
PPOX
PBX1
CDC73
NAV1
IPO9-AS1
RNPEP
MIR6740
SNRPE
AVPR1B
C1orf186
SRGAP2B
IL20
KCNK2
EPHX1
TSNAX-DISC1
TSNAX
DISC1
LINC00582
OR2G3
OR13G1
OR2L5
OR2M7
OR2W3
OR6F1
TRIM58
BEND3
ARMC2-AS1
REV3L
C8orf48
LINC00589
SMIM18
TEX15
NRG1-IT1
RNF122
DUSP26
UNC5D
KCNU1
ASH2L
LOC100130964
ADAM18
ADAM2
ZMAT4
SFRP1
CHRNB3
UBE2V2
TMEM68
LYN
PLAG1
LINC00968
SDCBP
C8orf34-AS1
SULF1
TRIQK
LOC100500773
MTDH
VPS13B
EMC2
TMEM74
ENY2
TRPS1
COLEC10
MAL2
KLHL38
PRNCR1
PVT1
MIR1208
LINC00977
COL22A1
GPR20
LINC00051
LINC01300
MIR4472-1
MROH5
PTP4A3
TSNARE1
FAM203A
MROH1
TONSL-AS1
ADCK5
BOP1
C8orf33
COMMD5
DGAT1
FBXL6
FOXH1
GPT
HSF1
KIFC2
LRRC14
LRRC24
MFSD3
MIR1234
MIR6848
MIR6849
MIR6850
MIR6893
MIR7112-2
MIR939
PPP1R16A
RECQL4
RPL8
SCXA
SCXB
SLC39A4
SLC52A2
TMED10P1
TMEM249
TONSL
VPS28
ZNF16
ZNF250
ZNF251
ZNF252P
ZNF34
ZNF517
ZNF7
ANK3
PPIF
HIPK3
SLC1A2
CTSF
RBM4B
RHOD
SUV420H1
LRP5
PPP6R3
MTL5
CPT1A
KRTAP5-9
ALG1L9P
FAM86C1
RELT
FAM168A
PLEKHB1
UVRAG
PRKRIR
GVQW3
GUCY2EP
KCTD14
FAM181B
C11orf82
ANKRD42
DLG2
CREBZF
RAD52
RNU6-19P
LINC02408
BEST3
RASA3
HN1L
TRAP1
ADCY9
SRL
PAM16
ITGAD
COX6A2
ZNF843
ARMC5
TGFB1I1
SLC5A2
C16orf58
CLUHP3
ANKRD26P1
MYLK3
NETO2
C16orf78
CNEP1R1
CHD9
FTO-IT1
SLC5A10
SLC47A1
ULK2
MIR4522
WSB1
ERAL1
EFCAB5
ATAD5
ARGFXP2
ASIC2
CCL23
GGNBP2
MIR2909
TADA2A
GPR179
SOCS7
FBXO47
ARL5C
NEUROD2
STARD3
IKZF3
ZPBP2
ORMDL3
MIR6884
SNORD124
THRA
CASC3
MIR6866
KRT24
WNT3
NPEPPS
TBX21
MIR1203
LINC02075
LINC02071
COX11
HLF
MMD
PCTP
RP11-118E18.2
RP11-118E18.4
CUEDC1
PPM1E
CLTC
TBC1D3P1-DHX40P1
BCAS3
BRIP1
KCNH6
CEP112
MIR634
C17orf58
KPNA2
KCNJ2
TSEN54
MFSD11
TMC8
TK1
AFMID
LINC01993
ENPP7
TBC1D16
FOXK2
PLEKHF1
URI1
PTPRT
SYS1
SYS1-DBNDD2
TP53TG5
ZNF335
ELMO2
CSE1L
ZNFX1
LINC01524
PFDN4
RBM38
LOC101928048
MIR4533
hsa-mir-1302-7
