MTM1
CRB1
PYY;NAGS
STEAP4
DOPEY2
PCDHGB3;PCDHGB2;PCDHGB1;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA8;PCDHGA9;PCDHGC4;PCDHGC5;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5;PCDHGC3
CYFIP2
DLX5.2
ZNF710
KCNJ8
OPRK1
GRIN2A
ZBTB7B
KREMEN1
DQX1
ACE
VNN1.1
C12orf34;MGC14436.1
CCDC65
TFF1
CCDC92
GGT1
C6orf62
B4GALT6
FAM24B
NKX2-5.1
FNDC7
FAM38B
DUSP15;TTLL9
ADIPOQ
GRB7
KLK1
LDHD
PRTFDC1
KRT5
SGCD.1
DST
EPDR1
GGT6
C14orf49
PRKCG
GRM7.1
CDH7
LY6H
DBNDD1
TFF3
SYDE1.1
MPO
SKAP1
FOXP2
AATK
SYT6
ZDHHC15
HIPK3
ARR3
PAX6
ALKBH7
TNFRSF19.1
LAIR1
SDPR
RHD
HOXA13
HNF1A
LRRC37B2
SLC7A11.1
FADS2
HOXD13
EFS
GDF5.1
HSD17B8
C17orf106;CDK3
LY6D.1
TDRD9
DKK1
SLC30A2.1
PCDHB12
MEST.1
NAT8;ALMS1P
NAT8L
TMEM139
BSN
TMEM100
PSMD11
SHROOM2
A4GALT.1
PLXNB1
BMPER
SMARCA1
FAM49A
SLC5A8.2
TCERG1L.1
GPR77
LRRC7
TCAP.1
SEMA5A.1
GLB1L2
ESR2
FTMT
DUSP22
CACNA1G.2
PDILT
AKT3
COL4A6;COL4A5
BNIPL
Unnamed: 9544
A2M
PLXNB1.1
CDH12;PMCHL1
MOGAT2
ZNF572
TRIM2
KRT6B
FAM65B
SLITRK4.1
COL11A1
PNMT.1
ANPEP
PPP1CA
C19orf56;MORG1.1
MYOZ3
CAPZB
NET1
MS4A1.1
FGFBP1.1
CHST8
PM20D1
NPSR1.1
NCOA4
TOB1.1
EPSTI1
GPR153
COL9A1
LBR.1
LAMA3
IL1RL2
KLK4
TMEM55A.1
KAZALD1.1
GPR77.1
ZEB2.1
UAP1L1.1
FCGRT.1
NAPRT1
TPM4
KAAG1;DCDC2.2
ZIM2.3
ZNF264.2
NRM
TBX19
GPR64
MS4A3
HOXB1.1
CYP7B1.1
HAVCR2
KLK3
ZFP37.1
LCLAT1.1
C8orf4
MAGED1.1
HACL1;BTD
IL32
PTPRN2.1
CA3
SCNN1A
FOXE3
SNX32
ACCN4.1
SCUBE2.1
SOX10
LILRA2
UMODL1;C21orf128
CYBA
FABP5
HOXC12.1
DDO
KRT72.1
S1PR1.1
ATXN8OS;KLHL1.1
MAGI2.1
CYFIP2.1
TRPC4
GLRA3
CCL2.1
MBTPS2
NT5C1A.1
RGS7
MCHR1.1
F10
CHN2.1
BCAN
ADRA2B.1
HOXD10.1
C13orf28
ZNF154.1
RBPJL;MATN4.1
GFAP.1
CLIP4.1
POU3F2.1
DMP1.1
ADRA1A.1
SLC6A4.1
CCDC3.1
ANXA4.1
IL1RL2.1
EPSTI1.1
C2orf53.1
FBLIM1
CAP2.1
CEACAM19
MKRN3.2
D4S234E.1
SOCS2.11
COL6A2
TGFB1I1.1
CD320.1
ZNF572.1
ARL14
LMAN1L.1
KLK10.8
SEMA3B.8
C1QTNF1.1
GRIN2A.1
CASP8.1
MIA
DNAH9
C10orf11.1
CAPZA3;PLCZ1.1
TLX3
C21orf57;MCM3AP.1
HOXB2.1
TRAM1.1
NTNG1.1
ELK4.1
COL11A1.1
PLEKHA4;HSD17B14
PCDHGB3;PCDHGB2;PCDHGB1;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5.1
MYO1H.1
TMEM176A;TMEM176B.3
ZNF662
KCNA1.1
SHD.1
ERP29;TMEM116.2
CCL8.1
CYP4F3.1
CNTN1.1
ZNHIT6.1
SOCS3.1
EPDR1.1
DAB2IP.6
A2ML1.1
