ACVR2A
AKT1
APC
ARID1A
ARID2
AR
ATM
BAP1
BRAF
BRCA1
BRCA2
CASP3
CCND1
CDH1
CDK12
CDKN1A
CTNNB1
CUL3
EGFR
ERBB2
ERBB3
ERG
ESR1
ETV1
ETV4
FAT1
FBXW7
FGFR1
FLCN
FLI1
FOXA1
GATA3
HRAS
IDH1
KDM5C
KDM6A
KEAP1
KRAS
MAP2K1
MAP3K1
MDM2
MED12
MET
MLH1
MSH2
MSH6
MTOR
MYC
NCOR1
NCOR2
NF2
NFE2L2
NRAS
PBRM1
PGR
PIK3CA
PIK3R1
PMS2
POLE
PTEN
RB1
RHEB
SETD2
SF3B1
SMAD2
SMAD4
SMARCB1
SOX9
SPOP
STAG2
TCF7L2
TGFBR1
TGFBR2
TP53
TSC1
TSC2
VHL
ZMYM3
ZNF703
