PADI2
TCEA3
ASAP3
E2F2
LOC101928163
ID3
MDS2
RPL11
TCEB3
ELOA-AS1
HMGCL
LYPLA2
PIGV
ZDHHC18
AGBL4-IT1
SV2A
RNU6-72P
PRG4
TPR
C1orf27
OCLM
FLVCR1
VASH2
ANGEL2
ARL8B
GRM7-AS3
LOC101928135
LTF
RTP3
LRRC2
KIF9-AS1
KIF9
KLHL18
PTPN23
SCAP
ELP6
CSPG5
SMARCC1
CCDC51
TMA7
SHISA5
PFKFB4
MIR6823
COL7A1
MIR711
TMEM89
SLC26A6
TUSC7
NAALADL2
C4orf48
NAT8L
POLN
KCNIP4
CORIN
NFXL1
CNGA1
NIPAL1
NOA1
POLR2B
IGFBP7
CCSER1
PABPC4L
NDUFS4
IL31RA
PDE4D
RNF180
GPR98
ANKRD32
KCNN2
TRIM36
GMDS
LY86
GLO1
KCNK5
KCNK17
KCNK16
KIF6
TSG1
NT5DC1
DCBLD1
QKI
GLCCI1
ABCA13
CACNA2D1
BCAP29
IMMP2L
EXOC4
DEFB135
DLC1
SGCZ
MIR383
ANK1
CYP7B1
PDE7A
CCAT1
CCAT2
POU5F1B
MIR1208
ZFAT-AS1
RP11-406A20.1
MIR4290HG
MIR4290
NSUN6
ARL5B
PCDH15
C10orf107
JMJD1C
C10orf11
KLLN
SFRP5
LINC00866
CRTAC1
MGMT
EBF3
IGF2
INS-IGF2
MIR483
IGF2-AS
INS
MIR4686
TH
ADM
CAND1.11
AMPD3
MIR4485
RNF141
TUT1
MTA2
B3GAT3
GANAB
MRGPRD
MRGPRF
TPCN2
RP11-554A11.8
PTPRO
SLC15A5
ITPR2
DENND5B
AMN1
H3F3C
ANKS1B
FAM71C
KSR2
SGCG
LINC00347
ING1
LINC00346
ANKRD10
MYH7
FBXO33
UBE3A
SMAD3
RBFOX1
ABAT
MIR548AE2
LONP2
LOC100507577
SIAH1
NPAP1L
TANGO6
SMG1P7
AARS
EXOSC6
WWOX
CDH13
MIR3182
GSE1
SNF8
GIP
IGF2BP1
ANKFN1
MSI2
C18orf56
RP11-789C17.3
ASXL3
LINC00907
LINC01630
DCC
SNORA37
LINC01924
MATK
OR7A5
OR7A10
RPSAP58
SIPA1L3
TTC9B
CNTD2
PCAT19
POU2F2
MIR4323
MEGF8
CNFN
LIPE
CXCL17
ZNF225-AS1
ZNF225
ZNF234
ZNF226
ZNF227
ZNF233
C20orf96
DEFB129
NRSN2-AS1
TBC1D20
ZCCHC3
CSNK2A1
TCF15
LOC100289473
CASC20
FRG1B
MLLT10P1
DLGAP4
ZNF217-AS1
ZNF217
LINC01441
LINC01440
C20orf166-AS1
C20orf166
MIR1-1
MIR133A2
SLCO4A1-AS1
YTHDF1
PPDPF
PTK6
LINC00317
LINC01425
LINC01700
PHF5A
CSDC2
PMM1
XRCC6
C22orf46
PRR5
CLCN4
CLDN34
WWC3
CASK
TGIF2LX
BRDTP1
hsa-mir-3164
hsa-mir-548m
