AADAT
ABCG2
ACADSB
ACO1
ACO2
ACOXL
ADIPOR2
AEN
ALDH1A2
ALOXE3
ALS2CR12
AMY1A
APOH
ARHGDIG
ARNTL2
ASMT
ASTN2
ATG9B
ATP5A1
AXIN2
AZU1
B3GALNT1
B3GNT4
BAX
C18orf10
C18orf18
C18orf22
C18orf45
C20orf11
C20orf202
C20orf46
C22orf31
C2orf50
C5orf38
C5orf52
C6orf114
C6orf41
C8orf85
C9orf50
CACNA2D2
CACNG4
CALB1
CALCA
CATSPER3
CBX2
CCDC109A
CDHR3
CDKN2A
CES3
CHGA
CKMT2
CLDN20
COLEC10
COX10
CPPED1
CSF3
CYB5D1
CYP4F11
DDIT4L
DEFA5
DEFA6
DEFB1
DMRTA1
DNAJC18
DNALI1
DOCK5
DPCR1
DQX1
DUSP9
EDA2R
EEF1DP3
EFCAB2
EGR4
EIF2B1
ELF5
EN2
EPM2AIP1
ESM1
FADS2
FAM151B
FAM174B
FAM22F
FAM22G
FAM84B
FAM92B
FANCA
FBN2
FBXW10
FN3KRP
FOXL1
FRK
GALNTL4
GAS2L1
GGTLC1
GNG13
GNG4
GPR152
GPR153
GPR64
GRAPL
GRHL2
GRM1
GZMA
HAVCR1
HBD
HDHD2
HHLA3
HLA-DOB
HOXC11
HS6ST2
HYLS1
IGFBP1
IGFL2
IGFL4
IL17B
ING1
INHBC
INHBE
IQCF1
IRX2
ISL1
ISM2
ITGAD
IVD
JAG1
KCNJ1
KCNMB4
KDM5A
KIAA1683
KIF19
KLF7
KLK4
KLRK1
KRT13
KRTAP5-1
KY
LAMB4
LAMP1
LCN15
LINGO4
HAVCR1P1
SNRPGP15
LOC100130987
FAM83A-AS1
SLC25A48
LINC01089
LINC00667
LOC730668
LRRC36
LSM14B
LYG1
LYPD5
MAFF
MAPRE3
MBD6
MDS2
MEGF8
MESP2
MFI2
MIXL1
MRPL36
MSH4
MSTO2P
MT1A
NCRNA00202
NECAB2
NME5
NOL9
NPB
NPHS1
NR2E3
NRSN2
NWD1
OCLN
OCM
ORAOV1
PADI4
PAMR1
PDE8B
PF4
PGM3
PHGDH
PIGT
PIGV
PLEKHA8
POLR2J2
POLR3D
POM121L10P
PPP4R1L
PRDM4
PSD2
PTK6
PTTG2
RAC3
RAD52
REPIN1
RETNLB
REXO2
RFPL4A
RNF113A
RNF130
RNF160
RORB
RPL13P5
RSPH10B2
SCML1
SEC31A
SESN2
SHC1
SLC12A5
SLC16A14
SLC25A3
SLC38A6
SLC45A2
SLCO4A1
SMTNL1
SNTB1
SOX4
SPDYA
SPERT
SPIB
TAL2
TBX20
TCF7
TFPI2
TGFB2
THBS4
THNSL2
TMCO4
TMEM61
TPPP
TRIM50
TRIM63
TRIM68
TRPV6
TSKS
TTC39C
TUBA8
TUBBP5
TYMS
UBL7
UGT1A10
USP49
VIPR2
VSTM2L
VWDE
WIF1
WNT11
ZNF513
ZNF815
