CAV1|Caveolin-1
CHEK1|Chk1_pS345
CHEK2|Chk2
CHEK2|Chk2_pT68
CLDN7|Claudin-7
COL6A1|Collagen_VI
CCNB1|Cyclin_B1
CCNE1|Cyclin_E1
DVL3|Dvl3
EEF2|eEF2
EEF2K|eEF2K
EGFR|EGFR
ESR1|ER-alpha
ESR1|ER-alpha_pS118
MAPK1|ERK2
FN1|Fibronectin
GSK3A GSK3B|GSK3-alpha-beta
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9
ERBB3|HER3
IGFBP2|IGFBP2
INPP4B|INPP4B
MAPK8|JNK_pT183_Y185
LCK|Lck
STK11|LKB1
MAP2K1|MEK1
MAP2K1|MEK1_pS217_S221
ERRFI1|MIG-6
MRE11A|Mre11
MTOR|mTOR
MTOR|mTOR_pS2448
NFKB1|NF-kB-p65_pS536
NF2|NF2
CDH3|P-Cadherin
CDKN1B|p27_pT157
MAPK14|p38_MAPK
MAPK14|p38_pT180_Y182
TP53|p53
RPS6KB1|p70S6K
RPS6KB1|p70S6K_pT389
RPS6KA1|p90RSK_pT359_S363
PCNA|PCNA
PDK1|PDK1_pS241
PEA15|PEA15
PRKCA |PKC-alpha
PRKCA |PKC-alpha_pS657
AKT1S1|PRAS40_pT246
PTEN|PTEN
RAD50|Rad50
RAD51|Rad51
RB1|Rb_pS807_S811
RPS6|S6_pS240_S244
SHC1|Shc_pY317
SMAD3|Smad3
SMAD4|Smad4
SRC|Src
SRC|Src_pY416
STAT3|STAT3_pY705
STAT5A|STAT5-alpha
STMN1|Stathmin
KDR|VEGFR2
XRCC1|XRCC1
YAP1|YAP
YAP1|YAP_pS127
YBX1|YB-1
YBX1|YB-1_pS102
ARAF|A-Raf_pS299
ANXA7|Annexin_VII
BAD|Bad_pS112
BRCA2|BRCA2
CCNE2|Cyclin_E2
FASN|FASN
G6PD|G6PD
GAPDH|GAPDH
NRG1|Heregulin
NRAS|N-Ras
NDRG1|NDRG1_pT346
CDKN1A|p21
CDKN1B|p27_pT198
RPS6KA1|p90RSK
PDCD4|PDCD4
PIK3R1 PIK3R2|PI3K-p85
PRKCB|PKC-pan_BetaII_pS660
PRDX1|PRDX1
RAB11A RAB11B|Rab11
RAB25|Rab25
RBM15|RBM15
RICTOR|Rictor_pT1135
SCD1|SCD1
WWTR1|TAZ
TIGAR|TIGAR
TFRC|TFRC
TSC1|TSC1
VHL|VHL
TUBA1B|Acetyl-a-Tubulin-Lys40
YWHAB|14-3-3_beta
YWHAZ|14-3-3_zeta
DIRAS3|DIRAS3
PREX1|PREX1
MSH2|MSH2
MSH6|MSH6
DIABLO|Smac
