STC1
KHDRBS1
LIMS1
NMNAT2
TMEM147;GAPDHS
DOCK6;LOC55908
YBX2
PIGZ
APBA2
C20orf141;LOC100288797
TP53AIP1
IL12A
LIPH
PRNP
CD5L
BAI2
CTSZ.1
Unnamed: 1515
ZDHHC7
ABTB2
ADSSL1
GSTA3
EXOC7
MED30
CCDC110
SNX19
CCDC92
CADM1
DCAF4
MSX1.1
C9orf9;C9orf98
INHBC
ZFP37
HRASLS2.1
RER1;MORN1
NTSR1
CXCR4
C11orf63
ACCN3
THEM4
RGS10
T-SP1.1
SUSD1
RENBP
ETV7
C10orf10;RASSF4
ALX4.2
SOCS2.1
ZFP3
PDZD7;SFXN3
MCCC1
RWDD2B
NOG
CDC42EP3
ATP6V0C
UBE3A.1
HIST1H3H
NFATC1
MYH10.1
PSMD1;HTR2B
HEPACAM
ZMYND12;PPCS
ALDOC
LDHB.1
H3F3B
THOP1
C16orf48;C16orf86
SRRM2;LOC100128788
MPPED2
FBXO6
H1F0
PIGT
PON1
CDCA3
ZNF91
C8orf31
ALDH1L1
TRIP12
KIAA0802.1
TIGD2
CHST15
ZNF600
LHFP
KCNK17
SLC30A9
GPKOW
RALGPS1
DSG3
HIST1H4E
C11orf17;ST5.1
PRTFDC1.1
MAP3K7IP2.1
ASGR1.1
C19orf63;GARIN5A
MPO.1
RNF128
GRIN2C.1
TSGA10;LIPT1
ZNF704
COL27A1
RXRB;COL11A2
ACOT11
KCTD1
MAP4K2;MEN1
C20orf151.1
PLTP
KCNJ5
XKR6.1
Unnamed: 9628
NAA50
ELAC1
TBC1D10B
IL34.1
LARGE.1
PDE6H.1
GPR31
CD160.1
MRGPRX2
C1GALT1
PLXDC2.1
KAL1.1
SDR16C5
PHLDA3
ZDHHC16;EXOSC1
IL12A.1
HCP5.1
EPM2AIP1;MLH1.3
TBX20.1
SNORD116-1.2
MAF.1
DAB2IP.3
FAM125A.1
KCNK1.1
EIF2S2
ADAMTS4;NDUFS2.1
CLDND2.1
POLR3K.1
TNFRSF18.1
AXL.1
CASP3;CCDC111.1
SETMAR.1
ZNF512.2
CDCA3.1
TOMM70A;LNP1
CTSZ.3
SPEG.1
PER1
PTPN14
SNAPC3
TMEM45A.1
MLC1.1
ENTPD3
ABHD12B.1
CHML;OPN3.1
SGK2
EPAS1.1
ZNF417
LPCAT1
LCLAT1.1
LRIT1
DUSP4.2
ARID3A
INPP5E.1
ATP11C
CITED1.1
ZNF512.3
KIF5A.1
PDCD2
SEC61A2
SURF6.1
SATB1
HIST1H3H.1
CYP24A1.1
TMCO1
RUNX1T1
TMEM183BP;TMEM183A
NTN1.1
MAPK8
IPO8
KIAA1267.1
TRERF1.1
GP9.1
CYB5R1.1
MSX1.11
CLEC11A.1
MRPL42.1
CYFIP2.1
AKR1D1.1
PIGR.1
IMMT.1
ZNF207;MIR632.2
RNF213.1
CCDC57.2
XYLT1
Unnamed: 17733
DAPP1
ERBB2IP.1
MYEOV2
FAM123A
MSH4.1
ARHGEF17
NBPF3
PERP.1
ANXA4.1
BTN2A1
C3orf32.1
ATXN2L.1
PRKAG3
CDC23.1
AP2S1.1
ZNF264.4
JAGN1
MPPED2.1
DRP2
SLPI.1
RBP3.1
DLX5.16
CEP55
Unnamed: 19977
P2RY13;MED12L.1
HNF4G
BMP4.1
TRIB2.1
ZNF792
SERPINB2
OFD1;TRAPPC2.3
PTGDR.1
GABRA3.1
PGM1.1
PTH2R
IRF4.1
CXorf23.1
HIPK2.1
CHST15.1
SMCR8;TOP3A.1
BTN2A2
C9orf139;ABCA2.3
PDHX;APIP.2
TBC1D19.1
ATP8B1.1
C1QTNF6
ZFP91-CNTF;CNTF
C5orf38;IRX2
HABP2.1
ZNF678.1
ME2.1
CEACAM6.1
Unnamed: 22104
ITPR2.6
CHST12
