DDAH1
ADAM30
NOTCH2
ACP6
ANKRD20A12P
BCL9
CHD1L
FAM72B
FAM72D
FCGR1C
GJA5
GPR89C
HIST2H2AA3
HIST2H2AB
HIST2H2BE
HIST2H3D
MIR6077-1
NBPF11
NBPF13P
NBPF14
NBPF23P
NBPF8
NBPF9
PDE4DIP
PDIA3P1
PDZK1P1
PEX11B
PIAS3
POLR3GL
PPIAL4A
PPIAL4B
PPIAL4E
PRKAB2
RNF115
RP11-640M9.1
SV2A
S100A11
VHLL
FCRL5
USP21
B4GALT3
PPOX
ADAMTS4
MIR4654
PBX1
XCL2
NME7
RC3H1
IPO9-AS1
LINC00628
DTL
NENF
ATF3
OR2G2
OR2G3
TRERF1
UBR2
FIG4
LAMA4
C8orf48
TUSC3
NAT2
FAM183CP
RBPMS-AS1
GTF2E2
NRG1-IT3
RNF122
DUSP26
PROSC
EIF4EBP1
ASH2L
BAG4
ADAM3A
ADAM18
IDO1
ZMAT4
CHRNB3
CHRNA6
LINC00293
PRKDC
MCM4
SNTG1
ATP6V1H
NSMAF
TOX
LINC00251
ARFGEF1
C8orf34-AS1
ZNF704
PAG1
TRIQK
C8orf37-AS1
LOC100500773
GRHL2
EMC2
TMEM74
ENY2
KCNV1
MIR3610
RAD21-AS1
COLEC10
DEPTOR
MTSS1
CCAT2
LINC00977
ST3GAL1
ZFAT-AS1
MIR30B
GPR20
LINC01300
PTPRD
CAMK1D
C10orf11
NRG3
LINC00294
EHF
CD44
NPAS4
BBS1
PC
PPP1CA
C11orf24
PPP6R3
MYEOV
FGF3
SHANK2
RELT
FAM168A
SPCS2
CAPN5
OMP
CLNS1A
KCTD21-AS1
FAM181B
C11orf82
RAB30
ANKRD42
DLG2
CREBZF
WNK1
ANO2
RNU6-19P
ARHGDIG
HBM
WDR90
RHOT2
RHBDL1
HN1L
FLYWCH1
ANKRD26P1
LINC00273
FRG2DP
LOC390705
LINC01566
TP53TG3B
TP53TG3C
ZNF267
MYLK3
NETO2
CBLN1
IRX3
EPN2
FAM83G
GRAPL
GRAP
ALDH3A2
CCDC144NL
TMEM11
MIR4522
WSB1
TBC1D3P5
ATAD5
SPACA3
CCL23
GGNBP2
MIR2909
DDX52
MIR378J
LOC440434
GPR179
CWC25
ARL5C
PPP1R1B
PGAP3
IKZF3
ZPBP2
THRA
TOP2A
WNT3
NPEPPS
KPNB1
SKAP1
HOXB1
NXPH3
WFIKKN2
TOB1
TOB1-AS1
MBTD1
LINC02071
UTP18
C17orf112
KIF2B
RP11-118E18.2
SEPTIN4-AS1
CLTC
TBX4
BRIP1
MARCH10
C17orf72
TEX2
CEP112
PRKCA-AS1
MIR3615
SLC9A3R1
RECQL5
WBP2
TRIM47
METTL23
MFSD11
MIR636
SRSF2
LINC01987
TNRC6C
FASN
RPL23AP87
METRNL
PLEKHF1
URI1
ZNF536
PAF1
MIR4530
MACROD2
PKIG
ADA
NCOA3
SULF2
LINC01524
PFDN4
LINC01441
LINC01440
CASS4
C20orf85
BHLHE23
ABHD16B
LIME1
OPRL1
RTEL1
STMN3
hsa-mir-3118-3
hsa-mir-3195
