PMEPA1
CRB1
PYY;NAGS
DENND2D
TMEM147;GAPDHS
VNN1
CYFIP2
ZNF710
LIPH
C1orf115
TRPA1
TCAP
ZBTB7B
KREMEN1
WNT2
TMEM20
WDR41
RHBDL1
ACE
SEMG2
C12orf34;MGC14436.1
CCDC65
TFF1
SLC22A18AS;SLC22A18
GGT1
TRPV6
TEX264
S100A9
ZFP37
SLC38A11
A2ML1
GRB7
ALOX12
TCERG1L
CRIP1
SGCD.1
DST
KCNQ1DN.1
EPDR1
GGT6
CDH7
TFF3
SYDE1.1
SLC5A8
SKAP1
NRIP2.1
AATK
HIPK3
CHST4
ALKBH7
GZMA
SOSTDC1
KRT23
HOXA13
KLF8
DLK1
IGF2BP1
SLC7A11.1
FBXO44;FBXO2
ACSF2;CHAD.1
BRCA1;NBR2
HOXD13
AMDHD1
GLT8D2
NDUFS5
HSD17B8
Unnamed: 6052
UMOD
TAC1
TDRD9
NUDT12.1
DKK1
RPL39L.1
GML
PDGFD
RPGR
TIGD2
DEFA6
HADHB;HADHA.1
GPR62
MEST.1
C17orf57
HOXB4.2
PPP1R1B.1
PSORS1C1;CDSN
CD9
TMEM100
GTF3C5
PI15.1
PSMD11
PTPRO.2
A4GALT.1
RNF182.1
PLXNB1
Unnamed: 8193
WDR45L
RIPK3
BNC1.1
GPR77
CNTN4
C2orf39.1
SEMA5A.1
GLB1L2
DUSP22
PDILT
CNTN4.1
C20orf166;C20orf200
MYOM2
Unnamed: 9544
GHSR
PLXNB1.1
PRAC;C17orf93.1
TTC15
THY1
LCA5L;SH3BGR
ZNF572
FAM65B
CDKN2A
SLITRK4.1
COL11A1
C2orf47;C2orf60.1
ANPEP
C19orf56;MORG1.1
SNRNP200.1
MYOZ3
JOSD2.1
LARP1
SCN3B
COL21A1.1
C1orf114.1
GNG13
PM20D1
MYO16
NPSR1.1
HOXB4.3
TOB1.1
PLXDC1
Unnamed: 12072
TINAGL1
LAMA3
MGAT4A
GALNT8
GPR77.1
ZEB2.1
RNF207.2
IGFBP3.3
CCKAR.1
HSD17B14
WT1.9
S100A9.1
PRLHR.1
SLC5A7
TPM4
CCDC81
MRGPRX4.1
CYP4X1.1
ADCY4.1
HOXC5;HOXC4.2
GPR64
CYP7B1.1
STAC2
KLK3
LCLAT1.1
C8orf4
MAGED1.1
HACL1;BTD
KHDRBS2.1
IL32
PROK1
WDR17
COX7B
CA3
SCNN1A
PCDHA2;PCDHA3;PCDHA1;PCDHA6;PCDHA7;PCDHA4;PCDHA5;PCDHA8;PCDHA9;PCDHAC1;PCDHA10;PCDHA11;PCDHA12;PCDHA13.1
SNX32
CTSA;NEURL2.1
CTHRC1
ACCN4.1
PCOLCE2
UMODL1;C21orf128
WDR86
KLHL21.1
CPLX2
HOXC12.1
GPR55.1
FBP2.1
CYFIP2.1
EFEMP1
PPIL6;SMPD2
Unnamed: 17123
FLJ34503.1
MBTPS2
NOVA2.1
CHN2.1
CTSE.1
TACC3;TMEM129.3
RASSF1.7
DAPP1
PRMT8
FAM83F.1
GFAP.1
RGS11.2
CLIP4.1
GSTP1.5
DMP1.1
GHSR.1
CCDC3.1
SLC12A5.1
FOXB1.1
BCMO1.1
CAP2.1
SPERT.1
PBX4.1
MKRN3.2
D4S234E.1
STMN2
DNM3.1
PTPRR.1
KRT79
TGFB1I1.1
CD320.1
ZNF572.1
KLK10.8
C1orf64
C1QTNF7
GPR141
GRIN2A.1
HOXB4.6
MIA
ELAVL3.1
ADAMTSL2.1
TFAP2B
TLX3
H19.8
HOXB2.1
MAP3K7IP1
PGAM2.1
NTNG1.1
SNRPD1.1
COL11A1.1
PCDHGB3;PCDHGB2;PCDHGB1;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5.1
MYO1H.1
LCE3A.1
ZNF662
TEKT3.1
ALX4.20
SOCS3.1
EPDR1.1
DAB2IP.6
A2ML1.1
