RNU12-2P
TRIM75P
Unnamed: 21
ABCC11
ABCC2
ADCY3
AGRP
ANKRD53
AP3S2
AQP10
ARMC9
ARSH
ASFMR1
ATP1A1
B4GALNT2
BBOX1
C11orf90
C14orf145
C14orf19
C14orf34
C15orf41
C17orf37
C19orf57
C19orf59
C19orf77
C1orf227
C1orf51
C1orf97
C20orf165
C20orf195
C21orf88
C22orf31
C2CD4B
C2orf40
C2orf65
C3orf20
C4orf36
C6orf176
CBLC
CCDC116
CCDC42
CCNA1
CDH17
CDHR5
CDKL4
CDRT15P
CEACAM5
CECR4
CHN2
CKM
CLCA2
COMMD8
CRB1
CST2
CYP2B7P1
D4S234E
DAO
DEFB1
DEPDC4
DHX32
DKFZp566F0947
DKFZP586I1420
DLEC1
DNAH14
DNAH8
DOCK3
DZIP1L
EEF1DP3
EFHB
EIF4B
ENTHD1
EPO
EPS15L1
ERMN
ESPNL
EXOSC2
FABP7
FADS1
FAM117A
FAM157A
FAM163A
FAM189A2
FAM194A
FAM46C
FAM58B
FANCL
FATE1
FGFR2
FHL5
VLDLR-AS1
FSCN1
G6PD
GDF5
GINS3
GJA3
GLB1L2
GLIPR1L1
GNAZ
GPR115
GPR19
GPR61
GPR77
GPR82
GRB7
GREB1
GRHL3
GRIN2A
GSDMB
GTF2H1
HAMP
HAUS2
HIST3H3
HTR1B
ICOSLG
IGF1R
IGFL2
IGSF22
IGSF5
IL1RL2
ITGA2B
KCMF1
KIAA0319
KIF25
KIF4B
KRT14
KRT5
KSR2
FAM86JP
DRAIC
LINC00654
KRTAP5-AS1
LOC440905
PTGER4P2-CDK2AP2P2
MIR924HG
AOC4P
LONRF3
LRRCC1
LY6G6C
MAG
MAS1L
MBIP
MBOAT1
TUBA3FP
MLANA
MORN3
MRGPRX3
MT1DP
MTL5
MUC15
MXI1
MYADM
MYO19
NAPG
NEDD9
NEURL1B
NFYC
NIPAL4
NTM
NUDT2
NUP210
NXPH2
OR2A25
OR2L13
ORM2
PART1
PCDHGB5
PCSK9
PDE4D
PDE6A
PDZD9
PHACTR1
PIGG
PIN1L
PMAIP1
POU5F2
PPIL2
PPP1R1B
PRND
PVT1
RD3
RFPL3
RGPD1
RGPD6
RGS18
RHO
RLN2
RNASE3
RNF112
RNF182
RNF216
RNF8
RNFT2
RPP25
RTKN2
SCN2A
SCN2B
SCN3B
SERPINA3
SERPINE3
SFRP1
SLC13A5
SLC26A3
SLC38A6
SLC39A2
SLC5A11
SLN
SMAD5OS
SMCR5
SNX31
SOX11
SPDEF
SPINK4
SPOCK3
SPTA1
SRC
STARD3
STH
SUMF2
SUSD2
TAOK3
THNSL1
TK1
TMC2
TMEM104
TMEM14A
TMEM42
TMEM74
TNFRSF18
TNNI3
TNNT1
TPI1P3
TPSAB1
TPSD1
TRA2B
TRDN
TRPM3
TTC7B
UFD1L
VWA5B2
WDR17
WNT9B
WSB2
XKR6
ZCCHC3
ZFATAS
ZIC1
ZIC2
ZIC4
ZNF732
ZNF878
