UPRT
STC1
PLAGL1;HYMAI
VANGL1
EPM2AIP1;MLH1
PCP4
TMEM59;C1orf83
C12orf34;MGC14436
LIPH
ELF5
PRNP
BAI2
TSHZ1.1
Unnamed: 1515
RUNX2;SUPT3H
ADSSL1
CARD9
TOMM40L
CCDC92
ZNF432
CADM1
Unnamed: 2433
C1orf201
C9orf9;C9orf98
NFKB1.1
CYB5D1;LSMD1
LOXL1
ZNF160
ACCN3
ALOX12B
GLI4
EPHA4
PEX6.1
FANCF.4
C3orf54
SUSD1
ARFIP2;FXC1.1
RPL36AL;MGAT2
C10orf10;RASSF4
HSD17B7
HIST1H1B.1
SLA2.1
SOCS2.1
WRN;PURG
HLTF.1
PDZD7;SFXN3
MAP4K2
FOXP3
FAM65A.1
MCCC1
CEP68
MEIS1
C1orf21
HCRT
PDCD7
ZNF721;ABCA11P
APOD
MEPE
UBE3A.1
WDR1
NFATC1
FITM1
KCNQ1.2
HK1
NOS1AP
OSR1.1
HTR3B
C16orf48;C16orf86
SRRM2;LOC100128788
TRIB3
HOXC11
EFCAB3
PON1
MGMT.6
ZNF91
C8orf31
TRIP12
PCDHB12
TIGD2
ACOT8;ZSWIM3
KCNK17
GPKOW
CRP
LOC100329108;GCSH
DSG3
ARL10
DAPK1.1
SH3BP2.1
IFITM2
RHOF.1
MAP3K7IP2.1
ARRDC4.1
CALCA.3
ASGR1.1
MPO.1
RNF128
UNC93A
GRIN2C.1
NCK1.1
CST8
STK32B
CADM1.1
ACOT11
PDZK1
ZNF436
TCAP.1
EPM2AIP1;MLH1.2
NFATC2.1
RAI14.1
XKR6.1
SERPINB12.1
MLLT10
RSRC2;KNTC1.1
RPL36AL;MGAT2.2
AZGP1
COMMD4
PPIL2
HNRPA1L-2;HNRNPA1;CBX5.2
AOX1.1
CDKN2A
ASGR2
MRGPRX2
PAQR5
Unnamed: 10665
APP
KAL1.1
ABHD12B
ZNF652
LGR5
NEU1
ZNF432.1
ZNF655.1
DNAJC5B
EPM2AIP1;MLH1.3
LGI3
SNORD116-1.2
OR3A1
EGFR.1
ADAMDEC1.1
MSX1.8
KCNK1.1
SOX4
TCF20
MNS1.1
POLR3K.1
Unnamed: 12278
SH3BP4.1
IL1R1
CTSL1.1
EMR3.1
GRB10.6
NUP155.1
SNAPC3
TMEM117.1
ABHD12B.1
SGK2
CD44.4
LCLAT1.1
RBBP7.1
DUSP4.2
PUF60.1
MON1B.1
DOCK3
TAS1R2
SEC61A2
SURF6.1
DYRK1B.1
Unnamed: 15444
PPHLN1;ZCRB1
ASCL3
Unnamed: 15503
HIST1H3H.1
CYP24A1.1
TMCO1
MEX3B.1
GUSB.1
KIAA1377;ANGPTL5
IPO8
KIAA1267.1
PBX4
CYB5R1.1
MSX1.11
PDLIM1
CYFIP2.1
MSX1.12
FSHR.1
AKR1D1.1
CHRNA7.1
SLURP1.1
PIGR.1
TUBGCP6
ALG13.1
PNMA5.1
CLIC2
CCDC57.2
XYLT1
DAPP1
PCYT2;SIRT7
BCS1L.1
ZNF570.1
FZD6
MSH4.1
ARHGEF17
ABCA6
LHX4
CKB.1
DCTN3.1
C21orf29.1
PRKAG3
CDC23.1
AP2S1.1
MT1F.1
MPPED2.1
MIR548H3;C6orf167.1
SLPI.1
KLK12
SPHK2;RPL18.2
FCGBP.1
RBP3.1
RALY.1
KIAA0020
MOGS
F2RL1
EPHB6
SERPINB2
PTGES2;PTGES2-AS1.1
RND1
CD14.1
HIST1H3C.1
ZNF460.1
LTBP4
VAMP1.1
TUBA3D.1
GRB10.10
PDHX;APIP.2
ATP8B1.1
C1QTNF6
HOXC10.1
GPR63.1
LRBA;MAB21L2.1
PPIL1.1
C5orf38;IRX2
CES3.1
NUP43.1
PROC.1
ME2.1
PTTG1
ERP29;TMEM116.2
C1orf21.1
CHST12
