CROCCP2
LOC101928163
ID3
PIGV
ZDHHC18
TMEM200B
PTPRU
AGBL4
MROH7
NFIA
FAM72C
SRGAP2D
GRM7
LINC00692
PDCD6IP
FGF12
NAT8L
POLN
PPP2R2C
CORIN
NFXL1
CNGA1
NIPAL1
POLR2B
IGFBP7
MMRN1
CCSER1
C4orf51
GALNTL6
SLC6A3
LINC01194
EMB
IL6ST
IL6ST-DT
ANKRD55
RNF180
MCCC2
PRDM6
GMDS
LY86
C6orf222
LINC00951
TDRG1
LOC101928936
TSG1
GRIK2
DCBLD1
OPRM1
PACRG
KLHL7
FKBP14
YAE1D1
ABCA13
WBSCR17
ELN
EIF4H
C7orf62
C7orf63
DPY19L2P4
STEAP1
ZNF804B
KMT2E
CADPS2
RNF133
RNF148
CSMD1
XKR6
MIR598
SLC35G5
C8orf12
DLC1
SNAI2
C8orf22
SNTG1
CHD7
LOC100130298
MIR4470
GGH
BHLHE22-AS1
CYP7B1
CRISPLD1
LINC01111
CASC8
ZFAT
ZFAT-AS1
AKR1C3
NSUN6
ARL5B
NPFFR1
LRRC20
EIF4EBP2
C10orf11
PAPSS2
PLCE1
RRP12
PGAM1
EXOSC1
ZDHHC16
MMS19
ANKRD2
HOGA1
MARVELD1
ZFYVE27
SFRP5
ADRB1
IGF2
INS-IGF2
MIR483
IGF2-AS
INS
MIR4686
TH
OR5B17
LPXN
C11orf24
MRGPRD
MRGPRF
DLG2
ETV6
SLC15A5
MIR4302
TSPAN11
DDX11-AS1
FAM71C
KSR2
SPATA13
PARP4
TPTE2P6
USP12
RAP2A
LINC00609
PTCSC3
MBIP
SMAD3
GOLGA6C
GOLGA6D
ADCY9
RBFOX1
ABAT
GGA2
EARS2
NDUFAB1
PALB2
PLK1
ERN2
PRKCB
MIR548AE2
LONP2
LOC100507577
SIAH1
CES5A
NPAP1L
TANGO6
SMG1P7
AARS
EXOSC6
PMFBP1
WWOX
CDH13
MIR3182
GSE1
PRPSAP2
DHX58
KAT2A
CA10
ANKFN1
RPS6KB1
RNFT1
HEATR6
LOC645638
LOC653653
CA4
USP32
CYB561
KCNH6
DCAF7
TACO1
LIMD2
LOC729683
NOL11
SNORA38B
C17orf58
LINC00674
AMZ2
SLC16A6
LOC102723376
THOC1
DLGAP1
DLGAP1-AS3
RNF138
CCDC178
MEX3C
LINC01630
DCC
SNORA37
NEDD4L
ALPK2
LOC101927322
MALT1
ZNF532
SEC11C
CPLX4
LMAN1
CDH19
MATK
ZFR2
ACER1
CLEC4GP1
CASP14
MAU2
SIPA1L3
PCAT19
CNFN
LIPE-AS1
CEACAM1
ZNF225-AS1
ZNF225
ZNF234
ZNF227
ZNF233
CASC20
GGTLC1
LINC01721
FRG1B
MLLT10P1
LINC00657
ZNF217-AS1
ZNF217
MIR1257
TAF4
C20orf166
MIR133A2
LINC01687
LINC00308
GART
MIR6501
ZNRF3
LARGE-AS1
XPNPEP3
RBX1
EP300
MIR1281
EP300-AS1
L3MBTL2
CHADL
RANGAP1
MIR6889
FAM133A
DIAPH2
TENM1
