-0.7278,-0.7424,1.8445,-1.1539,-1.1199,0.3359,0.9212,0.7484,-1.1027,0.3992,-0.5335,-0.0719,-0.3011,-1.1927,1.0449,0.1434,-0.126,0.0131,-0.7162,-0.6977,-0.126,-0.586,1.2451,-0.455,0.4674,-0.374,-0.3204,0.221,0.6019,0.0824,1.318,-0.5242,-0.3407,0.0814,-0.3082,-1.3075,0.2117,0.3855,-0.5411,1.1128,-1.0365,1.1515,-0.4225,1.1471,0.8152,1.7335,1.4383,1.512,-0.3541,-0.2881,-0.2167,0.4197,0.0782,-0.2918,-0.2129,-1.3003,0.3819,0.4515,-1.4722,-1.0381,0.0902,0.531,0.3863,-1.1111,0.0472,-0.6314,-1.0409,-0.1507,1.0329,0.2499,0.5407,-2.5119,-1.1505,1.1131,-0.5099,-0.6807,0.4373,-2.2326,0.4773,0.8457,0.425,1.2585,1.2263,-1.3672,-2.0552,0.1465,-0.4295,-0.2609,0.1828,-0.0461,-0.2262,-1.2684,-0.5564,0.397,-0.7751,-2.3468,-1.0978,0.3423,0.8373,-0.9289,-0.8165,-0.6723,0.9343,1.4137,-0.4249,-0.5464
-1.5964,-1.8735,0.8197,-0.9372,-1.363,0.1465,1.2,0.7784,-1.5023,1.6945,-0.77,0.2769,-0.2972,-0.4517,1.7357,-0.9062,2.7123,-1.3028,0.5549,-0.0205,-0.5484,0.2077,1.5935,-0.8728,-0.8273,-2.7243,0.3002,0.3754,0.3818,0.0909,2.8391,-0.8388,0.8512,0.4593,0.2438,-1.599,1.7589,-1.7204,-0.691,-0.4113,-1.1168,-0.7155,1.0144,0.107,0.6049,-1.111,-1.2139,0.142,0.1827,-2.8877,0.6297,2.143,2.3828,1.5686,-0.618,-0.422,-0.076,-1.7078,1.7809,-0.0925,0.6789,0.5775,-0.75,-2.2914,0.1228,-0.0204,-0.7741,2.08,1.3018,0.133,1.2323,-0.0051,0.8758,1.9162,-2.0419,-0.299,-0.2537,-1.386,0.3198,0.9368,0.1914,-0.0583,0.1658,0.1732,-2.1458,-0.0207,-0.4202,0.6354,-0.2704,-0.4844,-0.6759,-1.7282,0.5815,-1.0948,-0.9727,0.614,-1.1117,-1.2872,-0.513,-1.3293,0.262,-1.6399,-0.0831,-0.9193,-1.7942,-1.8136
1.407,0.4691,-0.2235,0.0324,-0.3294,0.1541,1.1556,1.862,0.4208,-0.7377,-2.5153,0.5634,-1.6456,0.7052,-2.0515,0.8735,0.1774,0.5082,-0.5463,0.9133,1.4091,-0.1184,0.1745,0.5867,-0.0096,-0.3717,-0.9338,-1.6864,-0.1155,-0.7808,-0.112,-0.4534,0.0958,1.073,-1.3191,0.5963,0.5108,-0.0381,0.7749,1.8129,1.3866,-1.2294,-0.2138,0.8733,-0.1051,-0.3732,-0.3763,-1.3538,0.7844,-0.6353,0.3262,-0.246,-1.7519,-1.3514,0.7866,2.3606,-0.023,-1.2882,2.1257,-0.2488,-2.5464,-0.2472,0.1734,0.969,0.279,-0.3331,0.2117,-1.2286,0.0468,-1.4708,-1.667,-0.5282,-0.1368,-0.2861,2.0214,1.0288,-0.227,-1.1538,-2.5996,0.94,0.9217,0.5786,0.3015,-0.0681,1.8502,0.5381,-0.9225,0.0412,-0.2928,0.8317,2.1072,-0.2901,0.7146,-1.1182,0.3236,0.6024,-2.124,0.2644,-1.4491,0.1062,2.6593,0.4159,0.6945,-2.0918,-1.8074,1.3195
1.4092,0.582,0.0589,-0.7841,-0.3383,-1.4391,-0.5636,-1.6726,1.7333,-0.8338,0.0364,-0.4318,-1.037,1.5625,-2.6764,-0.7436,-1.1791,2.2586,0.8757,-0.0187,0.7874,-0.861,-0.9573,1.6722,-1.0669,-0.1304,-0.4407,-2.6459,1.5101,-0.0703,-1.0361,0.3565,-0.8304,-0.1246,-1.6458,2.8961,-1.2717,0.1203,-0.46,0.2355,-0.9657,-2.0247,0.9524,-1.0037,-0.6713,0.7779,0.6629,0.1779,0.8813,1.5156,0.8017,-0.6066,-0.5825,-0.1093,-1.7969,0.2036,-1.0011,-0.7878,-0.3243,0.0462,-0.6276,-0.9272,1.9977,-1.3806,0.0526,0.7212,2.3256,-1.3852,-1.3268,-1.5158,-1.3538,0.4989,-0.2765,-0.6045,1.856,1.089,-1.2413,0.1551,-2.2291,-0.9903,-1.5266,-1.1954,0.6905,0.206,1.1141,-1.1257,0.6582,-1.0042,-0.2981,-1.3788,-0.7698,0.8076,0.1922,-1.0157,-0.7198,-0.2017,-0.7911,-0.7753,-0.8348,-1.2193,1.5291,-1.099,0.3519,-1.5769,-0.978,-0.6996
0.3562,0.7199,-0.392,-1.2506,0.6733,-0.2579,0.2338,-0.135,0.7806,-0.5084,0.028,-0.5821,-1.3062,1.1563,-1.6364,-0.6558,0.061,0.7387,0.3857,0.3818,-0.5411,-0.796,-0.4485,0.6299,-0.4306,-1.0158,-0.4385,-1.3813,0.4744,-0.916,-0.7708,0.1568,-0.8745,-0.753,-0.894,1.1246,-0.1197,0.5115,0.0986,1.3335,0.6833,-0.4446,-0.0292,-0.7437,-0.0234,0.5014,0.1803,-0.4983,-0.387,0.7237,0.9269,0.9458,-0.4122,0.156,-0.2104,0.3891,0.1604,0.048,0.9161,0.4087,-0.1716,0.0662,-0.65,0.307,0.3183,0.4688,0.5045,-0.7337,0.0326,0.0335,-0.5991,-0.0924,1.0061,-0.49,0.4428,-0.4827,-0.3139,-0.5627,-1.2756,-0.7266,-0.3728,-0.7845,-0.2166,-0.6194,0.821,-0.5651,0.4669,-0.297,0.3188,-0.2918,-0.9666,1.4495,-0.5505,-0.1591,-0.0711,0.1334,0.7369,-0.3972,-0.1329,-0.1237,-0.1119,0.2771,0.712,0.1829,-0.0016,0.2072
2.9718,1.8196,-2.2569,1.9982,-2.4343,0.0905,-1.5858,-3.2973,2.4509,-2.9021,0.9107,-1.4366,-0.576,-0.9552,-1.5583,-0.3171,0.684,0.7629,1.2468,0.51,-0.6294,-0.6007,0.7231,0.8803,-1.1773,0.8096,0.8842,-2.1439,0.2269,0.0891,-0.4692,2.331,-0.1636,1.4964,-0.6883,-0.1392,0.2804,1.0109,0.3452,-0.3735,0.1942,0.1773,0.3647,-1.0069,1.5953,2.3319,2.4201,4.0193,-0.3584,0.0868,-0.1904,-1.2588,-0.099,0.6291,0.4899,-0.2707,1.5667,-0.164,0.8199,3.6722,0.0938,0.8397,1.5377,0.006,1.0712,0.777,0.348,-1.0734,-1.1875,0.0779,-0.3018,1.6043,-0.0671,-2.5137,0.9151,-0.7451,0.8492,0.6219,-0.7813,-1.2413,-1.3675,-0.1853,1.0796,-0.0466,1.3112,0.2735,0.5259,-2.5447,2.3669,0.354,-1.9542,0.8509,-0.7795,-0.6547,1.7977,0.3179,0.3789,0.7443,-1.0689,0.105,-0.6105,0.9921,0.5519,-1.338,-1.8807,-2.0281
-0.3178,0.1451,0.2446,-0.2732,0.6699,-0.3839,-0.4165,1.1614,-0.593,-0.6174,-0.5276,-0.2868,0.4404,1.1393,0.346,0.1536,0.7087,0.1619,-0.599,-0.1935,0.0967,0.651,0.3846,-0.4791,-0.9763,-0.3515,-1.4078,0.2973,-0.4941,-1.1535,-0.5083,-0.2354,0.0641,0.521,0.3897,0.1995,-0.1275,0.4935,-0.5904,-0.8832,-0.7516,-0.8019,-0.5032,1.3415,-0.0924,0.5385,0.6843,0.5942,0.2042,-0.5971,-0.2752,-0.1841,0.4831,0.7767,0.6637,0.272,0.4345,0.5186,0.0833,-0.1863,1.1479,-0.473,-0.0609,-0.2182,-0.4979,-1.1426,0.0049,0.0738,-0.0312,0.1785,0.4189,-0.5727,0.2818,0.8392,-0.8219,-0.5148,-0.0434,-0.8783,1.7833,0.7371,0.3372,0.9228,-0.9844,-0.7934,0.1505,0.7076,0.5188,0.8532,-0.2281,-0.542,-0.5033,-0.6601,0.0441,0.3326,-1.1969,0.5083,0.4841,0.014,-0.1269,0.0526,-1.0025,0.1013,-0.3141,0.5084,0.4413,0.5059
-1.3559,-1.1719,-1.5188,-0.5518,0.5679,0.7345,-0.7931,-1.6937,0.1178,-1.0468,-1.6806,-1.0706,-0.6369,-0.7591,-0.5426,0.8615,-0.8348,-0.1074,0.2968,0.5795,-0.6615,-0.2637,-0.2749,-1.6535,0.6243,-1.203,-1.0932,1.2559,-0.1226,0.1428,-1.9239,-0.949,-0.3987,-1.4154,1.3665,-4.3686,1.4872,0.6223,-0.6424,0.1879,0.847,-0.2457,-0.0061,1.873,-0.7108,0.6971,0.9377,0.2739,-0.3605,-1.1885,-1.8955,0.6417,-0.9932,-0.6139,-1.4375,-2.3457,-1.1737,0.8902,0.3693,-0.0513,1.1198,-1.3898,-1.6126,-0.4095,1.7373,-0.4603,-1.4039,0.7629,-0.8152,-0.6176,0.9465,-2.298,-0.1748,0.5354,-0.0338,-0.5925,-0.6969,-1.49,1.2521,0.3648,0.3603,0.9396,-0.3299,-1.3498,-1.6908,-0.732,-0.0714,-0.6503,0.4203,-0.5629,1.156,-1.2643,0.866,1.567,1.7181,-1.7046,-0.5847,0.0706,0.143,-0.0478,0.6458,-1.6583,0.5716,0.6539,0.7685,-0.5371
1.5855,-0.2387,-1.6875,0.1547,-0.7178,-1.2325,-0.079,0.2863,1.7777,-0.7735,-0.8496,-1.3439,0.693,0.0265,1.0233,1.3248,0.4782,0.0264,-0.6222,1.6606,0.5718,0.4424,-0.7132,-0.5294,2.2277,0.0211,0.7475,1.2233,0.2745,-0.2406,-1.2378,-1.0326,0.957,2.3097,1.5661,0.3468,-1.525,-0.4405,-0.3228,-2.3951,0.5861,-0.9104,-1.4535,-1.0947,-0.9798,0.627,0.4953,1.9445,-0.5446,0.1904,-0.4489,0.7285,0.3412,0.6652,-1.3867,-0.1568,0.1909,-1.2496,0.6054,1.3987,0.7552,-1.4846,-0.1019,0.0565,-1.0576,0.7253,0.2025,0.2206,-0.0898,1.0421,1.0175,0.0478,-0.7297,-1.2579,-0.3,-0.973,-0.8955,-0.5717,-0.8777,0.0925,1.252,-1.3463,-1.1476,-0.0074,-0.7909,-1.4592,-0.2634,0.8322,0.519,-1.1137,-0.938,-0.7385,-0.815,-0.0174,1.4607,-0.1317,0.6064,2.0026,-0.8932,-0.8782,-0.6546,-1.0796,-0.8498,-0.5278,0.9385,-1.9307
0.7133,-0.751,0.5855,-1.1727,0.4732,-0.4081,0.6959,-0.0822,0.8407,-0.5026,1.0734,0.5653,0.1359,1.835,-0.1442,-0.8572,-0.8408,1.2538,0.1869,0.7959,1.3261,-0.0063,-0.4186,-0.9222,0.4421,0.9151,-0.1498,0.1934,1.0596,0.4378,-0.7577,-0.6916,-0.36,-0.0738,0.1192,1.0747,-0.0792,-0.1611,0.7101,1.7525,0.8272,-1.3491,-0.1463,1.0382,-1.4308,0.7036,0.3314,-0.2029,2.0778,1.534,-0.5369,0.2025,-0.4067,-0.1548,0.3179,0.488,-0.8186,1.3186,0.9844,1.1906,0.4728,-1.0014,0.2339,0.0332,-0.1772,1.4307,1.8368,0.5097,0.6633,-1.3842,-0.7821,0.2519,-0.3175,-0.5881,-0.7935,0.479,-1.4743,0.1425,-0.426,-0.8275,0.6523,-0.1469,0.3512,-0.2867,0.6971,0.0041,-0.4366,0.4658,-0.606,-1.0713,0.4149,0.6998,0.673,0.1373,0.5435,-0.1163,-0.5212,-0.5625,-0.3558,-0.6725,0.8117,-1.299,0.1698,-1.2799,0.5234,-0.0987
