ACO1
ACOT6
ACOXL
AEN
AGK
AKR1B15
ALOXE3
AMAC1L2
AMY1A
APOD
APOH
ARHGEF4
ASMT
ATG9B
BAX
C11orf63
C11orf66
C13orf30
C17orf63
C17orf67
C17orf99
C18orf10
C18orf18
C18orf22
C18orf45
C1orf168
C1orf173
C20orf134
C20orf202
C20orf46
C22orf31
C2orf50
C3orf39
C5orf52
C6orf114
C6orf41
C8orf85
C9orf50
CA10
CABLES1
CABLES2
CACNA2D2
CACNG4
CALCR
CATSPER3
CCDC116
CDHR3
CEACAM16
CHRFAM7A
CHRM3
CLLU1
COLEC10
CPPED1
CSNK1A1P
CST6
DBNDD1
DEFA6
DEFB1
DKK1
DKKL1
DMRTA1
DOCK5
DPCR1
DRD1
DUSP27
DUSP9
E2F2
EDA2R
EEF1DP3
EFCAB1
EGR4
EIF2B1
ELANE
ENPP1
EPHX2
EPM2AIP1
EVX1
EXD1
F2RL2
FADS3
FAM136B
FAM166A
FAM185A
FBN2
FBXL14
FBXO2
FBXO39
FBXO7
FBXW10
FOXA2
FOXL1
FUCA1
FUT1
GALNTL4
GAS2L1
GGTLC1
GLYR1
GNG13
GNG4
GOLGA7B
GRAPL
GRHL2
GRIK4
GRM1
GRM5
GZMB
HCG11
HCG4
HHIP
HIPK4
HIST1H2AH
HOXB4
HOXC11
HPDL
HS6ST2
IGFBP1
IGFBPL1
IGFL2
IL17B
IRX2
ISL1
ISM2
IVD
JAG1
KCNMB4
KDSR
KIAA0802
KIAA1274
KIAA1409
KIR3DL2
KRTAP5-8
LAMA1
LASS1
LMX1B
HAVCR1P1
LOC100130987
SLC25A48
USP27X-DT
LINC01089
SNHG17
UBAP1L
BCRP3
ZBED3-AS1
LOC730668
LRRC18
LRRC23
LYG1
LYPD5
MAFF
MAP2K5
MAPRE3
MBD1
MESP2
MEX3C
CENPBD1P1
MSH4
MSTN
NCRNA00107
NKAIN4
NME5
NPHS1
NR2E3
NT5DC1
NUBPL
NWD1
OCM
OR7E91P
ORAOV1
OSBPL2
PADI4
PAMR1
PGM1
PHGDH
POLR2J2
POM121L10P
POU5F1
PRINS
PRR18
PRR22
PRSS23
PTGFRN
RAB40A
RAC3
RAD52
RASGEF1C
RBP7
REXO2
RGS7BP
RHBDL3
RND1
RNF113A
RORB
RP1L1
RPL13P5
RPL22L1
RPL37
RRAGD
RRS1
SEC31A
SERPINA1
SERPINA3
SERPINB8
SESN2
SHC3
SLC12A5
SLC16A4
SLC1A5
SLC22A1
SLC25A41
SLC2A12
SLC38A6
SLC7A5P1
SLCO1C1
SLCO4A1
SMAP1
SNORA67
SOCS6
SPDYA
SPERT
SPIB
SRD5A1
ST3GAL1
SUPT3H
TCF7
THNSL2
THSD7B
TIMM8A
TLE2
TMC1
TMEM195
TMEM9
TNNT2
TREML2
TRPC4
TRPV6
TTC23L
TUBBP5
TYMS
UGT1A10
ULK3
WIF1
WNT11
XPC
ZBED1
ZMYND12
ZNF513
ZNF518B
ZNF582
ZNF596
ZNF815
