CHD1
AGBL4
RHOU
COG2
AGT
CAPN9
C1orf198
ARV1
FAM89A
MIR1182
TTL
NXPH2
YY1P2
DKFZp686O1327
RBM43
MIR1284
LINC00870
CNTN3
FAM86DP
FRG2EP
FRG2C
LINC00960
MIR1324
MIR4273
ZNF717
ROBO2
ROBO1
MYLK
CCDC14
ROPN1
ACAD9
PIK3R4
ASTE1
NEK11
WDR49
SLC7A14
TNIK
APOD
MIR570
MUC20
MUC4
PPP1R2
SDHAP1
SDHAP2
TNK2
TFRC
DUX2
DUX4L1
DUX4L2
DUX4L3
DUX4L5
DUX4L6
FST
SLC38A9
PDE4D
PART1
DEPDC1B
SV2C
RASA1
CCNH
MEF2C
GPR98
RGMB-AS1
FAM174A
SLCO4C1
FBXL17
MAN2A1
LINC01848
EYS
BAI3
IBTK
ZNF292
UBE2J1
LIN28B
TPI1P3
SLC35F1
PER4
TMEM106B
SEMA3E
SEMA3A
CADPS2
CSMD1
MCPH1
MTMR7
SLC7A2
ADRA1A
CHRNA2
EPHX2
INTS9
HMBOX1
NRG1
HTRA4
TM2D2
FNTA
FAM110B
NSMAF
TOX
LOC100130298
HNF4G
RGS22
FBXO43
ANKRD46
PABPC1
ATP6V1C1
C8orf56
BAALC
BAALC-AS1
PCDH15
NRG3
GHITM
C10orf99
GRID1
BMPR1A
FAM22D
LINC00863
ATAD1
CFL1P1
KLLN
RNLS
MYOF
CEP55
CLEC1A
LOH12CR1
APOLD1
SACS
LINC00327
POMP
USPL1
ALOX5AP
TEX26-AS1
C13orf33
TEX26
N4BP2L1
FREM2
STOML3
CCDC122
PCDH20
DACH1
LINC00347
CTAGE11P
ZIC5
ITGBL1
TEX29
MIPOL1
N4BP1
CETP
CA7
CDH16
CES3
CES4A
FBXL8
NOL3
KIAA0895L
EXOC3L1
ELMO3
MIR328
TMEM208
FHOD1
PLEKHG4
KCTD19
LRRC36
HSD11B2
CTCF
RLTPR
ACD
C16orf48
GFOD2
TSNAXIP1
CENPT
NUTF2
NRN1L
PSKH1
PSMB10
LCAT
DPEP2
DDX28
ESRP2
SMPD3
ZFP90
DDX19A
CLEC18B
PDPR2P
PSMD7
MIR3182
ANKRD11
AFG3L1P
C16orf3
C16orf55
C16orf7
CDK10
CPNE7
DBNDD1
DEF8
DPEP1
FANCA
GAS8
VPS9D1-AS1
URAHP
LOC100287036
MC1R
RPL13
SNORD68
SPATA2L
SPG7
SPIRE2
TCF25
TUBB3
P2RX1
GPR172B
ZFP3
YBX2
EIF5A
SLC25A35
RANGRF
ARHGEF15
MYH10
CCDC42
PIRT
MYOCD
STAT5B
HDAC5
C17orf53
ASB16
C17orf65
TMUB2
ATXN7L3
UBTF
SLC4A1
GPATCH8
C17orf104
CCDC43
FMNL1
EMILIN2
GRP
LMAN1
LINC00305
ZNF236-DT
MACROD2
LINC00114
BRWD1-IT2
DSCAM
FAM3B
TMPRSS2
hsa-mir-1182
hsa-mir-1284
hsa-mir-1324
hsa-mir-4273
hsa-mir-570
hsa-mir-3151
hsa-mir-3182
