BCL2|Bcl-2-M-V
BID|Bid-R-C
BCL2L11|Bim-R-V
RAF1|C-Raf-R-V
RAF1|C-Raf_pS338-R-E
MS4A1|CD20-R-C
PECAM1|CD31-M-V
CASP7|Caspase-7_cleavedD198-R-C
CAV1|Caveolin-1-R-V
CHEK1|Chk1-R-E
CHEK2|Chk2-M-E
CHEK2|Chk2_pT68-R-E
CLDN7|Claudin-7-R-V
COL6A1|Collagen_VI-R-V
CCNE1|Cyclin_E1-M-V
CCNE2|Cyclin_E2-R-C
PARK7|DJ-1-R-E
DIRAS3|Di-Ras3-M-E
CDH1|E-Cadherin-R-V
EGFR|EGFR-R-V
ESR1|ER-alpha-R-V
ESR1|ER-alpha_pS118-R-V
MAPK1|ERK2-R-E
ETS1|ETS-1-R-V
FASN|FASN-R-V
FOXO3|FOXO3a-R-C
FOXO3|FOXO3a_pS318_S321-R-C
FN1|Fibronectin-R-V
G6PD|G6PD-M-V
GAPDH|GAPDH-M-C
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9-R-V
ERBB2|HER2-M-V
ERBB2|HER2_pY1248-R-C
ERBB3|HER3-R-V
HSPA1A|HSP70-R-C
NRG1|Heregulin-R-V
IGFBP2|IGFBP2-R-V
INPP4B|INPP4B-G-E
IRS1|IRS1-R-V
MAPK9|JNK2-R-C
MAPK8|JNK_pT183_pY185-R-V
XRCC5|Ku80-R-C
STK11|LKB1-M-E
LCK|Lck-R-V
MAPK1 MAPK3|MAPK_pT202_Y204-R-V
MAP2K1|MEK1-R-V
MYH11|MYH11-R-V
MRE11A|Mre11-R-C
MYH9|Myosin-IIa_pS1943-R-V
NRAS|N-Ras-M-V
NF2|NF2-R-C
NOTCH1|Notch1-R-V
PDK1|PDK1_pS241-R-V
PEA15|PEA15_pS116-R-V
PIK3R1/2|PI3K-p85-R-V
PRKCD|PKC-delta_pS664-R-V
PKC|PKC-pan_BetaII_pS660-R-V
PGR|PR-R-V
PRDX1|PRDX1-R-V
PREX1|PREX1-R-E
PTEN|PTEN-R-V
PXN|Paxillin-R-C
RBM15|RBM15-R-V
RAB11A RAB11B|Rab11-R-E
Rab 25|Rab25-R-V
RB1|Rb_pS807_S811-R-V
RPS6|S6_pS235_S236-R-V
STAT3|STAT3_pY705-R-V
STAT5A|STAT5-alpha-R-V
SMAD1|Smad1-R-V
SMAD4|Smad4-M-V
SRC|Src-M-V
SRC|Src_pY416-R-C
SYK|Syk-M-V
TFRC|TFRC-R-V
TSC1|TSC1-R-C
TTF1|TTF1-R-V
TGM2|Transglutaminase-M-V
TSC2|Tuberin_pT1462-R-V
KDR|VEGFR2-R-V
VHL|VHL-M-C
XRCC1|XRCC1-R-E
YAP1|YAP_pS127-R-E
CTNNA1|alpha-Catenin-M-V
JUN|c-Jun_pS73-R-V
KIT|c-Kit-R-V
MYC|c-Myc-R-C
BIRC2 |cIAP-R-V
EIF4G1|eIF4G-R-C
FRAP1|mTOR_pS2448-R-C
CDKN1A|p21-R-V
CDKN1B|p27-R-V
CDKN1B|p27_pT198-R-V
MAPK14|p38_MAPK-R-V
TP53|p53-R-E
SQSTM1|p62-LCK-ligand-M-C
RPS6KB1|p70S6K-R-V
RPS6KB1|p70S6K_pT389-R-V
RPS6KA1|p90RSK-R-C
