DNAJA2
ID1
VSTM2L
LOC148696
TMEM189
PRR16
MYOM2
IL5RA
CYP2B7P1
FUT9
NPTXR
SERPINB7
YIF1B
RFWD3
ABCA13
UAP1
SRRM4
PARP14
CXCL1
SCRT1
CMYA5
CES3
BCAS3
NLRP6
TERT
SERINC4
CT62
PI3
HEXA
KIF12
TSKU
PIKFYVE
BAMBI
TMEM132E
CLMN
ENTPD1
DAPK3
MLLT10
VASP
ARFIP2
PCDH18
TREML1
HIST1H2AH
KIF21A
CHSY1
ZFP3
PKP1
SHOX2
FREM2
LIN7A
HIST3H2A
BAT5
ING5
NT5C3
SULT1A3
ZNF606
CPNE2
CHRNA6
AHR
LYPLA2
CDH4
C6orf41
ATP6V0A1
ALG1L
DUSP7
UFD1L
TRIM32
LITAF
TMEM206
HSPB1
ZNF654
TLR1
NHEJ1
C1GALT1C1L
C1orf21
HMG20B
PARP6
HNMT
ST18
ME3
KLF13
ATF6
EML5
CLCA2
ACN9
MEI1
PFN2
SH3GL2
LOC399815
KCNC2
MEF2B
SFRS12
MMADHC
SLC36A4
SLC6A17
POM121C
PANK1
CLEC4E
FOXP4
ASAP3
ACTBL2
ZNF280B
ENAH
TOMM40L
STXBP1
ZNF556
NELF
FAM5B
HTT
HLA-DQB2
FKBP15
NFIB
BTN3A1
INPP5E
DTNA
PER3
GRIN3A
GTF2A2
PKHD1
MTERFD2
PIWIL1
SFXN5
SNRNP27
C2orf43
HPDL
AFARP1
DTX3
HLA-B
CALM2
TMEM190
WTIP
ITGA10
ZNF502
PLD1
TMEM105
C12orf68
PHGR1
DDT
MYCL1
SCAMP5
LINC01622
TDRD1
TMEM79
GRM8
DLX5
OR2A4
PARD3
MLF1
SLC7A1
PECR
FAM118A
KHDC1L
MDC1
RBP7
FAM129A
POGZ
PSMD8
INA
AFF3
ECHS1
MBTD1
TNFRSF18
LARS
METT5D1
STARD3
FAM78B
LOC730101
IKZF1
HGS
FKBP1A
STC1
FIP1L1
CH25H
SNED1
CHST8
SERPINB13
SLC41A2
FLOT2
PXDN
KCTD8
ARHGDIB
FRMPD1
ZNF615
SRGAP3
HLA-DMB
MSX2P1
FKBP10
PDK4
CCDC74A
CADM2
CBR3
PDSS2
PAG1
CENPB
MKKS
NDN
CA10
TMEM99
OSBPL9
PHLDB2
MICAL2
TM2D3
ACY3
RHAG
COL19A1
CFH
KIAA0495
TSSK1B
ZNF671
AK4
CWH43
DICER1
WDR17
OAT
CPA3
PDLIM3
NLRP8
GSTM1
SERPINB4
IQCB1
CKS1B
HOXC5
F5
LUM
C8orf77
ITPKC
PTH2R
TRPM8
PCDHA13
DEM1
GSDMC
APP
GHR
CHSY3
GALC
C4orf19
GPR137B
ZNF599
IRX2
STEAP4
SEPHS2
BCMO1
PTPRA
TMEM200A
LRRC37B2
MAP2K5
RNF207
CD3E
TOX
CERCAM
