ABRA
ACER3
ACY3
ADAM21P1
ADAM21
ADH1C
AGFG2
AGXT
AIDA
ALAS2
ALDH1A3
ALG9
ALOX15
AMACR
APBA1
APEX1
AQP6
ASPHD2
ATXN7L3B
AVPR2
B3GNT6
BAK1
BCL8
BTNL2
C10orf10
C12orf61
C17orf44
C17orf50
C1orf180
C1orf21
C1orf61
C20orf123
C21orf121
C21orf129
C22orf42
C3orf49
C6orf105
C9orf70
CADM2
CADPS2
CBR3
CCDC103
CCDC141
CDH26
CDK15
CDX2
CELA1
CENPN
CES3
COL6A4P2
CRISP3
CSPG4P2Y
CWH43
CYP19A1
CYP2J2
CYP8B1
DHRS9
DNAJC22
DPEP3
DPF1
EBF2
EFCAB7
EN2
ENOX2
ENPP3
ETV3L
EXOSC3
FAM170B
FAM22A
FAM22D
FAM43A
FAM65B
FAM7A2
FAM81A
FAM84A
FBLN7
FER1L6
FLJ13224
FLJ26850
FOXR2
FRMPD1
FZD3
GATA4
GCM1
GDA
GFOD2
GJB6
GOLGA8C
GPC5
GPRC5D
GRAPL
GRP
GSTM1
HAO2
HDAC1
HES6
HEXB
HGSNAT
HILS1
HIST1H3H
HMHB1
HOXA1
HOXB8
HOXB9
HOXC6
HRK
HS3ST4
IL1RAPL2
INTS12
ITGAD
KCNC2
KCNH4
KCNQ2
KCNS3
KCTD21
KIAA0087
KIAA0182
KIAA0406
KIR3DL2
KLHDC7A
KRTAP1-1
KRTAP19-8
LCK
LGALS3
LIN7A
LIPT1
SLCO4A1-AS1
ACVR2B-AS1
LINC00887
LINC02418
LOC100192426
LOC100240734
LOC100240735
SLC25A5-AS1
LINC00934
LOC154449
AADACP1
GAS2L1P2
TPTE2P6
MKRN10P
NPIPB13
AKAIN1
NUTM2A-AS1
FAM133CP
MAGEB1
MAN2B2
MARCH10
MARCHF11
MDFI
MKRN3
MLLT3
MMEL1
MRPL30
MSMP
MSX2
MTMR2
MTUS2
MYO1E
NANOG
NAT10
NCRNA00110
NCRNA00185
NOMO3
NPBWR1
NPY
NRG3
NUP62CL
ODF2L
OMP
OR2AK2
OR2H2
OR2L1P
OR2M4
OR51M1
OR56B1
P2RX4
PABPC1L2B
PCDHGA2
PCDHGA4
PCNXL2
PDE1C
PHGR1
PHLPP1
PIGB
PKHD1
PLA2G4E
PLGLA
PLTP
PPP1R1C
PRRG1
PSD3
PVALB
RAB4A
RASGEF1B
RFX6
RPA2
RPL23AP32
RPS4Y1
SAMD5
SEC14L2
SERPINA11
SGCD
SH2D1A
SH3YL1
SHBG
SLC16A1
SLC25A20
SLC38A1
SLC38A4
SLC45A2
SLC6A19
SLC7A11
SNED1
SNX2
SNX31
SP5
SPANXN2
SPON2
SSRP1
ST7OT3
SYAP1
SYCP2L
TAC1
TAF1B
TANC2
TBX1
TDRD1
THEG
THPO
TINF2
TLL1
TMEM105
TOR1B
TP53BP2
TP53I3
TPH2
TPPP2
TPSD1
TRIM69
TSG1
TUBGCP5
TWIST1
USP43
UTF1
VWC2
WRB
ZBTB8B
ZMIZ1
ZNF329
ZNF578
