GPA33
ABCC4
HIST2H2BF
VWA5B1
MIOS
TAPT1
RGS20
VSTM2L
TMEM189
FTH1
GSTT1
PRR16
OPRK1
IL5RA
PLXNB1
FUT9
NPTXR
SERPINB7
YIF1B
PTPN5
CXCL1
GSTA3
CYP1B1
RDH12
SERTAD4
CST6
CALD1
HS3ST4
NLRP6
PI3
SLC9A3
CUZD1
GPR83
TARBP1
FAM76A
VEGFB
ZDHHC6
CLMN
ENTPD1
CLEC16A
PTER
SLC45A2
ZMYND10
ARFIP2
APOD
PCDH18
DNAJC9
KIF21A
CHSY1
ZFP3
OTUD7A
C2orf74
RGS2
SHOX2
SERHL2
HERC2P2
FAM107B
ANPEP
PLEKHB1
ING5
HELB
WFDC12
ZNF747
B3GNT6
AHR
LYPLA2
C6orf41
IL17RB
TMEM50B
DUSP7
PRKCD
KCNN4
TRIM32
SH3TC1
KANK4
CDC42
HSPB1
ZNF654
ANO7
SILV
LDB2
EGR1
MAF
TIPIN
C1GALT1C1L
SCGB1A1
VWA3B
C1orf21
ZBTB8B
HMG20B
PARP6
ME3
KLF13
C1orf88
SLIT3
LPIN2
FAM123A
B3GAT1
LOC399815
HDAC9
KCNC2
MATK
MEF2B
SFRS12
GREM2
CST7
SLC36A4
SLC6A17
PRKCQ
NCRNA00176
NDST1
CLEC4E
ONECUT2
FAM53C
TMEM63C
ACTBL2
ENAH
CDR2L
PTPRO
WNK2
SDR16C5
MFSD9
STXBP1
ZNF528
NME5
FAM5B
HTT
HLA-DQB2
ZBTB24
RAB11FIP1
TPST1
SFXN5
CKMT1B
C2orf43
TMEM81
C12orf5
HPDL
DTX3
SPRN
CALM2
WTIP
TTR
ZNF502
HLA-DRB5
PLD1
RIBC2
TMEM105
ZNF727
PHGR1
DDT
ZSCAN20
LINC01622
CTAGE6
FAM171A1
TTLL10
OSTalpha
SLC7A1
ADORA2B
SGK2
ZFP37
FAM118A
ZNF653
NPAS2
FAM86B2
LGALS9C
NDUFAF1
SSBP3
POGZ
NOS1
KCNE3
HSD17B7P2
AFF3
ECHS1
TNFRSF18
LINC02591
HMP19
STARD3
FABP5
SERPINB11
IKZF1
HGS
IFI6
ELMO2
CHST8
SERPINB13
PDCD5
FLOT2
KCTD8
PPIL6
ARHGDIB
TWF1
HIGD1B
ESYT3
FRMPD1
CCDC146
DFNB59
FAHD2B
GATA6
PDK4
PLCL1
MKKS
TMEM52
PRRT2
PWWP2B
CEACAM4
MICAL2
PAOX
KCNK10
HOMER3
OSBPL7
HEATR2
GHDC
DLGAP5
ELAC1
GRAMD1B
ZNF671
DICER1
WDR17
AKR1D1
OAT
SERPINB4
DAPK1
SPEF2
CKS1B
F5
RAD54B
SYT3
ITGA4
HLA-DQB1
METTL7B
SH3D20
APLNR
FRMD4B
DEM1
GSDMC
NR2E3
GALC
RNF44
GREB1L
CD83
SEPHS2
VASN
BCMO1
PTPRA
TMEM200A
ZNF608
RNF207
TOX
SLC18A3
PDXP
