Creatine
Carnitine
Acetylcarnitine
Betaine
Glycine
Proline
Alanine
Valine
Leucine
Isoleucine
Methionine
Phenylalanine
Tyrosine
Tryptophan
Histidine
Ornithine
Taurine
Hypoxanthine
Xanthine
Inosine
Uridine
Glycerol-3-Phosphate
Linoleate
Oleate
Stearate
Myristate
Cholesterol
Bilirubin
Biliverdin
Pantothenate
Niacinamide
Urate
