0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6327,-0.0307,-0.6962,-0.3743,0.1439,-0.2868,-0.8604,0.6798,-0.2424,0.1339,-0.4764,1.7111,-1.1899,-0.7591,-1.2944,0.5038,-0.1408,1.3182,-0.6686,0.0942,-0.3977,0.3736,0.5076,-0.7611,-0.9365,-0.4439,-0.0887,-0.9879,-0.3848,-0.2939,0.2441,0.556,1.8124,0.3392,-0.8792,-0.3124,-0.2829,0.2876,-0.8846,0.4974,-0.7659,0.4942,0.2922,1.6649,-0.7972,-0.2616,-0.1967,-1.9721,-0.202,0.1453,1.3447,-0.7609,-0.5152,0.4025,-1.5243,0.0228,0.9182,1.4658,1.5802,0.8379,0.6194,1.5612,-0.3623,-0.4602,0.7021,1.284,-0.1319,-0.2224,0.2825,1.5884,-0.6686,0.6076,1.2968,0.1211,1.9023,1.4044,-0.7626,-0.5943,-1.1106,0.4407,0.1897,0.5379,-0.295,-0.43,-0.2057,-0.4915,-0.8086,0.3469,0.5717,1.3561
0.336,0.6838,-0.8744,-0.473,0.2471,-0.2462,0.5473,1.1,0.2892,-1.1297,-0.015,-0.25,0.0769,1.3699,-0.2934,-1.3687,0.2197,-0.1452,-0.1249,-1.1514,1.902,-1.8528,-1.4173,0.3045,0.0505,0.1327,-0.5276,-0.706,2.7805,-0.7217,-1.0888,-0.7036,0.9164,0.3231,-0.0664,-0.1486,-0.1293,0.2063,0.704,-0.5938,0.0538,0.2542,-0.3056,0.976,-0.4545,-0.6871,-0.0907,-0.0919,0.922,-1.5025,1.1499,0.5928,-0.7515,-0.6528,0.2277,-0.4319,0.8732,-1.6585,1.7419,2.3809,0.0304,2.0101,1.9317,-0.3224,1.1597,1.8104,-0.8904,-0.6612,-1.1927,-0.1143,-0.9476,-1.676,-0.967,-1.3277,-0.7199,1.3713,-1.425,-0.3622,0.7012,0.472,-0.5697,1.4724,-0.0341,1.0968,0.4493,0.7053,-0.574,-0.8834,0.6059,2.4996
0.8028,-0.8487,-0.5506,-0.4015,0.0246,-0.473,0.1119,1.0267,0.0071,0.0455,0.1541,-0.8715,-0.1042,-0.3115,0.8832,-0.5447,0.0804,-0.3385,-0.4989,-0.6967,-0.3924,-0.4683,-0.1793,0.5995,-1.0293,-0.4703,0.7282,0.1445,-0.4575,-0.0133,-0.0325,-0.5038,1.2031,0.1328,-0.7016,-0.6969,-0.4818,0.9148,0.7625,-0.2379,0.3054,-0.2497,-0.5631,-0.837,-0.9592,-0.4168,-0.7762,-0.359,0.1362,-0.0436,0.9268,-0.3801,0.0945,-1.1041,-0.5148,0.0123,0.4463,-0.2999,1.2795,-0.0104,0.6577,1.2116,0.1481,0.6224,0.7419,0.5305,-0.463,-0.7701,0.5575,-0.414,0.6072,0.3573,-0.4337,-0.0313,-0.2444,0.4892,0.3386,-0.3775,-0.1255,0.6997,-0.7836,0.6925,-0.4394,0.2319,0.9056,-0.1449,1.3272,-0.3078,0.3548,-0.2939
-0.8031,-0.1346,-0.1156,-0.9112,0.8426,0.6584,-0.4236,0.4873,0.4259,0.4651,-0.6011,-0.3013,-0.8256,-2.0696,0.5983,1.0822,-0.561,-0.1899,-0.5624,-0.3119,-0.2617,-0.1413,-0.6755,0.5551,-1.6835,-0.3264,-0.6617,0.3038,-0.4218,-0.681,2.011,-1.1511,0.0261,-0.0929,2.2694,0.0954,-1.3165,0.7935,-0.0804,-0.7947,-0.3557,-0.4771,-0.2211,-1.7722,0.5049,0.2812,-0.6283,-0.0567,0.7818,-0.2114,0.6764,-0.0118,2.2414,0.1015,-0.6278,0.9614,-1.3418,0.2634,-0.1545,0.7483,-0.4078,0.0739,0.1029,3.3728,1.1803,0.6988,-0.5778,0.239,2.665,0.1952,0.0609,-0.0704,-1.5142,0.6091,-0.3231,1.9275,0.1342,0.547,0.6455,-0.2881,-0.2164,-0.041,1.4945,0.8397,0.1485,0.5631,0.4462,-0.3286,-0.8498,-0.0854
-0.801,-0.5972,-0.5205,0.3672,-0.3361,0.2917,-0.7103,0.0115,-0.6547,-1.2183,-0.4912,-0.3967,-0.7704,-0.1143,-0.8882,-0.3357,1.4537,0.6603,-0.7176,-1.0736,0.2216,2.0985,-1.107,0.0949,1.0974,-0.2121,-0.1952,-1.2156,0.1701,-1.3203,-1.522,0.6119,0.3535,0.7087,-0.4114,-0.5159,0.3969,0.0941,-0.8474,0.2779,-0.4813,0.9567,0.0766,0.3178,-1.2004,-0.6522,-0.133,0.597,0.3275,-1.5223,1.7951,-1.2329,-0.5828,-0.1891,-0.6872,-0.3172,0.3499,0.5384,1.2049,1.8904,1.373,-0.2695,1.6277,-0.6864,1.3357,1.0906,-1.3533,-0.6447,-1.1184,0.7662,-0.335,0.44,-0.7181,-0.1654,-2.1155,1.6491,-0.4892,-0.5176,0.4939,1.2427,0.0068,2.3995,-0.6311,1.0854,0.5315,0.559,-1.683,1.0038,0.028,0.4766
-0.7017,0.5184,-0.5816,-0.761,-0.6403,-0.6616,0.8648,-0.9178,0.6668,1.2306,-0.6818,0.5585,-0.7812,-1.3324,0.9475,0.7372,-0.7046,-0.3129,-0.4959,0.8909,0.5774,0.4378,-0.3981,-0.9373,-0.86,1.3937,-1.0509,-0.0657,-0.5269,-0.1459,0.2125,-0.4428,0.1837,-0.6113,-0.6811,0.4809,-1.1654,0.545,-1.0111,-0.0122,-0.7864,0.0029,0.8159,-1.5608,0.2879,0.2104,-0.2994,-0.3842,1.7384,0.3269,0.5423,-1.0315,-0.715,0.9596,0.3623,-0.6391,-1.1443,0.5386,-0.3823,0.9311,-1.1837,0.48,-1.5344,-1.1049,1.2809,0.8869,0.2196,-0.3838,0.2562,0.0343,0.7578,-0.1178,-0.9511,1.067,-0.7652,1.4183,-0.2146,-0.8693,0.5533,-0.8101,-0.2406,1.2487,0.0211,-0.5806,-0.3301,0.0285,-0.0202,-1.1066,-0.8575,0.4983
-1.0132,0.3369,-0.4422,-0.04,0.0069,-0.4551,0.5537,-0.9136,0.5703,0.7809,-0.7116,-0.7965,-0.609,-1.3268,-0.317,0.881,-0.6908,-0.4954,-1.2107,0.5692,-0.0142,0.4759,0.2996,-0.5842,-0.7355,0.1647,-0.2409,1.1028,-0.4542,-0.4198,1.2637,-1.6072,0.1735,-0.4493,-0.4504,-1.2846,-0.5081,0.192,-0.2996,-0.7437,-0.3138,-0.5379,0.8097,-1.1978,-0.5034,0.0148,-0.2584,-1.0307,0.2663,0.111,1.0841,-1.3613,0.1172,0.6778,0.1205,0.4866,-1.3638,-0.5053,0.2093,1.0737,-0.799,0.4747,-0.418,-0.067,-0.1914,0.5243,0.0681,-0.2672,0.1842,-0.0704,0.643,-0.2024,-1.0374,0.8401,0.138,1.4615,0.6519,-0.526,0.7762,-0.936,0.4779,0.3193,0.5047,-0.6862,0.5351,-0.4627,1.0135,-0.7449,-0.466,0.8828
