USH1C
CYB561
ALOX5
BARX2
COL23A1
NTN1
GSTO2
SLC9A3
LLGL2
CEACAM1
LZTS3
TMEM230
MLF2
HNRNPC
CRKL
MAPK1
SRRD
TIMP3
TOM1
POLR3H
PLS3
MAZ
FAM189A1
SFRP1
TYK2
CADM4
CTSC
GALNT18
TNS2
AKAP3
PFKFB4
HPCAL1
CCDC181
RPS6KA1
TCF21
CLU
PDLIM2
BICC1
ABCC4
SEPTIN6
WNK4
GLIS2
PNKD
POR
YWHAH
CGNL1
STK33
TRPM4
GIMAP4
ECHDC3
DDB2
TNS3
ALDOB
FAM13A
COPS4
CCNG2
PML
CSNK1D
GRB7
PRDM16
ATP6V0D2
ADM
TMEM218
SERP2
TMEM178A
CARHSP1
KCNJ16
TSPAN7
ANKRD9
SSBP3
PALM2AKAP2
HPD
RHPN1
NIT1
KIAA1522
HAAO
H3.3A
BBS5
SLC6A20
TKT
CCDC51
APEH
EGFLAM
TMEM174
DIPK1B
CYB5A
PDIA3
RBPJ
SCNN1B
STAT3
NPAS2
IRX2
PRKCE
ETFDH
SLFN11
TMCC1
DHCR7
PPP1R3B
JUP
GOLIM4
KDF1
SHMT1
TGIF1
GPR4
FLII
KCNJ10
TSSK6
FAM156B
CUEDC1
PNMA8A
SMIM10
NDUFA4L2
CYP4X1
ZNF395
C3orf62
RASSF10
FUT11
ZNF786
CCDC151
ZNF521
FOXJ3
ASPDH
ERICH4
INSYN1
FBXO17
C2orf15
HNF1B
