PROT_PEPTIDE_001
PROT_PEPTIDE_002
PROT_PEPTIDE_003
PROT_PEPTIDE_004
PROT_PEPTIDE_005
PROT_PEPTIDE_006
PROT_PEPTIDE_007
PROT_PEPTIDE_008
PROT_PEPTIDE_009
PROT_PEPTIDE_010
PROT_PEPTIDE_011
PROT_PEPTIDE_012
PROT_PEPTIDE_013
PROT_PEPTIDE_014
PROT_PEPTIDE_015
PROT_PEPTIDE_016
PROT_PEPTIDE_017
PROT_PEPTIDE_018
PROT_PEPTIDE_019
PROT_PEPTIDE_020
PROT_PEPTIDE_021
PROT_PEPTIDE_022
PROT_PEPTIDE_023
PROT_PEPTIDE_024
PROT_PEPTIDE_025
PROT_PEPTIDE_026
PROT_PEPTIDE_027
PROT_PEPTIDE_028
PROT_PEPTIDE_029
PROT_PEPTIDE_030
PROT_PEPTIDE_031
PROT_PEPTIDE_032
PROT_PEPTIDE_033
PROT_PEPTIDE_034
PROT_PEPTIDE_035
PROT_PEPTIDE_036
PROT_PEPTIDE_037
PROT_PEPTIDE_038
PROT_PEPTIDE_039
PROT_PEPTIDE_040
PROT_PEPTIDE_041
PROT_PEPTIDE_042
PROT_PEPTIDE_043
PROT_PEPTIDE_044
PROT_PEPTIDE_045
